shape_id,x,y,z,id,platform_name,station_name,type,op_year
58,-77.96165500000002,39.461112999999806,0,58,C13,MARTINSBURG W VA MARC,HR,1997
59,-76.873141,38.94696899999979,0,59,D2,NEW CARROLLTON MARC nb,HR,1997
60,-76.842772,38.97344399999979,0,60,D3,SEABROOK MARC nb,HR,1997
61,-76.762049,39.0207919999998,0,61,D4,BOWIE STATE MARC nb,HR,1997
62,-76.706099,39.08685999999979,0,62,D5,ODENTON MARC nb,HR,1997
63,-76.69456,39.19232699999979,0,63,D6,BWI RAIL STATION MARC nb,HR,1997
64,-76.69119599999999,39.2387799999998,0,64,D7,HALETHORPE MARC nb,HR,1997
65,-76.653102,39.2933439999998,0,65,D8,WEST BALTIMORE MARC nb,HR,1997
66,-76.615903,39.307176999999825,0,66,D9,PENN STATION MARC nb,HR,1997
67,-76.41930699999998,39.33832399999982,0,67,D10,MARTIN AIRPORT MARC nb,HR,1997
68,-76.292139,39.41596699999979,0,68,D11,EDGEWOOD MARC nb,HR,1997
69,-76.162588,39.50914599999979,0,69,D12,ABERDEEN MARC nb,HR,1997
70,-76.07318000000002,39.55808899999982,0,70,D13,PERRYVILLE MARC,HR,1997
71,-76.929389,38.97614099999981,0,71,F2,COLLEGE PARK MARC nb,HR,1997
72,-76.884971,39.062043999999815,0,72,F3,MUIRKIRK MARC nb,HR,1997
73,-76.842109,39.1018169999998,0,73,F4,LAUREL MARC nb,HR,1997
74,-76.796351,39.12285499999981,0,74,F5,SAVAGE MARC nb,HR,1997
75,-76.74512100000001,39.1812679999998,0,75,F6,DORSEY MARC nb,HR,1997
76,-76.619664,39.28387699999981,0,76,F7,CAMDEN STATION MARC,HR,1997
