frequency_id,line_id,start_time,end_time,headway_sec
T73,A_2,08:23:00,08:53:00,60
T737,B_2,19:45:00,21:05:00,60
T738,B_2,20:15:00,21:35:00,60
T739,B_2,20:45:00,22:05:00,60
T74,A_2,08:32:00,09:02:00,60
T740,B_2,21:15:00,22:35:00,60
T741,B_2,15:05:00,16:25:00,60
T745,B_2,14:45:00,16:05:00,60
T746,B_2,14:15:00,15:35:00,60
T747,B_2,13:45:00,15:05:00,60
T748,B_2,13:15:00,14:35:00,60
T75,A_2,08:40:00,09:10:00,60
T757,B_2,12:15:00,13:35:00,60
T758,B_2,11:45:00,13:05:00,60
T759,B_2,11:15:00,12:35:00,60
T76,A_2,08:48:00,09:18:00,60
T760,B_2,10:45:00,12:05:00,60
T761,B_2,10:15:00,11:35:00,60
T762,B_2,09:45:00,11:05:00,60
T763,B_2,09:15:00,10:35:00,60
T764,B_2,08:45:00,10:05:00,60
T77,A_2,08:56:00,09:26:00,60
T775,B_2,08:25:00,09:45:00,60
T776,B_2,08:05:00,09:25:00,60
T777,B_2,07:45:00,09:05:00,60
T778,B_2,07:25:00,08:45:00,60
T779,B_2,07:05:00,08:25:00,60
T78,A_2,09:04:00,09:34:00,60
T780,B_2,06:45:00,08:05:00,60
T781,B_2,06:25:00,07:45:00,60
T782,B_2,06:05:00,07:25:00,60
T783,B_2,05:45:00,07:05:00,60
T79,A_2,09:15:00,09:45:00,60
T8,A_2,22:35:00,23:04:00,60
T80,A_2,09:25:00,09:54:00,60
T81,A_2,09:35:00,10:04:00,60
T82,A_2,09:45:00,10:14:00,60
T828,B_2,12:45:00,14:05:00,60
T83,A_2,09:55:00,10:24:00,60
T839,B_2,05:25:00,06:45:00,60
T84,A_2,10:05:00,10:34:00,60
T840,B_2,21:45:00,23:05:00,60
T841,B_2,22:15:00,23:35:00,60
T85,A_2,10:15:00,10:44:00,60
T859,B_2,05:05:00,06:25:00,60
T86,A_2,10:25:00,10:54:00,60
T860,B_2,04:45:00,06:05:00,60
T862,B_1,14:40:00,16:00:00,60
T863,B_1,15:10:00,16:30:00,60
T864,B_1,15:40:00,17:00:00,60
T865,B_1,16:10:00,17:30:00,60
T866,B_1,16:40:00,18:00:00,60
T867,B_1,17:10:00,18:30:00,60
T868,B_1,17:40:00,19:00:00,60
T869,B_1,18:10:00,19:30:00,60
T87,A_2,10:35:00,11:04:00,60
T870,B_1,18:40:00,20:00:00,60
T88,A_2,10:45:00,11:14:00,60
T89,A_2,10:55:00,11:24:00,60
T9,A_2,22:57:00,23:26:00,60
