route_id,sequence_no,section_id
BL_1_1,233,2520
BL_1_1,234,2521
BL_1_1,235,2522
BL_1_1,236,2523
BL_1_1,237,2524
BL_1_1,238,2525
BL_1_1,239,2526
BL_1_1,240,2527
BL_1_1,241,2528
BL_1_1,242,2529
BL_1_1,243,2530
BL_1_1,244,2531
BL_1_1,245,2532
BL_1_1,246,2533
BL_1_1,247,2534
BL_1_1,248,2535
BL_1_1,249,2536
BL_1_1,250,2537
BL_1_1,251,2538
BL_1_1,252,2539
BL_1_1,253,2540
BL_1_1,254,2541
BL_1_1,255,2542
BL_1_1,256,5231
BL_1_1,257,3988
BL_1_1,258,3989
BL_1_1,259,3990
BL_1_1,260,3991
BL_1_1,261,3992
BL_1_1,262,3993
BL_1_1,263,3994
BL_1_1,264,3995
BL_1_1,265,3996
BL_1_1,266,3997
BL_1_1,267,3384
BL_1_1,268,3385
BL_1_1,269,4761
BL_1_1,270,4762
BL_1_1,271,4763
BL_1_1,272,4764
BL_1_1,273,4765
BL_1_1,274,4766
BL_1_1,275,4767
BL_1_1,276,4768
BL_1_1,277,4769
BL_1_1,278,4770
BL_1_1,279,4771
BL_1_1,280,4772
BL_1_1,281,4773
BL_1_1,282,4774
BL_1_1,283,4775
BL_1_1,284,4776
BL_1_1,285,4777
BL_1_1,286,3301
BL_1_1,287,3302
BL_1_1,288,3303
BL_1_1,289,3304
BL_1_1,290,3305
BL_1_1,291,3306
BL_1_1,292,3307
BL_1_1,293,3308
BL_1_1,294,3309
BL_1_1,295,3310
BL_1_1,296,3311
BL_2_1,0,5288
BL_2_1,1,5289
BL_2_1,2,5290
BL_2_1,3,5291
BL_2_1,4,5292
BL_2_1,5,5293
BL_2_1,6,5294
BL_2_1,7,5295
BL_2_1,8,5296
BL_2_1,9,5457
BL_2_1,10,5458
BL_2_1,11,5459
BL_2_1,12,5460
BL_2_1,13,5461
BL_2_1,14,5462
BL_2_1,15,5463
BL_2_1,16,5464
BL_2_1,17,5465
BL_2_1,18,6167
BL_2_1,19,6102
BL_2_1,20,3120
BL_2_1,21,3121
BL_2_1,22,3122
BL_2_1,23,3123
BL_2_1,24,6236
BL_2_1,25,4183
BL_2_1,26,4184
BL_2_1,27,2240
BL_2_1,28,2241
BL_2_1,29,2242
BL_2_1,30,2243
BL_2_1,31,2244
BL_2_1,32,2245
BL_2_1,33,4928
BL_2_1,34,4929
BL_2_1,35,4930
BL_2_1,36,2322
BL_2_1,37,2300
BL_2_1,38,6168
BL_2_1,39,3561
BL_2_1,40,3562
BL_2_1,41,3563
BL_2_1,42,3564
BL_2_1,43,3565
BL_2_1,44,3566
BL_2_1,45,3567
BL_2_1,46,3568
BL_2_1,47,3569
BL_2_1,48,3570
BL_2_1,49,3571
BL_2_1,50,3572
BL_2_1,51,3573
BL_2_1,52,3574
BL_2_1,53,3575
BL_2_1,54,3576
BL_2_1,55,3577
BL_2_1,56,3578
BL_2_1,57,3579
BL_2_1,58,3580
BL_2_1,59,5753
BL_2_1,60,5754
BL_2_1,61,5755
BL_2_1,62,5756
BL_2_1,63,5757
BL_2_1,64,5758
BL_2_1,65,5759
BL_2_1,66,5760
BL_2_1,67,5761
BL_2_1,68,5762
BL_2_1,69,5763
BL_2_1,70,5764
BL_2_1,71,5765
BL_2_1,72,5766
BL_2_1,73,5767
BL_2_1,74,5768
BL_2_1,75,5769
BL_2_1,76,5770
BL_2_1,77,5771
BL_2_1,78,5772
BL_2_1,79,3561
BL_2_1,80,3562
BL_2_1,81,3563
BL_2_1,82,3564
BL_2_1,83,3565
BL_2_1,84,3566
BL_2_1,85,3567
BL_2_1,86,3568
BL_2_1,87,3569
BL_2_1,88,3570
BL_2_1,89,3571
BL_2_1,90,3572
BL_2_1,91,3573
BL_2_1,92,3574
BL_2_1,93,3575
BL_2_1,94,3576
BL_2_1,95,3577
BL_2_1,96,3578
BL_2_1,97,3579
BL_2_1,98,3580
BL_2_1,99,5752
BL_2_1,100,4426
BL_2_1,101,2619
BL_2_1,102,2620
BL_2_1,103,2621
BL_2_1,104,6104
BL_2_1,105,6105
BL_2_1,106,6106
BL_2_1,107,6107
BL_2_1,108,6108
BL_2_1,109,6109
BL_2_1,110,6110
BL_2_1,111,6111
BL_2_1,112,6112
BL_2_1,113,6113
BL_2_1,114,6114
BL_2_1,115,6115
BL_2_1,116,6116
BL_2_1,117,6117
BL_2_1,118,6118
BL_2_1,119,6119
BL_2_1,120,6120
BL_2_1,121,6121
BL_2_1,122,6122
BL_2_1,123,6123
BL_2_1,124,6124
BL_2_1,125,6125
BL_2_1,126,1401
BL_2_1,127,1402
BL_2_1,128,1403
BL_2_1,129,1404
BL_2_1,130,1410
BL_2_1,131,1411
BL_2_1,132,1412
BL_2_1,133,1413
BL_2_1,134,1414
BL_2_1,135,1094
BL_2_1,136,1095
BL_2_1,137,1096
BL_2_1,138,1237
BL_2_1,139,1238
BL_2_1,140,5605
BL_2_1,141,246
BL_3_1,0,5288
BL_3_1,1,5289
BL_3_1,2,5290
BL_3_1,3,5291
BL_3_1,4,5292
BL_3_1,5,5293
BL_3_1,6,5294
BL_3_1,7,5295
BL_3_1,8,5296
BL_3_1,9,5457
BL_3_1,10,5458
BL_3_1,11,5459
BL_3_1,12,5460
BL_3_1,13,5461
BL_3_1,14,5462
BL_3_1,15,5463
BL_3_1,16,5464
BL_3_1,17,5465
BL_3_1,18,6167
BL_3_1,19,6102
BL_3_1,20,3120
BL_3_1,21,3121
BL_3_1,22,3122
BL_3_1,23,3123
BL_3_1,24,6236
BL_3_1,25,4183
BL_3_1,26,4184
BL_3_1,27,2240
BL_3_1,28,2241
BL_3_1,29,2242
BL_3_1,30,2243
BL_3_1,31,2244
BL_3_1,32,2245
BL_3_1,33,4928
BL_3_1,34,4929
BL_3_1,35,4930
BL_3_1,36,2322
BL_3_1,37,2300
BL_3_1,38,6168
BL_3_1,39,3561
BL_3_1,40,3562
BL_3_1,41,3563
BL_3_1,42,3564
BL_3_1,43,3565
BL_3_1,44,3566
BL_3_1,45,3567
BL_3_1,46,3568
BL_3_1,47,3569
BL_3_1,48,3570
BL_3_1,49,3571
BL_3_1,50,3572
BL_3_1,51,3573
BL_3_1,52,3574
BL_3_1,53,3575
BL_3_1,54,3576
BL_3_1,55,3577
BL_3_1,56,3578
BL_3_1,57,3579
BL_3_1,58,3580
BL_3_1,59,5753
BL_3_1,60,5754
BL_3_1,61,5755
BL_3_1,62,5756
BL_3_1,63,5757
BL_3_1,64,5758
BL_3_1,65,5759
BL_3_1,66,5760
BL_3_1,67,5761
BL_3_1,68,5762
BL_3_1,69,5763
BL_3_1,70,5764
BL_3_1,71,5765
BL_3_1,72,5766
BL_3_1,73,5767
BL_3_1,74,5768
BL_3_1,75,5769
BL_3_1,76,5770
BL_3_1,77,5771
BL_3_1,78,5772
BL_3_1,79,3560
BL_3_1,80,256
BL_3_1,81,144
BL_3_1,82,145
BL_3_1,83,146
BL_3_1,84,5371
BL_3_1,85,2214
BL_3_1,86,2215
BL_3_1,87,2216
BL_3_1,88,2217
BL_3_1,89,2218
BL_3_1,90,5997
BL_3_1,91,5998
BL_3_1,92,6006
BL_3_1,93,4991
BL_3_1,94,4992
BL_3_1,95,4993
BL_3_1,96,3124
BL_3_1,97,6103
BL_3_1,98,6153
BL_3_1,99,6154
BL_3_1,100,6155
BL_3_1,101,6156
BL_3_1,102,6157
BL_3_1,103,6158
BL_3_1,104,6159
BL_3_1,105,6160
BL_3_1,106,6161
BL_3_1,107,5466
BL_3_1,108,5467
BL_3_1,109,5468
BL_3_1,110,5469
BL_3_1,111,5470
BL_3_1,112,5471
BL_3_1,113,5472
BL_3_1,114,5473
BL_3_1,115,5474
