age N
0 48265
1 30546
2 23089
3 12028
4 12089
5 32404
6 58035
7 54142
8 50450
9 50712
10 55552
11 49918
12 60502
13 57388
14 21690
15 29521
16 17696
17 21575
18 26901
19 21888
20 17498
21 21426
22 49644
