age N
0 2215
1 1305
2 768
3 381
4 360
5 1308
6 1879
7 2083
8 1593
9 2301
10 2318
11 2349
12 2668
13 2494
14 707
15 1065
16 765
17 921
18 1117
19 828
20 679
21 543
22 2014
