age N
0 2607
1 1640
2 1031
3 672
4 549
5 1645
6 2484
7 2203
8 2523
9 2856
10 3460
11 2707
12 4024
13 4051
14 1589
15 2467
16 1696
17 2266
18 3261
19 2437
20 1682
21 1408
22 2261
