from_stop_id,to_stop_id,transfer_type,min_transfer_time
11600,11618,,
10545,3218,,
7503,13528,,
6226,5253,,
11710,11719,,
12024,12009,,
1345,127,,
12711,5847,,
13637,13636,,
4607,4506,,
7504,2506,,
13529,7503,,
11619,11592,,
13524,7517,,
7094,6978,,
10320,7355,,
7681,3034,,
10559,8565,,
11474,11500,,
5191,5233,,
7660,10640,,
7516,2506,,
5874,13854,,
10533,3029,,
11584,11593,,
7272,251,,
11703,11725,,
11841,11814,,
13592,13593,,
929,6206,,
7524,1342,,
12394,12395,,
3606,3431,,
4986,4923,,
10539,7599,,
11560,11561,,
10419,6106,,
11542,11522,,
11993,12461,,
11949,11967,,
5874,5842,,
3562,3478,,
1590,3757,,
4980,4930,,
4064,494,,
11533,11531,,
5034,4168,,
10557,934,,
7508,66,,
3366,1009,,
10420,4825,,
7655,1506,,
11975,11941,,
11579,11598,,
5847,12711,,
976,879,,
343,8972,,
2140,8946,,
470,558,,
4134,4334,,
2514,6400,,
3096,12460,,
4016,528,,
9004,3728,,
2425,2039,,
3011,3235,,
13528,13524,,
285,286,,
13664,1265,,
11592,11585,,
4589,4522,,
6818,82,,
2643,3633,,
11698,11730,,
11646,11756,,
7514,5232,,
3595,3444,,
13529,7517,,
11910,11957,,
12010,12023,,
3170,3086,,
521,3038,,
5948,3092,,
3356,7040,,
9279,739,,
7524,1265,,
3971,2961,,
11865,11854,,
1770,1793,,
8624,12501,,
1280,2671,,
506,66,,
138,3020,,
10744,3656,,
11278,1443,,
11640,11643,,
10539,4591,,
12571,514,,
7697,3317,,
12716,932,,
11718,11711,,
13636,13637,,
7529,7683,,
13526,755,,
4857,5990,,
7517,13525,,
7520,11422,,
7512,286,,
7682,2323,,
3544,3497,,
12134,11872,,
11966,11950,,
3633,2485,,
5875,13841,,
7503,7517,,
5990,6151,,
7508,516,,
7625,2778,,
11501,11493,,
6183,3444,,
6169,579,,
12669,326,,
4492,6320,,
4029,827,,
8972,343,,
1214,5070,,
13529,13528,,
5990,4857,,
11733,11695,,
64,10568,,
6151,5990,,
5253,5168,,
4917,4992,,
11852,11867,,
11724,11704,,
11845,11807,,
4643,10899,,
11762,11564,,
2323,1876,,
11621,11600,,
8997,8995,,
13524,13525,,
12169,12713,,
11959,11787,,
3554,6294,,
7512,7508,,
7694,7630,,
1074,9281,,
11538,11526,,
11991,11986,,
2494,12301,,
11483,11491,,
4936,5364,,
11567,11555,,
1557,1651,,
1766,10622,,
7652,5049,,
4548,4773,,
1013,809,,
3220,3029,,
164,13525,,
5022,4881,,
13525,13529,,
11959,11910,,
7481,7462,,
13602,13596,,
7675,8984,,
2674,2050,,
5584,10668,,
11479,11495,,
7455,7485,,
12002,7677,,
11765,11762,,
11529,11535,,
12019,12014,,
66,506,,
1607,821,,
12128,11879,,
12005,11977,,
7642,125,,
11781,11870,,
7676,2499,,
269,6464,,
11979,12003,,
11634,11796,,
5163,5260,,
11492,11482,,
4330,3623,,
7198,7513,,
13653,10921,,
13524,13528,,
11953,11963,,
11979,7566,,
4549,7568,,
3717,8978,,
4979,4932,,
3473,10802,,
285,515,,
1009,3366,,
2623,7516,,
5605,1645,,
7513,7681,,
164,7517,,
10921,13653,,
2499,2629,,
3029,10533,,
519,10567,,
1287,12220,,
7517,13528,,
1393,4828,,
4048,827,,
2637,2492,,
2349,8946,,
12301,489,,
3704,4411,,
6425,298,,
7683,1265,,
520,521,,
7644,2074,,
3554,5796,,
