,X,Y,county
355,-76.88843423201486,39.676630468145106,Carroll
357,-76.66269319492491,39.34470676531218,Baltimore City
358,-76.44575456874266,39.2399507779479,Baltimore
359,-76.55708694110336,38.93766991598841,Anne Arundel
360,-76.29772183536804,39.423260277271716,Harford
361,-76.2884954367142,39.42458215581982,Harford
362,-76.28763941860525,39.42320722307464,Harford
363,-76.67614933894178,39.30911999298095,Baltimore City
365,-76.71918783620637,39.29893169284389,Baltimore
366,-76.68865754383994,39.29254493468726,Baltimore City
369,-76.9586204900037,39.40945944588337,Carroll
372,-76.7289198839572,39.21367054675324,Howard
373,-76.72890424518643,39.212358327161226,Howard
376,-76.81060030339863,39.25004884011797,Howard
377,-77.17687362902603,39.57679451273099,Carroll
378,-76.52001075641557,39.34906383170958,Baltimore
381,-76.32917101982848,39.48652768071509,Harford
384,-76.47994151905009,39.30921847067362,Baltimore
385,-76.62994143533619,39.30653909292923,Baltimore City
395,-76.59359734706226,39.31755332012821,Baltimore City
398,-76.70504939568005,39.36274667620557,Baltimore City
399,-76.41490132215013,39.52251569226389,Harford
400,-76.41324471468019,39.522004565087755,Harford
403,-76.7382081046689,39.32262231885108,Baltimore
404,-76.61127431976468,39.27753232712839,Baltimore City
406,-76.64297798526702,39.184169300239155,Anne Arundel
408,-76.77730178511054,39.60086066928396,Baltimore
413,-76.53841916077855,39.08324802318385,Anne Arundel
414,-76.98378763440971,39.266216916898884,Howard
416,-76.38536269529722,39.58611793923225,Harford
418,-76.38323697411116,39.569204768999015,Harford
420,-76.68919947589129,39.332520328875496,Baltimore City
421,-76.8399775739619,39.13509589878702,Howard
423,-76.70363073306423,39.40052724998801,Baltimore
425,-76.47679363005507,39.1334129090731,Anne Arundel
427,-76.57890954272226,39.30787375325079,Baltimore City
428,-76.30517299862876,39.540836512016845,Harford
431,-76.69446313184069,39.053338889088174,Anne Arundel
434,-76.63986963741584,39.29016322334083,Baltimore City
436,-76.59472069840989,39.269142349673686,Baltimore City
437,-77.13265855613155,39.592282182971694,Carroll
439,-76.71714222318408,39.1469635289797,Anne Arundel
440,-76.8326476203825,39.46279409124962,Baltimore
441,-76.81733785757405,39.44823524201792,Baltimore
442,-76.8299817125717,39.46519839220265,Baltimore
443,-76.64068569666435,39.291188008323324,Baltimore City
445,-76.65479868163045,39.314813762731134,Baltimore City
446,-76.65699092396159,39.282408009116004,Baltimore City
448,-76.94345464089702,39.419134928030296,Carroll
449,-76.58008541317466,39.13693796331216,Anne Arundel
451,-77.00449930838134,39.545334390141626,Carroll
457,-76.51838717730371,39.360780227970636,Baltimore
458,-76.91592799324384,39.15108019306814,Howard
460,-76.55252792995103,39.328708836114174,Baltimore City
461,-76.63005074233998,39.299553028252504,Baltimore City
469,-76.55229339959328,39.33847121883236,Baltimore City
471,-76.56899703510894,39.34908801924619,Baltimore City
473,-76.68399005842208,39.331925452295046,Baltimore City
474,-76.99065961877245,39.534853792703245,Carroll
477,-76.49147300370615,39.273890552117294,Baltimore
478,-76.62976574462955,39.18473529902439,Anne Arundel
479,-76.1803012766963,39.50372189273683,Harford
480,-76.54903159972862,39.13235536333725,Anne Arundel
481,-76.64045915232947,39.30636122466557,Baltimore City
482,-76.68414450756552,39.33745939391032,Baltimore City
483,-76.61174210487246,39.40998544811309,Baltimore
485,-76.62892001492554,39.28114081676361,Baltimore City
487,-76.48857023710438,38.95338411234415,Anne Arundel
489,-76.51652529580814,38.98145959712715,Anne Arundel
492,-76.64316039177872,39.30346645075858,Baltimore City
498,-76.61721550216937,39.16042132593055,Anne Arundel
499,-76.63607355824779,39.14014664990411,Anne Arundel
502,-76.6098732919762,39.16098562411381,Anne Arundel
503,-77.00205623037174,39.275402193242506,Howard
504,-76.44758478372611,39.346436200814466,Baltimore
505,-76.54135409335568,39.35193219885741,Baltimore City
508,-77.02422233697548,39.29758784904101,Howard
509,-76.81150032638011,39.466831896261795,Baltimore
510,-76.49963066409003,39.3318336547581,Baltimore
511,-76.85961176007275,39.14516856578045,Howard
515,-76.60963254976826,39.36042356667196,Baltimore City
516,-76.53993520795768,39.2822950267066,Baltimore City
517,-76.50203741692451,39.264800570096604,Baltimore
519,-76.18867477798845,38.96202435873457,Queen Anne's
534,-76.69911303812675,39.34225614571321,Baltimore City
535,-76.82975627765619,39.16938866398168,Howard
536,-76.61069728155202,39.34399687887753,Baltimore City
537,-76.46953204815023,39.41520411005836,Baltimore
540,-76.66309668940445,39.31671425269606,Baltimore City
542,-76.68490727336147,39.24233063272985,Baltimore
543,-76.16685320404221,39.510904656294336,Harford
544,-76.57318558822462,39.37636973870231,Baltimore
545,-76.55499579786921,39.3504807477835,Baltimore City
546,-76.55745196433254,39.359822752936935,Baltimore City
547,-76.87837686926535,39.14809900301151,Howard
548,-76.86056147336419,39.167590833653826,Howard
549,-76.87837686926535,39.14809900301151,Howard
550,-76.62989745741314,39.33210351265816,Baltimore City
551,-76.8622838779371,39.602220934045995,Carroll
552,-76.57598598012166,39.28608750101471,Baltimore City
553,-76.60302177123563,39.4166288676807,Baltimore
556,-76.63413076369798,39.29230981980897,Baltimore City
557,-76.59397468080408,39.31339818374091,Baltimore City
558,-76.59397468080408,39.31339818374091,Baltimore City
559,-76.53674877494873,39.39995442205859,Baltimore
560,-76.28649630072809,39.56012703075848,Harford
561,-76.64143581777434,39.29717125428185,Baltimore City
562,-76.64073649639366,39.29837845970585,Baltimore City
564,-76.8879403813908,39.224628277326886,Howard
565,-76.09811060069876,39.54204827493405,Harford
566,-76.09606897170477,39.547143737096256,Harford
567,-76.09939044395875,39.54414235997985,Harford
568,-76.43719977664638,39.326154225841854,Baltimore
569,-76.53899741800502,39.338250926279,Baltimore City
572,-76.7522247587955,39.34519864485717,Baltimore
575,-76.65985326188398,39.6002547498,Baltimore
576,-76.65327342941461,39.57282520831739,Baltimore
577,-76.83105814670864,39.37443621286022,Baltimore
578,-76.3485298579317,39.57888416601041,Harford
581,-76.54003786024181,39.14408014268611,Anne Arundel
586,-76.57058534276955,39.289819679230966,Baltimore City
587,-76.5652683367737,39.28937981733381,Baltimore City
588,-76.74741912865663,39.269625273918095,Baltimore
591,-76.48719887887309,38.941183223726114,Anne Arundel
592,-76.63540767665354,39.19035390026733,Anne Arundel
593,-76.67384812198353,39.31916896094185,Baltimore City
594,-76.51687623165706,39.2768792426664,Baltimore
595,-76.53863616680174,39.27590812588848,Baltimore City
596,-76.81790968286309,39.302463121972345,Howard
600,-76.3413483644277,39.52504642527352,Harford
601,-76.89166087271758,39.23608453100247,Howard
604,-76.81270680782413,39.22640613201632,Howard
611,-76.77390949417112,39.231115601901884,Howard
616,-76.50056762220275,38.98213922269189,Anne Arundel
623,-76.55968230601151,39.51233806998225,Baltimore
624,-76.5245516871762,39.122615503796894,Anne Arundel
628,-76.63357690830787,39.2881300918556,Baltimore City
630,-76.655752387035,39.29981846090885,Baltimore City
632,-76.48639257982016,39.60244697190515,Harford
633,-76.82690329928074,39.20654087701989,Howard
634,-76.76790897085537,39.14535226322426,Anne Arundel
635,-76.28728016435682,39.55858236728276,Harford
636,-76.63229583525423,39.31173744223809,Baltimore City
641,-76.55233105607165,39.284337856783694,Baltimore City
642,-76.7357506643945,39.29245587611409,Baltimore
643,-76.60439013538206,39.30359428007317,Baltimore City
644,-76.53604656997598,39.05808621921713,Anne Arundel
646,-76.45566973896251,39.386954977874495,Baltimore
647,-76.36256085096686,39.421779849122636,Harford
648,-76.35195387197706,39.41409495374362,Harford
649,-76.62482834601154,39.29848051524667,Baltimore City
659,-76.06394443830531,39.037998544988724,Queen Anne's
664,-76.3080638221288,38.97976931923928,Queen Anne's
665,-76.30953882977418,38.99107816688064,Queen Anne's
666,-76.46435225083091,39.32532450514925,Baltimore
673,-76.41882714229973,39.45641361717417,Baltimore
676,-76.5853132434122,39.317651528810494,Baltimore City
678,-76.49317965901555,39.10619720582897,Anne Arundel
679,-76.64502099137835,39.253707357157175,Baltimore City
681,-76.58092592905678,39.308840779102894,Baltimore City
685,-76.6573329323532,39.24859471634632,Baltimore
686,-76.65069004264241,39.24479673419627,Baltimore
687,-76.65204947663663,39.2499553887549,Baltimore
691,-76.84204170934704,39.11764085785423,Howard
695,-76.5912279174312,39.365465832660405,Baltimore City
704,-76.95278173710095,39.41328859930408,Carroll
705,-76.68291861532484,39.326059117899256,Baltimore City
706,-76.9157656685703,39.15438753422315,Howard
710,-76.66191933763014,39.19598305274312,Anne Arundel
712,-76.65306945525124,39.20244814420522,Anne Arundel
713,-76.9871250230139,39.42320263899026,Carroll
714,-77.06907956875419,39.33379748597085,Howard
716,-76.56380009523905,39.40487800781528,Baltimore
717,-76.57868577777488,39.387930477193926,Baltimore
719,-76.65015454342682,39.29248398901879,Baltimore City
720,-76.51031309078392,39.25757686881497,Baltimore
722,-76.5875189056754,39.34686048004703,Baltimore City
723,-76.59599639055496,39.2901568277343,Baltimore City
724,-76.8112004660433,39.20584228103962,Howard
725,-76.88154560995474,39.22654884698253,Howard
727,-76.61322997998597,38.82658643880826,Anne Arundel
729,-76.62105622491211,39.42696853824045,Baltimore
731,-76.68358000444434,39.29498034311591,Baltimore City
732,-76.74597173791801,39.11698245629304,Anne Arundel
734,-76.33122267671598,39.41104793884592,Harford
736,-76.33025410778677,39.40805705278853,Harford
737,-76.51425463594256,39.05906801275624,Anne Arundel
739,-76.695120582746,39.258748858766864,Baltimore
741,-76.88388104464052,39.66312931801366,Carroll
742,-76.87870207197462,39.65406134491485,Carroll
743,-76.74070425604381,39.112047343923294,Anne Arundel
744,-76.9137981407058,39.290055533179476,Howard
747,-76.60656718181188,39.23669028800109,Baltimore City
749,-76.61513861160554,39.31975588106957,Baltimore City
752,-76.59602079239134,39.144009475847994,Anne Arundel
753,-76.59651924598293,39.143217771247095,Anne Arundel
754,-76.59559460017952,39.14870860024184,Anne Arundel
756,-76.93424871934012,39.321786891834456,Howard
757,-76.45159125372359,39.312212743714134,Baltimore
760,-76.44204428317582,39.33510516123224,Baltimore
762,-76.6537640065778,39.29165292418792,Baltimore City
764,-76.67663037869163,39.2920456462526,Baltimore City
767,-76.81774824482676,39.09595270092733,Anne Arundel
769,-76.3351775313139,38.962283089800046,Queen Anne's
770,-76.33546252812599,38.96371963101182,Queen Anne's
774,-76.65040582197473,39.30678802071424,Baltimore City
779,-76.78651364093827,39.19758705833545,Howard
780,-76.51101235736738,38.896334722278006,Anne Arundel
781,-76.6689047342975,39.45773659301753,Baltimore
783,-76.5211063228715,39.341031082979754,Baltimore
785,-76.71819719477226,39.117943981781565,Anne Arundel
786,-76.7379346988189,39.122394145106725,Anne Arundel
787,-76.73653233972718,39.125144619696286,Anne Arundel
790,-76.10634800003886,39.5628857113036,Harford
791,-76.94053937693302,39.4679400237754,Carroll
793,-76.64246511281678,39.34063413312962,Baltimore City
795,-76.59108738678478,39.33254143431635,Baltimore City
796,-76.4512418863332,39.344580501961715,Baltimore
797,-76.4349581206864,39.30560683669247,Baltimore
798,-76.45285576004677,39.32492072971071,Baltimore
803,-76.71261428116416,39.36012951701797,Baltimore
804,-76.75001854227179,39.35635219427055,Baltimore
807,-76.63966621841134,39.05536628808446,Anne Arundel
809,-76.52621552877915,38.97797609308975,Anne Arundel
814,-76.58517825896438,39.32777125509908,Baltimore City
819,-76.54098796070714,39.31677047777447,Baltimore City
820,-76.54069996891188,39.31944586108963,Baltimore City
821,-76.65064001995583,39.2631044958493,Baltimore City
823,-76.93685195888004,39.320951326969904,Howard
825,-77.14944153714131,39.379955856999004,Carroll
826,-77.1472025428895,39.38089681033685,Carroll
828,-76.84011621814622,39.29915043530273,Howard
830,-76.62448484102669,39.308810869768,Baltimore City
832,-76.85758167622677,39.14532843517651,Howard
835,-76.86634565541002,39.642746261082884,Carroll
838,-76.67559842194099,39.03201466511024,Anne Arundel
847,-75.85261569135938,39.18255957310479,Queen Anne's
848,-76.81500846944846,39.403765799691406,Baltimore
849,-76.81234921725562,39.40332785383911,Baltimore
852,-76.53370858407483,39.70007564473017,Harford
853,-76.4591278036487,39.632202955072174,Harford
854,-76.70513147295091,39.283440804992225,Baltimore City
857,-76.59335144672797,39.15186699279512,Anne Arundel
864,-76.62424861824294,39.19398295227526,Anne Arundel
866,-76.40352752865739,39.676892330944575,Harford
867,-76.40065326829453,39.675817341336725,Harford
868,-76.40577672687252,39.6752951429086,Harford
873,-76.52883490655319,39.14427971301721,Anne Arundel
874,-76.55119755555796,39.325029439166286,Baltimore City
875,-76.5703830340827,39.366111274071116,Baltimore City
881,-76.83029310817501,39.25580963682993,Howard
884,-77.16733401927365,39.65169663080859,Carroll
887,-76.70424453842315,39.36437893771757,Baltimore City
888,-76.58982733341048,39.35229576509315,Baltimore City
890,-76.51822546168792,39.27640409694353,Baltimore
891,-76.56945262019683,39.0838929648264,Anne Arundel
896,-76.83925856510342,39.20850759123449,Howard
897,-76.84357084408154,39.20747042469353,Howard
900,-76.55248498239558,39.39323637786161,Baltimore
902,-76.6278997596298,39.14410457310355,Anne Arundel
904,-76.69722071092963,39.08341819066723,Anne Arundel
905,-76.93117536536083,39.40140415979828,Carroll
906,-76.75685281535891,39.36523790786849,Baltimore
908,-76.62838135364012,39.12237641912592,Anne Arundel
909,-76.62739853293894,39.123925570078725,Anne Arundel
910,-76.62631050783986,39.12293073878579,Anne Arundel
911,-76.35398101743374,39.3700438149914,Baltimore
914,-76.46526979904527,39.33230126201393,Baltimore
915,-76.51193278917381,39.3499547262577,Baltimore
917,-76.6514478721959,39.213630673082704,Anne Arundel
918,-76.7901636998552,39.42694519231015,Baltimore
919,-76.79507159510432,39.423450510117114,Baltimore
923,-76.63155408913762,39.46158839924666,Baltimore
930,-76.61065961339551,39.22311759568659,Anne Arundel
936,-76.53957606420201,39.38885884075691,Baltimore
937,-76.52689671586921,39.37767185876911,Baltimore
939,-77.14738438885246,39.378715122999104,Carroll
940,-76.56759656158098,39.109162614258814,Anne Arundel
941,-76.48816672735347,39.2650645459564,Baltimore
942,-76.81713416188842,39.29800002211061,Howard
943,-76.6242271287447,39.24653667104464,Baltimore City
944,-76.53641686092598,39.292601975913854,Baltimore City
945,-76.32469170181824,39.507274204999966,Harford
949,-76.82840172331062,39.14684663118445,Howard
950,-76.59873428216613,39.29530751013098,Baltimore City
951,-76.5980875337891,39.296372433016465,Baltimore City
953,-76.47840001720907,39.399442743211054,Baltimore
954,-76.46451202518736,39.39270339794145,Baltimore
955,-76.47539110477504,39.398507998019646,Baltimore
960,-76.75438250671806,39.11537532197495,Anne Arundel
961,-76.81812302825149,39.22208688182382,Howard
962,-76.51379278420725,38.98328342896402,Anne Arundel
965,-76.6986305556826,39.37744311625488,Baltimore
966,-76.70652695543914,39.377303152844576,Baltimore
967,-76.66781277188254,39.34769676415115,Baltimore City
969,-76.52935992512434,39.41113693314799,Baltimore
970,-76.52808167996723,39.4056610627329,Baltimore
972,-76.63848330606542,39.44446496680745,Baltimore
974,-76.71916642935314,39.06094190524365,Anne Arundel
976,-76.9618844521132,39.400558747873454,Carroll
978,-76.5728020426326,39.39169643014913,Baltimore
985,-76.59252446216895,39.17303552206783,Anne Arundel
987,-76.92638060393858,39.190875146806185,Howard
992,-76.61454111066901,39.454829753902466,Baltimore
997,-76.72021663088718,39.334597938761924,Baltimore
999,-76.7125864845943,39.66694185622915,Baltimore
1003,-76.56104246135287,39.366571104977616,Baltimore City
1004,-76.29244260891981,39.555619536136206,Harford
1007,-76.65455610955426,39.13422993331464,Anne Arundel
1008,-76.05317300114316,39.03724140168994,Queen Anne's
1011,-76.79632305339798,39.367424088812825,Baltimore
1012,-76.7969904306872,39.38275428715152,Baltimore
1013,-76.5113080576061,39.335123777106475,Baltimore
1014,-76.38594100821923,39.54473564104652,Harford
1016,-76.81591858500215,39.45519715110578,Baltimore
1017,-76.69987663486434,39.23122686182173,Baltimore
1018,-76.91311878438226,39.151613385997855,Howard
1021,-76.63020630000446,39.16015850410457,Anne Arundel
1024,-76.6494437981707,39.41398351308772,Baltimore
1026,-76.63404896400652,39.40511951527822,Baltimore
1029,-76.61381866305966,39.431484786765225,Baltimore
1031,-76.68972227562371,39.116334977113816,Anne Arundel
1032,-76.33135549802064,39.51406895514423,Harford
1033,-76.62861932274879,39.128461653865386,Anne Arundel
1038,-76.92878696780254,39.21516569804943,Howard
1040,-76.33841126870735,39.40123330427332,Harford
1041,-76.65603960268581,39.23663715398745,Baltimore
1042,-76.51175831927762,39.159515722337936,Anne Arundel
1046,-76.99329169602966,39.535223505215995,Carroll
1047,-76.63782308206082,39.330559635861405,Baltimore City
1049,-76.65526008959804,39.312910413937935,Baltimore City
1056,-76.7686340253757,39.214990605881134,Howard
1062,-76.61488139878686,39.38112292593189,Baltimore
1064,-76.69269514136035,39.29793401616024,Baltimore City
1065,-76.63453477291219,39.357569098699415,Baltimore City
1066,-76.5580160793815,38.998253180055215,Anne Arundel
1073,-76.50525812155986,39.323682320997136,Baltimore
1076,-76.6631294249117,39.30447429518191,Baltimore City
1078,-76.13492135567796,39.52156937286741,Harford
1079,-76.85755461178391,39.22885238790629,Howard
1080,-77.10389546462635,39.6304864207994,Carroll
1082,-76.6303349073121,39.11851369712465,Anne Arundel
1083,-77.0414289733547,39.443050172743355,Carroll
1090,-76.45681349913507,39.29412080983639,Baltimore
1093,-76.48647931575411,39.260015167944154,Baltimore
1094,-76.91882221866388,39.52180718286267,Carroll
1095,-76.67459680129747,39.2826656941034,Baltimore City
1097,-76.76372513209829,39.358426866251,Baltimore
1100,-76.3909782851238,39.32949248778559,Baltimore
1104,-76.70694510593255,39.10436329008487,Anne Arundel
1105,-76.49049966202782,39.40613310327381,Baltimore
1106,-76.64683628803985,39.68124709695081,Baltimore
1107,-76.69011574759962,39.13777004406565,Anne Arundel
1108,-76.51425463594256,39.05906801275624,Anne Arundel
1109,-76.54846742898414,39.07233559519623,Anne Arundel
1110,-76.55749211543245,39.07741318930504,Anne Arundel
1111,-76.58573771624857,39.0868791123169,Anne Arundel
1113,-76.50588978632494,38.84118125070621,Anne Arundel
1114,-76.50230699684974,39.34292260167442,Baltimore
