id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category
199,105,3,2,1000,60,,2
200,105,4,2,1000,60,,2
201,105,5,2,1000,60,,2
202,105,6,2,1000,60,,2
203,105,7,2,1000,60,,2
204,105,8,2,1000,60,,2
205,105,9,2,1000,60,,2
206,105,10,2,1000,60,,2
207,105,11,2,1000,60,,2
208,105,12,2,1000,60,,2
209,106,1,2,1000,60,,2
210,107,1,2,1000,60,,2
211,108,1,2,1000,60,,2
212,109,1,2,1000,60,,2
213,110,1,2,1000,60,,2
214,111,1,2,1000,60,,2
215,112,1,2,1000,60,,2
216,112,2,2,1000,60,,2
217,113,1,2,1000,60,,2
218,114,1,2,1000,60,,2
219,115,1,2,1000,60,,2
220,116,1,2,1000,60,,2
221,117,1,2,1000,60,,2
222,118,1,2,1000,60,,2
223,119,1,2,1000,60,,2
224,120,1,2,1000,60,,2
225,121,1,2,1000,60,,2
226,122,1,2,1000,60,,2
227,123,1,2,1000,60,,2
228,124,1,2,1000,60,,2
229,125,1,2,1000,60,,2
230,126,1,2,1000,60,,2
231,127,1,2,1000,60,,2
232,128,1,2,1000,60,,2
233,129,1,2,1000,60,,2
234,130,1,2,1000,60,,2
235,131,1,2,1000,60,,2
236,132,1,2,1000,60,,2
237,132,2,2,1000,60,,2
238,133,1,2,1000,60,,2
239,134,1,2,1000,60,,2
240,134,2,2,1000,60,,2
241,134,3,2,1000,60,,2
242,134,4,2,1000,60,,2
243,134,5,2,1000,60,,2
244,134,6,2,1000,60,,2
245,134,7,2,1000,60,,2
246,134,8,2,1000,60,,2
247,134,9,2,1000,60,,2
248,134,10,2,1000,60,,2
249,134,11,2,1000,60,,2
250,134,12,2,1000,60,,2
251,134,13,2,1000,60,,2
252,134,14,2,1000,60,,2
253,135,1,2,1000,60,,2
254,136,1,2,1000,60,,2
255,137,1,2,1000,60,,2
256,138,1,2,1000,60,,2
257,138,2,2,1000,60,,2
258,138,3,2,1000,60,,2
259,138,4,2,1000,60,,2
260,139,1,2,1000,60,,2
261,140,1,2,1000,60,,2
262,141,1,2,1000,60,,2
263,142,1,2,1000,60,,2
264,143,1,2,1000,60,,2
265,144,1,2,1000,60,,2
266,145,1,2,1000,60,,2
267,146,1,2,1000,60,,2
268,147,1,2,1000,60,,2
269,148,1,2,1000,60,,2
270,149,1,2,1000,60,,2
271,150,1,2,1000,60,,2
272,150,2,2,1000,60,,2
273,150,3,2,1000,60,,2
274,151,1,2,1000,60,,2
275,152,1,2,1000,60,,2
276,152,2,2,1000,60,,2
277,153,1,2,1000,60,,2
278,154,1,2,1000,60,,2
279,154,2,2,1000,60,,2
280,155,1,2,1000,60,,2
281,156,1,2,1000,60,,2
282,157,1,2,1000,60,,2
283,158,1,2,1000,60,,2
284,159,1,2,1000,60,,2
285,160,1,2,1000,60,,2
286,161,1,2,1000,60,,2
287,162,1,2,1000,60,,2
288,163,1,2,1000,60,,2
289,164,1,2,1000,60,,2
290,165,1,2,1000,60,,2
291,166,1,2,1000,60,,2
292,167,1,2,1000,60,,2
293,168,1,2,1000,60,,2
294,169,1,2,1000,60,,2
295,170,1,2,1000,60,,2
296,171,1,2,1000,60,,2
297,172,1,2,1000,60,,2
298,173,1,2,1000,60,,2
299,174,1,2,1000,60,,2
300,175,1,2,1000,60,,2
301,176,1,2,1000,60,,2
302,177,1,2,1000,60,,2
303,178,1,2,1000,60,,2
304,179,1,2,1000,60,,2
305,180,1,2,1000,60,,2
306,180,2,2,1000,60,,2
307,180,3,2,1000,60,,2
308,180,4,2,1000,60,,2
309,180,5,2,1000,60,,2
310,180,6,2,1000,60,,2
311,180,7,2,1000,60,,2
312,180,8,2,1000,60,,2
313,180,9,2,1000,60,,2
314,181,1,2,1000,60,,2
315,182,1,2,1000,60,,2
316,183,1,2,1000,60,,2
317,184,1,2,1000,60,,2
318,184,2,2,1000,60,,2
319,184,3,2,1000,60,,2
320,184,4,2,1000,60,,2
321,185,1,2,1000,60,,2
322,186,1,2,1000,60,,2
323,187,1,2,1000,60,,2
324,188,1,2,1000,60,,2
325,189,1,2,1000,60,,2
326,190,1,2,1000,60,,2
327,191,1,2,1000,60,,2
328,192,1,2,1000,60,,2
329,192,2,2,1000,60,,2
330,193,1,2,1000,60,,2
331,194,1,2,1000,60,,2
332,195,1,2,1000,60,,2
333,196,1,2,1000,60,,2
334,197,1,2,1000,60,,2
335,198,1,2,1000,60,,2
336,199,1,2,1000,60,,2
337,199,2,2,1000,60,,2
338,200,1,2,1000,60,,2
339,200,2,2,1000,60,,2
340,201,1,2,1000,60,,2
341,202,1,2,1000,60,,2
342,203,1,2,1000,60,,2
343,204,1,2,1000,60,,2
344,205,1,2,1000,60,,2
345,206,1,2,1000,60,,2
346,207,1,2,1000,60,,2
347,208,1,2,1000,60,,2
348,208,2,2,1000,60,,2
349,209,1,2,1000,60,,2
350,209,2,2,1000,60,,2
351,209,3,2,1000,60,,2
352,209,4,2,1000,60,,2
353,209,5,2,1000,60,,2
354,210,1,2,1000,60,,2
355,211,1,2,1000,60,,2
356,212,1,2,1000,60,,2
357,213,1,2,1000,60,,2
358,214,1,2,1000,60,,2
359,215,1,2,1000,60,,2
360,216,1,2,1000,60,,2
361,217,1,2,1000,60,,2
362,218,1,2,1000,60,,2
363,219,1,2,1000,60,,2
364,220,1,2,1000,60,,2
365,221,1,2,1000,60,,2
366,222,1,2,1000,60,,2
367,223,1,2,1000,60,,2
368,224,1,2,1000,60,,2
369,225,1,2,1000,60,,2
370,225,2,2,1000,60,,2
371,226,1,2,1000,60,,2
372,226,2,2,1000,60,,2
373,227,1,2,1000,60,,2
374,228,1,2,1000,60,,2
375,229,1,2,1000,60,,2
376,230,1,2,1000,60,,2
377,231,1,2,1000,60,,2
378,231,2,2,1000,60,,2
379,231,3,2,1000,60,,2
380,231,4,2,1000,60,,2
381,232,1,2,1000,60,,2
382,233,1,2,1000,60,,2
383,234,1,2,1000,60,,2
384,235,1,2,1000,60,,2
385,236,1,2,1000,60,,2
386,237,1,2,1000,60,,2
387,238,1,2,1000,60,,2
388,239,1,2,1000,60,,2
389,240,1,2,1000,60,,2
390,241,1,2,1000,60,,2
391,242,1,2,1000,60,,2
392,242,2,2,1000,60,,2
393,242,3,2,1000,60,,2
394,242,4,2,1000,60,,2
395,243,1,2,1000,60,,2
396,244,1,2,1000,60,,2
397,245,1,2,1000,60,,2
398,246,1,2,1000,60,,2
399,247,1,2,1000,60,,2
400,248,1,2,1000,60,,2
401,249,1,2,1000,60,,2
402,250,1,2,1000,60,,2
403,251,1,2,1000,60,,2
404,251,2,2,1000,60,,2
405,252,1,2,1000,60,,2
406,253,1,2,1000,60,,2
407,254,1,2,1000,60,,2
408,255,1,2,1000,60,,2
409,255,2,2,1000,60,,2
410,256,1,2,1000,60,,2
411,256,2,2,1000,60,,2
412,256,3,2,1000,60,,2
413,256,4,2,1000,60,,2
414,257,1,2,1000,60,,2
415,257,2,2,1000,60,,2
416,258,1,2,1000,60,,2
417,259,1,2,1000,60,,2
418,259,2,2,1000,60,,2
419,260,1,2,1000,60,,2
420,261,1,2,1000,60,,2
421,261,2,2,1000,60,,2
422,261,3,2,1000,60,,2
423,261,4,2,1000,60,,2
424,261,5,2,1000,60,,2
425,261,6,2,1000,60,,2
426,261,7,2,1000,60,,2
427,261,8,2,1000,60,,2
428,261,9,2,1000,60,,2
429,262,1,2,1000,60,,2
430,263,1,2,1000,60,,2
431,264,1,2,1000,60,,2
432,264,2,2,1000,60,,2
433,265,1,2,1000,60,,2
434,266,1,2,1000,60,,2
435,266,2,2,1000,60,,2
436,266,3,2,1000,60,,2
437,267,1,2,1000,60,,2
438,268,1,2,1000,60,,2
439,268,2,2,1000,60,,2
440,268,3,2,1000,60,,2
441,268,4,2,1000,60,,2
442,268,5,2,1000,60,,2
443,268,6,2,1000,60,,2
444,268,7,2,1000,60,,2
445,268,8,2,1000,60,,2
446,268,9,2,1000,60,,2
447,269,1,2,1000,60,,2
448,269,2,2,1000,60,,2
449,270,1,2,1000,60,,2
450,271,1,2,1000,60,,2
451,272,1,2,1000,60,,2
452,273,1,2,1000,60,,2
453,274,1,2,1000,60,,2
454,275,1,2,1000,60,,2
455,276,1,2,1000,60,,2
456,277,1,2,1000,60,,2
457,278,1,2,1000,60,,2
458,279,1,2,1000,60,,2
459,279,2,2,1000,60,,2
460,279,3,2,1000,60,,2
461,280,1,2,1000,60,,2
462,281,1,2,1000,60,,2
463,282,1,2,1000,60,,2
464,283,1,2,1000,60,,2
465,284,1,2,1000,60,,2
466,284,2,2,1000,60,,2
467,285,1,2,1000,60,,2
468,286,1,2,1000,60,,2
469,287,1,2,1000,60,,2
470,287,2,2,1000,60,,2
471,287,3,2,1000,60,,2
