shapeid,FID_1,ID,NAME,NB_LANES,SPEED,FNODE,TNODE,LinkCat,DIRECTION,CAPACITY,LENGTH,ctps_ID,FID_2,ID2,LENGTH_1,DIR,IN_MODEL,IN_MPO,BIKE_FLAG,ANODE,BNODE,A_TO_B_INB,OD_TOLL,STREETNAME,ROUTENUMBE,LRTP_PROJE,PROJECT_CA,PROJECT_YE,SCEN_00,SCEN_00_FU,SCEN_00_TR,SCEN_00_FI,SCEN_00_F1,SCEN_00_F2,SCEN_00_F3,SCEN_00_PN,SCEN_00_SP,SCEN_00_LA,SCEN_00_AB,SCEN_00_BA,SCEN_00_A1,SCEN_00_B1,SCEN_00_A2,SCEN_00_B2,SCEN_00_A3,SCEN_00_B3,SCEN_00_A4,SCEN_00_B4,SCEN_00_A5,SCEN_00_B5,SCEN_00_A6,SCEN_00_B6,SCEN_00_A7,SCEN_00_B7,SCEN_00_A8,SCEN_00_B8,SCEN_00_A9,SCEN_00_B9,SCEN_00_10,SCEN_00_11,SCEN_00_12,SCEN_00_13,AB_AM_CNT,BA_AM_CNT,AB_MD_CNT,BA_MD_CNT,AB_PM_CNT,BA_PM_CNT,AB_NT_CNT,BA_NT_CNT,AB_DLY_CNT,BA_DLY_CNT,AB_PEAK_CN,BA_PEAK_CN,AB_OFFPEAK,BA_OFFPEAK,AB_AMCAPAC,BA_AMCAPAC,AB_MDCAPAC,BA_MDCAPAC,AB_PMCAPAC,BA_PMCAPAC,AB_NTCAPAC,BA_NTCAPAC,COUNT_YEAR,EXPWY_COUN,EXPWY_SEGM,EXPWY2_SEG,TOTAL_AM,TOTAL_PM,TOTAL_DLY,SPEED_SCAL,MAX_VC,MEDIAN,TRUCK_EXCL,ACCESSCONT,DIVIDER1,PNR_PARKIN,I_93,I_90,I_95,RTE_128,LOGAN_ARRI,LOGAN_DEPA,ALPHA,BETA,MODEL_FUNC,ROUTESYSTE,ROADINVENT,ROADSEGMEN,SC_SEQUENC,GC,PEV,PEVSW,TRRT2STA,PEVMEASURE,SWM_FUNCTI,MODE,WALKTIME,BIKETIME,AB_AM_FFTI,BA_AM_FFTI,AB_MD_FFTI,BA_MD_FFTI,AB_PM_FFTI,BA_PM_FFTI,AB_NT_FFTI,BA_NT_FFTI,AB_AM_FFSP,BA_AM_FFSP,AB_MD_FFSP,BA_MD_FFSP,AB_PM_FFSP,BA_PM_FFSP,AB_NT_FFSP,BA_NT_FFSP,AB_AM_IVTT,BA_AM_IVTT,AB_MD_IVTT,BA_MD_IVTT,AB_PM_IVTT,BA_PM_IVTT,AB_NT_IVTT,BA_NT_IVTT,AB_AM_CONG,BA_AM_CONG,AB_MD_CONG,BA_MD_CONG,AB_PM_CONG,BA_PM_CONG,AB_NT_CONG,BA_NT_CONG,mg_class,MG_RDType,linkcat,NEW_ID_1,NAME_1,NB_LANES_1,SPEED_1,FNODE_1,TNODE_1,CATEGORY_1,DIRECTIO_1,CAPACITY_1,ctps_ID_1,a_text,b_text,ab_text,FID_12,LENGTH_12,a_text_1,b_text_1,ab_text_1,ba_text
58,52961,68840,CENTRAL AVENUE,1,48,37593,37596,C,0,775,186.272,62064,0,62963,186.272,0,1,1,0,37593,37596,0,0,CENTRAL AVENUE,BSR1874,COMPLETE STS,NULL,0,1,6,0,2.644478,0,0,0.661119,0,30,775,1,1,1,1,1,1,1,1,0.278366,0.264449,0.264489,0.264461,0.264458,0.286722,0.264448,0.264448,0.283926,0.264449,0.264497,0.264462,0.264466,0.280184,0.264448,0.264448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937.5,1937.5,3681.25,3681.25,1937.5,1937.5,5425,5425,0,0,NULL,NULL,939.351719,1047.01757,2932,1,1.448688,2,0,1,** || **,0,0,0,0,0,0,0,1.1,4,6,0,25065400,250654,0,3,0,0,0,0,8,70,2.644478,0.661119,0.264448,0.264448,0.264448,0.264448,0.264448,0.264448,0.264448,0.264448,30,30,30,30,30,30,30,30,0.397666,0.377784,0.377841,0.377801,0.377797,0.409603,0.377783,0.377783,0.278366,0.264449,0.264489,0.264461,0.264458,0.286722,0.264448,0.264448,5,5,C,68839,CENTRAL AVENUE,1,48,37593,37596,C,0,775,62064,37593,37596,37593/37596,62064,0.132224,37593,37596,37593/37596,37596/37593
59,52962,68841,CENTRAL AVENUE,1,48,46601,46602,C,0,775,39.3391,62065,0,62964,39.3391,0,1,1,0,46601,46602,0,0,CENTRAL AVENUE,BSR1874,NULL,NULL,0,1,6,0,0.812023,0,0,0.203006,0,30,775,1,1,1,1,1,1,1,1,0.151287,0.081229,0.082013,0.081289,0.081888,0.168473,0.081261,0.081215,0.146148,0.081255,0.082041,0.081286,0.081553,0.1375,0.081257,0.081215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937.5,1937.5,3681.25,3681.25,1937.5,1937.5,5425,5425,0,0,NULL,NULL,1885.15712,1770.85835,6120,1,1.510735,2,0,1,** || **,0,0,0,0,0,0,0,1.1,4,6,0,5024000,50240,0,3,0,0,0,0,8,70,0.812023,0.203006,0.081202,0.081202,0.081202,0.081202,0.081202,0.081202,0.081202,0.081202,30,30,30,30,30,30,30,30,0.216124,0.116041,0.117161,0.116127,0.116983,0.240676,0.116087,0.116021,0.151287,0.081229,0.082013,0.081289,0.081888,0.168473,0.081261,0.081215,5,5,C,68840,CENTRAL AVENUE,1,48,46601,46602,C,0,775,62065,46601,46602,46601/46602,62065,0.040601,46601,46602,46601/46602,46602/46601
60,45148,61027,WASHINGTON STREET,1,40,54061,54815,B,0,750,17.6414,51276,0,51877,17.6414,0,1,1,0,54061,54815,0,0,WASHINGTON STREET,BSR0486,COMPLETE STS,NULL,0,1,5,0,0.313775,0,0,0.01,0,25,750,1,1,1,1,1,1,1,1,0.037676,0.037658,0.037655,0.037656,0.037658,0.037695,0.037653,0.037653,0.037683,0.037656,0.037655,0.037655,0.037657,0.037699,0.037653,0.037653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,1875,3562.5,3562.5,1875,1875,5250,5250,0,0,NULL,NULL,651.249049,735.504438,2821,1,0.996391,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,5,0,5327900,53279,0,2,0,0,0,0,5,70,0.313775,0.01,0.037653,0.037653,0.037653,0.037653,0.037653,0.037653,0.037653,0.037653,25,25,25,25,25,25,25,25,0.047095,0.047072,0.047069,0.04707,0.047072,0.047119,0.047066,0.047066,0.037676,0.037658,0.037655,0.037656,0.037658,0.037695,0.037653,0.037653,4,4,B,61026,WASHINGTON STREET,1,40,54061,54815,B,0,750,51276,54061,54815,54061/54815,51276,0.015689,54061,54815,54061/54815,54815/54061
61,52963,68842,CENTRAL AVENUE,1,48,37595,52263,C,0,775,58.9281,62066,0,62965,58.9281,0,1,1,0,37595,52263,0,0,CENTRAL AVENUE,BSR1874,NULL,NULL,0,1,6,0,1.050875,0,0,0.262719,0,30,775,1,1,1,1,1,1,1,1,0.195787,0.105122,0.106137,0.1052,0.105975,0.218028,0.105163,0.105103,0.189136,0.105155,0.106173,0.105196,0.105541,0.177945,0.105159,0.105104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937.5,1937.5,3681.25,3681.25,1937.5,1937.5,5425,5425,0,0,NULL,NULL,1885.15712,1770.85835,6120,1,1.510735,2,0,1,** || **,0,0,0,0,0,0,0,1.1,4,6,0,25063000,250630,0,3,0,0,0,0,8,70,1.050875,0.262719,0.105087,0.105087,0.105087,0.105087,0.105087,0.105087,0.105087,0.105087,30,30,30,30,30,30,30,30,0.279696,0.150174,0.151624,0.150286,0.151393,0.311469,0.150233,0.150147,0.195787,0.105122,0.106137,0.1052,0.105975,0.218028,0.105163,0.105103,5,5,C,68841,CENTRAL AVENUE,1,48,37595,52263,C,0,775,62066,37595,52263,37595/52263,62066,0.052544,37595,52263,37595/52263,52263/37595
62,52964,68843,CENTRAL AVENUE,1,48,52263,46601,C,0,775,30.5487,62067,0,62966,30.5487,0,1,1,0,52263,46601,0,0,CENTRAL AVENUE,BSR1874,NULL,NULL,0,1,6,0,0.701048,0,0,0.175262,0,30,775,1,1,1,1,1,1,1,1,0.130611,0.070128,0.070805,0.07018,0.070697,0.145449,0.070155,0.070115,0.126174,0.07015,0.070829,0.070177,0.070407,0.118709,0.070152,0.070115,860,475,1055,1175,670,1320,790,1155,3375,4125,1530,1795,1845,2330,1937.5,1937.5,3681.25,3681.25,1937.5,1937.5,5425,5425,0,0,NULL,NULL,1885.15712,1770.85835,6120,1,1.510735,2,0,1,** || **,0,0,0,0,0,0,0,1.1,4,6,0,5026400,50264,0,3,0,0,0,0,8,70,0.701048,0.175262,0.070105,0.070105,0.070105,0.070105,0.070105,0.070105,0.070105,0.070105,30,30,30,30,30,30,30,30,0.186587,0.100183,0.10115,0.100257,0.100996,0.207784,0.100221,0.100164,0.130611,0.070128,0.070805,0.07018,0.070697,0.145449,0.070155,0.070115,5,5,C,68842,CENTRAL AVENUE,1,48,52263,46601,C,0,775,62067,52263,46601,52263/46601,62067,0.035052,52263,46601,52263/46601,46601/52263
63,52966,68845,CENTRAL AVENUE,1,48,53790,53707,C,0,775,233.917,62069,0,62968,233.917,0,1,1,0,53790,53707,0,0,CENTRAL AVENUE,BSR1874,COMPLETE STS,NULL,0,1,6,0,3.235167,0,0,0.808792,0,30,775,1,1,1,1,1,1,1,1,0.332774,0.323517,0.323518,0.323517,0.323517,0.339899,0.323517,0.323517,0.34047,0.323517,0.323518,0.323517,0.323519,0.333951,0.323517,0.323517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937.5,1937.5,3681.25,3681.25,1937.5,1937.5,5425,5425,0,0,NULL,NULL,835.622742,852.907405,1895,1,1.292379,2,0,1,** || **,0,0,0,0,0,0,0,1.1,4,6,0,25090100,250901,0,3,0,0,0,0,8,70,3.235167,0.808792,0.323517,0.323517,0.323517,0.323517,0.323517,0.323517,0.323517,0.323517,30,30,30,30,30,30,30,30,0.475391,0.462167,0.462169,0.462167,0.462167,0.48557,0.462167,0.462167,0.332774,0.323517,0.323518,0.323517,0.323517,0.339899,0.323517,0.323517,5,5,C,68844,CENTRAL AVENUE,1,48,53790,53707,C,0,775,62069,53790,53707,53790/53707,62069,0.161758,53790,53707,53790/53707,53707/53790
64,52967,68846,CENTRAL AVENUE,1,48,53707,53706,C,0,775,222.129,62070,0,62969,222.129,0,1,1,0,53707,53706,0,0,CENTRAL AVENUE,BSR1874,COMPLETE STS,NULL,0,1,6,0,3.088474,0,0,0.772118,0,30,775,1,1,1,1,1,1,1,1,0.317685,0.308847,0.308848,0.308847,0.308848,0.324487,0.308847,0.308847,0.325032,0.308847,0.308848,0.308847,0.308849,0.318808,0.308847,0.308847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937.5,1937.5,3681.25,3681.25,1937.5,1937.5,5425,5425,0,0,NULL,NULL,835.622742,852.907405,1895,1,1.292379,2,0,1,** || **,0,0,0,0,0,0,0,1.1,4,6,0,25080300,250803,0,3,0,0,0,0,8,70,3.088474,0.772118,0.308847,0.308847,0.308847,0.308847,0.308847,0.308847,0.308847,0.308847,30,30,30,30,30,30,30,30,0.453836,0.44121,0.441211,0.44121,0.441211,0.463553,0.44121,0.44121,0.317685,0.308847,0.308848,0.308847,0.308848,0.324487,0.308847,0.308847,5,5,C,68845,CENTRAL AVENUE,1,48,53707,53706,C,0,775,62070,53707,53706,53707/53706,62070,0.154424,53707,53706,53707/53706,53706/53707
65,73812,162249,MORTON STREET,2,56,53951,54056,B,0,1650,40.0761,58591,0,59409,40.0761,0,1,1,0,53951,54056,0,0,MORTON STREET,BSR0487,NULL,NULL,0,1,5,0,0.820863,0,0,0.164173,0,35,825,2,2,2,2,2,2,2,2,0.07037,0.07149,0.070377,0.070461,0.070621,0.070375,0.070366,0.070361,0.070382,0.07073,0.070375,0.0704,0.070573,0.070374,0.070365,0.07036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4125,4125,7837.5,7837.5,4125,4125,11550,11550,0,0,NULL,NULL,1576.75244,1357.05925,6363,1,0.677714,2,0,1,** || **,0,0,0,0,0,0,0,1,4,5,0,4991300,49913,0,3,0,0,0,0,5,70,0.820863,0.164173,0.07036,0.07036,0.07036,0.07036,0.07036,0.07036,0.07036,0.07036,35,35,35,35,35,35,35,35,0.087962,0.089362,0.087971,0.088076,0.088276,0.087969,0.087957,0.087951,0.07037,0.07149,0.070377,0.070461,0.070621,0.070375,0.070366,0.070361,4,4,B,162248,MORTON STREET,2,56,53951,54056,B,0,1650,58591,53951,54056,53951/54056,58591,0.041043,53951,54056,53951/54056,54056/53951
66,73813,162250,MORTON STREET,2,56,54056,54051,B,0,1650,82.381,58592,0,59410,82.381,0,1,1,0,54056,54051,0,0,MORTON STREET,BSR0487,NULL,NULL,0,1,5,0,1.347612,0,0,0.269522,0,35,825,2,2,2,2,2,2,2,2,0.115526,0.117366,0.115539,0.115676,0.115938,0.115534,0.115521,0.115511,0.115546,0.116118,0.115534,0.115576,0.115859,0.115533,0.115519,0.115511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4125,4125,7837.5,7837.5,4125,4125,11550,11550,0,0,NULL,NULL,1576.75244,1357.05925,6363,1,0.677714,2,0,1,** || **,0,0,0,0,0,0,0,1,4,5,0,4995400,49954,0,3,0,0,0,0,5,70,1.347612,0.269522,0.11551,0.11551,0.11551,0.11551,0.11551,0.11551,0.11551,0.11551,35,35,35,35,35,35,35,35,0.144407,0.146707,0.144424,0.144595,0.144922,0.144417,0.144401,0.144389,0.115526,0.117366,0.115539,0.115676,0.115938,0.115534,0.115521,0.115511,4,4,B,162249,MORTON STREET,2,56,54056,54051,B,0,1650,58592,54056,54051,54056/54051,58592,0.067381,54056,54051,54056/54051,54051/54056
67,73814,162251,MORTON STREET,2,56,54051,54052,B,0,1650,149.375,58593,0,59411,149.375,0,1,1,0,54051,54052,0,0,MORTON STREET,BSR0487,NULL,NULL,0,1,5,0,2.179409,0,0,0.435882,0,35,825,2,2,2,2,2,2,2,2,0.186833,0.189808,0.186853,0.187076,0.1875,0.186847,0.186825,0.186809,0.186865,0.18779,0.186846,0.186913,0.187372,0.186844,0.186821,0.186808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4125,4125,7837.5,7837.5,4125,4125,11550,11550,0,0,NULL,NULL,1576.75244,1357.05925,6363,1,0.677714,2,0,1,** || **,0,0,0,0,0,0,0,1,4,5,0,5618400,56184,0,3,0,0,0,0,5,70,2.179409,0.435882,0.186806,0.186806,0.186806,0.186806,0.186806,0.186806,0.186806,0.186806,35,35,35,35,35,35,35,35,0.233541,0.23726,0.233566,0.233845,0.234375,0.233559,0.233531,0.233511,0.186833,0.189808,0.186853,0.187076,0.1875,0.186847,0.186825,0.186809,4,4,B,162250,MORTON STREET,2,56,54051,54052,B,0,1650,58593,54051,54052,54051/54052,58593,0.10897,54051,54052,54051/54052,54052/54051
68,73815,162252,MORTON STREET,2,56,54052,54054,B,0,1650,25.0451,58594,0,59412,25.0451,0,1,1,0,54052,54054,0,0,MORTON STREET,BSR0487,NULL,NULL,0,1,5,0,0.633322,0,0,0.126664,0,35,825,2,2,2,2,2,2,2,2,0.054293,0.055157,0.054298,0.054363,0.054486,0.054296,0.05429,0.054285,0.054302,0.05457,0.054296,0.054316,0.054449,0.054296,0.054289,0.054285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4125,4125,7837.5,7837.5,4125,4125,11550,11550,0,0,NULL,NULL,1576.75244,1357.05925,6363,1,0.677714,2,0,1,** || **,0,0,0,0,0,0,0,1,4,5,0,5002900,50029,0,3,0,0,0,0,5,70,0.633322,0.126664,0.054285,0.054285,0.054285,0.054285,0.054285,0.054285,0.054285,0.054285,35,35,35,35,35,35,35,35,0.067866,0.068946,0.067872,0.067954,0.068108,0.06787,0.067862,0.067856,0.054293,0.055157,0.054298,0.054363,0.054486,0.054296,0.05429,0.054285,4,4,B,162251,MORTON STREET,2,56,54052,54054,B,0,1650,58594,54052,54054,54052/54054,58594,0.031666,54052,54054,54052/54054,54054/54052
69,71740,87619,ELIOT STREET,1,48,53710,53711,C,0,775,33.9238,89126,0,108277,33.9238,0,1,1,0,53710,53711,0,0,ELIOT STREET,BSR1873,NULL,NULL,0,1,6,0,0.744723,0,0,0.186181,0,30,775,1,1,1,1,1,1,1,1,0.07658,0.074472,0.074489,0.074472,0.074494,0.07623,0.074472,0.074472,0.075282,0.074472,0.074487,0.074472,0.074473,0.077211,0.074472,0.074472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937.5,1937.5,3681.25,3681.25,1937.5,1937.5,5425,5425,0,0,NULL,NULL,643.546194,614.032928,1484,1,0.693809,2,0,1,** || **,0,0,0,0,0,0,0,1.1,4,6,0,25065500,250655,0,3,0,0,0,0,8,70,0.744723,0.186181,0.074472,0.074472,0.074472,0.074472,0.074472,0.074472,0.074472,0.074472,30,30,30,30,30,30,30,30,0.1094,0.106389,0.106413,0.106389,0.10642,0.1089,0.106389,0.106389,0.07658,0.074472,0.074489,0.074472,0.074494,0.07623,0.074472,0.074472,5,5,C,87618,ELIOT STREET,1,48,53710,53711,C,0,775,89126,53710,53711,53710/53711,89197,0.037236,53710,53711,53710/53711,53711/53710
70,31626,47505,ADAMS STREET,1,40,54929,54930,B,0,750,134.026,35428,0,35794,134.026,0,1,1,0,54929,54930,0,0,ADAMS STREET,BSR0504,NULL,NULL,0,1,5,0,1.989601,0,0,0.01,0,25,750,1,1,1,1,1,1,1,1,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,1875,3562.5,3562.5,1875,1875,5250,5250,0,0,NULL,NULL,0.8085,1.3,3,1,0.821425,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,5,0,4970300,49703,0,2,0,0,0,0,5,70,1.989601,0.01,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,25,25,25,25,25,25,25,25,0.29844,0.29844,0.29844,0.29844,0.29844,0.29844,0.29844,0.29844,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,0.238752,4,4,B,47504,ADAMS STREET,1,40,54929,54930,B,0,750,35428,54929,54930,54929/54930,35428,0.09948,54929,54930,54929/54930,54930/54929
71,31628,47507,ADAMS STREET,1,40,54942,54929,B,0,750,66.0336,35430,0,35796,66.0336,0,1,1,0,54942,54929,0,0,ADAMS STREET,BSR0504,NULL,NULL,0,1,5,0,1.143874,0,0,0.01,0,25,750,1,1,1,1,1,1,1,1,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,1875,3562.5,3562.5,1875,1875,5250,5250,0,0,NULL,NULL,0.8085,1.3,3,1,0.821425,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,5,0,5630800,56308,0,2,0,0,0,0,5,70,1.143874,0.01,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,25,25,25,25,25,25,25,25,0.171581,0.171581,0.171581,0.171581,0.171581,0.171581,0.171581,0.171581,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,0.137265,4,4,B,47506,ADAMS STREET,1,40,54942,54929,B,0,750,35430,54942,54929,54942/54929,35430,0.057194,54942,54929,54942/54929,54929/54942
72,31632,47511,ADAMS STREET,1,40,54940,54942,B,0,750,55.8242,35434,0,35800,55.8242,0,1,1,0,54940,54942,0,0,ADAMS STREET,BSR0504,NULL,NULL,0,1,5,0,1.014854,0,0,0.01,0,25,750,1,1,1,1,1,1,1,1,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,1875,3562.5,3562.5,1875,1875,5250,5250,0,0,NULL,NULL,0.8085,1.3,3,1,0.821425,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,5,0,5694000,56940,0,2,0,0,0,0,5,70,1.014854,0.01,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,25,25,25,25,25,25,25,25,0.152227,0.152227,0.152227,0.152227,0.152227,0.152227,0.152227,0.152227,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,0.121782,4,4,B,47510,ADAMS STREET,1,40,54940,54942,B,0,750,35434,54940,54942,54940/54942,35434,0.050743,54940,54942,54940/54942,54942/54940
73,31633,47512,ADAMS STREET,1,40,54941,54940,B,0,750,13.1785,35435,0,35801,13.1785,0,1,1,0,54941,54940,0,0,ADAMS STREET,BSR0504,NULL,NULL,0,1,5,0,0.23397,0,0,0.01,0,25,750,1,1,1,1,1,1,1,1,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,1875,3562.5,3562.5,1875,1875,5250,5250,0,0,NULL,NULL,0.8085,1.3,3,1,0.821425,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,5,0,5868600,58686,0,2,0,0,0,0,5,70,0.23397,0.01,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,25,25,25,25,25,25,25,25,0.035095,0.035095,0.035095,0.035095,0.035095,0.035095,0.035095,0.035095,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,0.028076,4,4,B,47511,ADAMS STREET,1,40,54941,54940,B,0,750,35435,54941,54940,54941/54940,35435,0.011698,54941,54940,54941/54940,54940/54941
74,31634,47513,ADAMS STREET,1,40,54938,54939,B,0,750,260.357,35436,0,35802,260.357,0,1,1,0,54938,54939,0,0,ADAMS STREET,BSR0504,NULL,NULL,0,1,5,0,3.551292,0,0,0.01,0,25,750,1,1,1,1,1,1,1,1,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,1875,3562.5,3562.5,1875,1875,5250,5250,0,0,NULL,NULL,0.8085,1.3,3,1,0.74675,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,5,0,5006700,50067,0,2,0,0,0,0,5,70,3.551292,0.01,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,25,25,25,25,25,25,25,25,0.532694,0.532694,0.532694,0.532694,0.532694,0.532694,0.532694,0.532694,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,0.426155,4,4,B,47512,ADAMS STREET,1,40,54938,54939,B,0,750,35436,54938,54939,54938/54939,35436,0.177565,54938,54939,54938/54939,54939/54938
75,31635,47514,ADAMS STREET,1,40,54939,54941,B,0,750,215.416,35437,0,35803,215.416,0,1,1,0,54939,54941,0,0,ADAMS STREET,BSR0504,NULL,NULL,0,1,5,0,2.996704,0,0,0.01,0,25,750,1,1,1,1,1,1,1,1,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,1875,3562.5,3562.5,1875,1875,5250,5250,0,0,NULL,NULL,0.8085,1.3,3,1,0.821425,2,0,1,** || **,0,0,0,0,0,0,0,0.15,4,5,0,5868500,58685,0,2,0,0,0,0,5,70,2.996704,0.01,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,25,25,25,25,25,25,25,25,0.449505,0.449505,0.449505,0.449505,0.449505,0.449505,0.449505,0.449505,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,0.359604,4,4,B,47513,ADAMS STREET,1,40,54939,54941,B,0,750,35437,54939,54941,54939/54941,35437,0.149835,54939,54941,54939/54941,54941/54939
76,73364,163719,MORTON STREET,2,56,53937,53932,B,2,1650,110.991,41012,0,41409,110.991,0,1,1,0,53932,53937,0,0,MORTON STREET,BSR0487,COMPLETE STS,NULL,0,1,5,0,1.710269,0,0,0.342054,0,35,825,2,2,2,2,2,2,2,2,0.146616,0.14895,0.146631,0.146806,0.147139,0.146626,0.146609,0.146596,0.14664,0.147366,0.146626,0.146678,0.147038,0.146624,0.146606,0.146596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4125,4125,7837.5,7837.5,4125,4125,11550,11550,0,0,NULL,NULL,1576.75244,1357.05925,6363,1,0.677714,2,0,1,** || **,0,0,0,0,0,0,0,1,4,5,0,4977800,49778,0,3,0,0,0,0,5,70,1.710269,0.342054,0.146594,0.146594,0.146594,0.146594,0.146594,0.146594,0.146594,0.146594,35,35,35,35,35,35,35,35,0.18327,0.186187,0.183289,0.183507,0.183924,0.183282,0.183261,0.183245,0.146616,0.14895,0.146631,0.146806,0.147139,0.146626,0.146609,0.146596,4,4,B,163718,MORTON STREET,2,56,53937,53932,B,2,1650,41012,53937,53932,53937/53932,41012,0.085513,53932,53937,53932/53937,53937/53932
77,73365,163720,MORTON STREET,2,56,53945,53944,B,2,1650,11.7193,41013,0,41410,11.7193,0,1,1,0,53944,53945,0,0,MORTON STREET,BSR0487,NULL,NULL,0,1,5,0,0.46877,0,0,0.093754,0,35,825,2,2,2,2,2,2,2,2,0.040186,0.040826,0.04019,0.040238,0.040329,0.040189,0.040184,0.040181,0.040193,0.040392,0.040189,0.040203,0.040302,0.040188,0.040183,0.040181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4125,4125,7837.5,7837.5,4125,4125,11550,11550,0,0,NULL,NULL,1576.75244,1357.05925,6363,1,0.677714,2,0,1,** || **,0,0,0,0,0,0,0,1,4,5,0,4982100,49821,0,3,0,0,0,0,5,70,0.46877,0.093754,0.04018,0.04018,0.04018,0.04018,0.04018,0.04018,0.04018,0.04018,35,35,35,35,35,35,35,35,0.050232,0.051033,0.050237,0.050298,0.050411,0.050236,0.05023,0.050226,0.040186,0.040826,0.04019,0.040238,0.040329,0.040189,0.040184,0.040181,4,4,B,163719,MORTON STREET,2,56,53945,53944,B,2,1650,41013,53945,53944,53945/53944,41013,0.023438,53944,53945,53944/53945,53945/53944
78,73366,163721,MORTON STREET,2,56,53938,53937,B,2,1650,41.2325,41014,0,41411,41.2325,0,1,1,0,53937,53938,0,0,MORTON STREET,BSR0487,NULL,NULL,0,1,5,0,0.835554,0,0,0.167111,0,35,825,2,2,2,2,2,2,2,2,0.071629,0.07277,0.071637,0.071722,0.071885,0.071634,0.071626,0.07162,0.071641,0.071996,0.071634,0.07166,0.071836,0.071633,0.071624,0.07162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4125,4125,7837.5,7837.5,4125,4125,11550,11550,0,0,NULL,NULL,1576.75244,1357.05925,6363,1,0.677714,2,0,1,** || **,0,0,0,0,0,0,0,1,4,5,0,4980100,49801,0,3,0,0,0,0,5,70,0.835554,0.167111,0.071619,0.071619,0.071619,0.071619,0.071619,0.071619,0.071619,0.071619,35,35,35,35,35,35,35,35,0.089536,0.090963,0.089546,0.089652,0.089856,0.089542,0.089532,0.089525,0.071629,0.07277,0.071637,0.071722,0.071885,0.071634,0.071626,0.07162,4,4,B,163720,MORTON STREET,2,56,53938,53937,B,2,1650,41014,53938,53937,53938/53937,41014,0.041778,53937,53938,53937/53938,53938/53937
