age N
0 17083
1 10879
2 5955
3 3048
4 3291
5 8866
6 15122
7 15021
8 14796
9 16776
10 19309
11 15996
12 20570
13 18102
14 6258
15 8859
16 5090
17 7043
18 8638
19 5582
20 4253
21 4319
22 14110
