age N
0 17704
1 10594
2 6383
3 2847
4 3038
5 8906
6 14429
7 14998
8 14330
9 18371
10 19569
11 15606
12 19824
13 16531
14 5886
15 7817
16 4792
17 6132
18 6438
19 4865
20 3569
21 4232
22 14512
