age N
0 7589
1 4665
2 3136
3 1564
4 1792
5 4094
6 7644
7 7123
8 6703
9 7603
10 8542
11 7907
12 8603
13 7387
14 2539
15 2761
16 1935
17 2471
18 3188
19 2098
20 1400
21 1448
22 7422
