age N
0 54988
1 33373
2 28779
3 14360
4 15518
5 39484
6 67984
7 65567
8 60964
9 62282
10 64975
11 55692
12 65626
13 57464
14 20559
15 29325
16 16746
17 19718
18 23659
19 15510
20 10657
21 9838
22 59748
