age N
0 6226
1 3661
2 5032
3 2462
4 2694
5 5613
6 6239
7 5770
8 5627
9 5768
10 6391
11 6225
12 6736
13 6568
14 2499
15 3419
16 2044
17 2578
18 3430
19 2353
20 1814
21 1902
22 6131
