age N
0 7703
1 4518
2 2413
3 1301
4 929
5 3127
6 4798
7 4733
8 4588
9 6386
10 8096
11 5229
12 8387
13 6562
14 2370
15 3013
16 1972
17 2114
18 2662
19 1617
20 1291
21 1601
22 4704
