age N
0 3636
1 2332
2 3013
3 1604
4 1422
5 3428
6 4542
7 4428
8 4076
9 4574
10 4898
11 3594
12 5302
13 5085
14 1820
15 2643
16 1682
17 2442
18 3186
19 2550
20 1837
21 2038
22 3417
