age N
0 33879
1 19837
2 18505
3 10992
4 11061
5 29984
6 61135
7 51356
8 38394
9 36629
10 39420
11 36493
12 43426
13 39597
14 15188
15 19950
16 11904
17 13092
18 17078
19 13375
20 10198
21 9414
22 41547
