age N
0 7110
1 4455
2 2668
3 1199
4 1908
5 3442
6 5731
7 5875
8 5757
9 7470
10 7845
11 6817
12 8398
13 7911
14 2289
15 3692
16 2305
17 2537
18 3382
19 2383
20 1424
21 1434
22 5928
