age N
0 11824
1 7761
2 4609
3 2235
4 2302
5 5939
6 8526
7 8309
8 8437
9 12048
10 14253
11 10575
12 14927
13 12306
14 4498
15 5922
16 3827
17 4384
18 6017
19 4303
20 2992
21 3224
22 8226
