age N
0 1676
1 1185
2 713
3 431
4 274
5 1065
6 1481
7 1585
8 1720
9 1833
10 2034
11 1731
12 2365
13 2336
14 773
15 1333
16 833
17 982
18 1554
19 1215
20 588
21 652
22 1454
