age N
0 985
1 556
2 963
3 522
4 361
5 857
6 977
7 1114
8 820
9 746
10 1176
11 922
12 1413
13 1486
14 581
15 852
16 623
17 661
18 1234
19 753
20 665
21 769
22 887
