age N
0 2060
1 1233
2 713
3 189
4 402
5 1223
6 1898
7 1659
8 1694
9 2314
10 2339
11 2037
12 2805
13 3084
14 907
15 1757
16 1173
17 1565
18 2594
19 1811
20 1188
21 1385
22 1769
