age N
0 67489
1 40456
2 22603
3 9991
4 9669
5 36782
6 67087
7 71268
8 71806
9 71311
10 75159
11 65717
12 76849
13 69268
14 26444
15 34177
16 19773
17 24014
18 30745
19 22072
20 17170
21 21452
22 66557
