id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category
137069,14,4,1,,48.0,,2
137070,14,8,1,,48.0,,2
137071,14,6,1,,48.0,,2
137072,14,7,1,,48.0,,2
138520,44,1,1,,32.0,,2
138611,37,11,1,,56.0,,2
138612,37,6,1,,56.0,,2
138613,37,2,1,,56.0,,2
138614,37,12,1,,56.0,,2
138615,37,3,1,,56.0,,2
138616,37,4,1,,56.0,,2
138617,37,9,1,,56.0,,2
138618,37,7,1,,56.0,,2
138619,37,10,1,,56.0,,2
138620,37,8,1,,56.0,,2
138621,37,5,1,,56.0,,2
138622,37,1,1,,56.0,,2
138623,3,4,1,,56.0,,2
138624,3,1,1,,56.0,,2
138625,3,5,1,,56.0,,2
138626,3,6,1,,56.0,,2
138627,3,3,1,,56.0,,2
138628,3,2,1,,56.0,,2
138681,25,8,1,,45.0,,2
138682,25,7,1,,45.0,,2
138683,25,6,1,,45.0,,2
138684,27,7,1,,40.0,,2
138685,27,9,1,,40.0,,2
138686,27,8,1,,40.0,,2
138687,30,1,1,,56.0,,2
138688,30,2,1,,45.0,,2
138689,51,3,1,,56.0,,2
138690,51,7,1,,45.0,,2
138691,51,4,1,,45.0,,2
138692,51,8,1,,45.0,,2
138693,51,6,1,,45.0,,2
138694,51,5,1,,45.0,,2
138695,9,1,1,,56.0,,2
138696,9,2,1,,45.0,,2
138722,36,7,1,,48.0,,2
138723,36,8,1,,48.0,,2
138724,36,6,1,,48.0,,2
140973,18,7,1,,48.0,,2
140974,18,6,1,,48.0,,2
140975,18,4,1,,48.0,,2
140976,18,5,1,,48.0,,2
140977,18,2,1,,48.0,,2
140978,18,1,1,,48.0,,2
140979,18,3,1,,48.0,,2
140980,18,8,1,,48.0,,2
141031,56,1,1,,60.0,,2
141296,36,5,1,,48.0,,2
141297,36,4,1,,48.0,,2
141346,28,1,1,,45.0,,2
141347,28,2,1,,45.0,,2
141348,17,2,1,,45.0,,2
141349,17,1,1,,45.0,,2
141350,12,5,1,,48.0,,2
141351,12,6,1,,48.0,,2
141352,12,1,1,,48.0,,2
141353,12,4,1,,48.0,,2
141354,12,2,1,,48.0,,2
141355,12,3,1,,48.0,,2
141356,11,1,1,,48.0,,2
141357,11,3,1,,48.0,,2
141358,11,2,1,,48.0,,2
141360,12,8,1,,48.0,,2
141361,12,7,1,,48.0,,2
142326,25,1,1,,45.0,,2
142328,25,5,1,,45.0,,2
142329,25,2,1,,45.0,,2
142330,25,3,1,,45.0,,2
142331,25,4,1,,45.0,,2
160134,14,3,1,,48.0,,2
161843,8,1,2,,56.0,,2
161844,8,4,2,,56.0,,2
161845,8,2,2,,56.0,,2
161846,8,3,2,,56.0,,2
161847,8,5,2,,56.0,,2
161848,8,6,2,,56.0,,2
161849,8,7,2,,56.0,,2
161884,34,1,2,,56.0,,2
161885,7,1,2,,56.0,,2
161886,42,2,2,,56.0,,2
161887,42,4,2,,56.0,,2
161888,42,3,2,,56.0,,2
161889,42,1,2,,56.0,,2
162025,46,4,2,,56.0,,2
162026,46,2,2,,56.0,,2
162027,46,1,2,,56.0,,2
162028,46,3,2,,56.0,,2
162057,47,1,2,,56.0,,2
162249,8,8,2,,56.0,,2
162250,8,9,2,,56.0,,2
162251,8,10,2,,56.0,,2
162252,8,11,2,,56.0,,2
162368,54,1,2,,89.0,,2
163719,32,11,2,,56.0,,2
163720,32,8,2,,56.0,,2
163721,32,10,2,,56.0,,2
163722,32,9,2,,56.0,,2
163723,32,7,2,,56.0,,2
163724,32,6,2,,56.0,,2
163725,32,5,2,,56.0,,2
163760,6,1,2,,56.0,,2
163761,33,1,2,,56.0,,2
163762,45,3,2,,56.0,,2
163763,45,1,2,,56.0,,2
163764,45,2,2,,56.0,,2
163765,45,4,2,,56.0,,2
163901,50,1,2,,56.0,,2
163902,50,3,2,,56.0,,2
163903,50,4,2,,56.0,,2
163904,50,2,2,,56.0,,2
164125,32,4,2,,56.0,,2
164126,32,3,2,,56.0,,2
164127,32,2,2,,56.0,,2
164128,32,1,2,,56.0,,2
164244,53,1,2,,89.0,,2
