id,x,y,z,seq_id
100,-72.025644531912334,40.876172994081578,0,1
100,-72.024809622261955,40.875656615445422,0,2
100,-72.024636815469577,40.875549711995333,0,3
101,-70.184615468087671,43.852851005918417,0,1
101,-70.183623977712628,43.852237784538843,0,2
101,-70.183294600342194,43.852034021846436,0,3
200,-72.299265101125371,43.641616028247448,0,1
200,-72.294373737604516,43.646200227933491,0,2
200,-72.289200428778599,43.650965605597492,0,3
201,-69.905875098874617,41.087857171752553,0,1
201,-69.911986262394592,41.082129772067333,0,2
201,-69.917903922790202,41.076678737222636,0,3
300,-72.007584659716699,40.86513130113206,0,1
300,-72.006508688059085,40.864482093118134,0,2
301,-70.199431283598514,43.861893114895786,0,1
301,-70.198355311940901,43.86124390688186,0,2
400,-72.278558881826427,43.660684522998665,0,1
400,-72.279383953516401,43.659937410838467,0,2
400,-72.28037216169075,43.659040470297995,0,3
400,-72.280774336378343,43.658675534007415,0,4
401,-69.929292630873789,41.066277445816112,0,1
401,-69.928600046483837,41.066904589161346,0,2
401,-69.928239838330313,41.067231529682871,0,3
401,-69.928809663621664,41.06671446599259,0,4
500,-72.308512901654495,43.632953237887122,0,1
500,-72.284984824756506,43.655248891710201,0,2
500,-72.260728873350203,43.676571933960126,0,3
501,-69.901071098345511,41.092436762112882,0,1
501,-69.925019175243605,41.0697431082897,0,2
501,-69.949887126649784,41.047882066039868,0,3
600,-72.294689919249706,43.645921141983159,0,1
600,-72.305139576356737,43.636239214786485,0,2
600,-72.315376630439573,43.626447250011651,0,3
601,-69.915926080750282,41.078532858016835,0,1
601,-69.905966423642937,41.087760785213817,0,2
601,-69.896097369560437,41.097200749988346,0,3
700,-72.289445749279892,43.650751304729887,0,1
700,-72.287944848966518,43.652129682568756,0,2
700,-72.272437173812975,43.666294173257711,0,3
700,-72.258730430725336,43.678283740477731,0,4
701,-69.922028250720118,41.07289669527011,0,1
701,-69.924019150960802,41.071068317497975,0,2
701,-69.939780826114145,41.056671826806024,0,3
701,-69.954381569274659,41.043900259522268,0,4
800,-72.287007822136459,43.653002792436808,0,1
800,-72.289371194273812,43.650843319072109,0,2
800,-72.29177226728693,43.648634974327727,0,3
801,-69.926104177863536,41.06918120756319,0,1
801,-69.92425080570824,41.070874680944392,0,2
801,-69.922447732713081,41.072533025672278,0,3
900,-72.368337024352329,43.573764280520329,0,1
900,-72.333173035353369,43.610320902748398,0,2
900,-72.296294014491181,43.644450172055109,0,3
901,-69.845882975647683,41.147403719479676,0,1
901,-69.881248964646758,41.110637097251498,0,2
901,-69.919039985508832,41.075663827944886,0,3
1000,-72.281826317274337,43.657689420085859,0,1
1000,-72.282383317274338,43.65718542008586,0,2
1001,-69.933507682725676,41.062424579914136,0,1
1001,-69.934064682725676,41.061920579914137,0,2
1100,-72.307207114237514,43.634284144898146,0,1
1100,-72.307796114237505,43.633730144898145,0,2
1101,-69.9092408857625,41.08482185510185,0,1
1101,-69.909829885762491,41.084267855101849,0,2
1200,-72.304247863402935,43.637058265981359,0,1
1200,-72.305004263402935,43.636350765981362,0,2
1201,-69.913378136597061,41.080939734018635,0,1
1201,-69.914134536597061,41.080232234018638,0,2
1300,-72.318676180118828,43.62342421804609,0,1
1300,-72.319468780118825,43.622666718046091,0,2
1301,-69.900462619881168,41.09315878195391,0,1
1301,-69.901255219881165,41.092401281953912,0,2
1400,-72.285074007378029,43.654666105732439,0,1
1400,-72.285572007378036,43.65421510573244,0,2
1401,-69.935649992621961,41.060401894267564,0,1
1401,-69.936147992621969,41.059950894267566,0,2
1500,-72.269420673329165,43.668661120515544,0,1
1500,-72.297072774112152,43.644235098152869,0,2
1500,-72.315507664111863,43.626516126211655,0,3
1500,-72.307395097666131,43.634110024444688,0,4
1501,-69.95229932667084,41.045504879484461,0,1
1501,-69.924767225888061,41.069824901846921,0,2
1501,-69.906785535888673,41.087108273787834,0,3
1501,-69.915551902333874,41.078902375555309,0,4
1600,-72.324568100338297,43.617815634924696,0,1
1600,-72.325107000338292,43.6172973349247,0,2
1601,-69.898378899661708,41.095196765075301,0,1
1601,-69.898917799661703,41.094678465075305,0,2
