stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
S66,7668,TIMONIUM FAIRGROUNDS LIGHT RAIL STATION sb,,39.448547,-76.63498299999999,,,,,0
S67,7669,TIMONIUM BUSINESS PARK sb,,39.434422,-76.628334,,,,,0
S68,7670,LUTHERVILLE & LT RAIL STAT sb,,39.428688,-76.627341,,,,,0
S69,7671,FALLS RD & LT RAIL STAT sb,,39.375948,-76.650749,,,,,0
S70,7673,MT WASHINGTON & LT RAIL STAT sb,,39.367728,-76.651459,,,,,0
S71,7674,COLDSPRING & LT RAIL sb,,39.343712,-76.64777,,,,,0
S72,7675,WOODBERRY/LT RAIL nb,,39.331258,-76.643251,,,,,0
S73,7676,NORTH AVE LT RAIL sb,,39.311446000000004,-76.622276,,,,,0
S93,7677,PENN STATION LIGHT RAIL,,39.307805,-76.61610999999999,,,,,0
S74,7678,MT ROYAL AVE & LT RAIL STAT sb,,39.307038,-76.620067,,,,,0
S75,7679,CULTURAL CTR & LT RAIL STAT sb,,39.301896,-76.620253,,,,,0
S76,7680,CENTRE ST & LT RAIL STAT sb,,39.296265000000005,-76.620072,,,,,0
S77,7681,LEXINGTON ST & LIGHT RAIL STAT sb,,39.291678000000005,-76.619743,,,,,0
S78,7682,BALTIMORE ST & LIGHT RAIL STAT sb,,39.288885,-76.61959499999999,,,,,0
S79,7683,PRATT ST LIGHT RAIL STAT sb,,39.286137,-76.619446,,,,,0
S80,7684,CAMDEN/LT RAIL,,39.282038,-76.61937900000001,,,,,0
S81,7685,HAMBURG ST & LIGHT RAIL STAT sb,,39.277640999999996,-76.62080999999999,,,,,0
S82,7686,WESTPORT LIGHT RAIL STAT sb,,39.261919,-76.631578,,,,,0
S83,7687,CHERRY HILL LIGHT RAIL STAT sb,,39.256040999999996,-76.635003,,,,,0
S84,7689,PATAPSCO & LIGHT RAIL STAT sb,,39.240925,-76.630388,,,,,0
S85,7690,BALTIMORE HIGHLANDS & LT RAIL sb,,39.233799,-76.63344000000001,,,,,0
S86,7692,NURSERY RD & LIGHT RAIL STAT sb,,39.221181,-76.64151600000001,,,,,0
S87,7693,NORTH LINTHICUM LT RAIL sb,,39.214444,-76.645655,,,,,0
S88,7694,LINTHICUM LT RAIL sb,,39.202306,-76.655139,,,,,0
S89,7696,BWI BUSINESS PARK STATION,,39.191594,-76.673937,,,,,0
S90,7697,BWI AIRPORT LT RAIL sb,,39.181234,-76.668364,,,,,0
S91,7698,FERNDALE LT RAIL sb,,39.183392,-76.640128,,,,,0
S92,7699,CROMWELL STATION / GLEN BURNIE sb,,39.171932,-76.63295,,,,,0
S5,10419,ROGERS STATION (METRO) sb,,39.345918,-76.693708,,,,,0
S23,10420,ROGERS STATION (METRO) nb,,39.346336,-76.69438199999999,,,,,0
S2,10906,OLD COURT STAT (METRO) sb,,39.370794000000004,-76.74342299999999,,,,,0
S3,11422,MILFORD MILL METRO STAT sb,,39.36247,-76.72138000000001,,,,,0
S94,11940,MARTINSBURG W VA MARC,,39.461113,-77.96165500000001,,,,,0
S95,11941,DUFFIELDS W VA MARC eb,,39.362262,-77.826636,,,,,0
S96,11942,HARPERS FERRY W VA MARC eb,,39.324496,-77.73057,,,,,0
S97,11943,BRUNSWICK MD MARC eb,,39.311859000000005,-77.62705,,,,,0
S106,11944,FREDERICK MARC eb,,39.41274,-77.405563,,,,,0
S107,11945,MONOCACY MARC eb,,39.383596000000004,-77.393877,,,,,0
S98,11946,POINT OF ROCKS MARC eb,,39.273403,-77.533416,,,,,0
S111,11947,DICKERSON MARC eb,,39.220087,-77.424031,,,,,0
S99,11948,BARNESVILLE MARC eb,,39.209452,-77.38228000000001,,,,,0
S112,11949,BOYDS MARC eb,,39.183837,-77.31299200000001,,,,,0
S100,11950,GERMANTOWN MARC eb,,39.172595,-77.269474,,,,,0
S101,11951,METROPOLITAN GROVE MARC eb,,39.149799,-77.22699300000001,,,,,0
S102,11952,GAITHERSBURG MARC eb,,39.141424,-77.193339,,,,,0
S110,11953,WASHINGTON GROVE MARC eb,,39.135034999999995,-77.17649399999999,,,,,0
S103,11954,ROCKVILLE MARC eb,,39.085144,-77.147085,,,,,0
S108,11955,GARRETT PARK MARC eb,,39.038804999999996,-77.09335,,,,,0
S109,11956,KENSINGTON MARC eb,,39.027071,-77.072234,,,,,0
S104,11957,SILVER SPRING MARC eb,,38.994440999999995,-77.030733,,,,,0
S105,11958,UNION STATION MARC Washington,,38.899035999999995,-77.006795,,,,,0
S113,11959,SILVER SPRING MARC wb,,38.994459,-77.030698,,,,,0
S114,11960,KENSINGTON MARC wb,,39.027125,-77.072188,,,,,0
S115,11961,GARRETT PARK MARC wb,,39.038859,-77.093281,,,,,0
S116,11962,ROCKVILLE MARC wb,,39.085198,-77.14699300000001,,,,,0
S117,11963,WASHINGTON GROVE MARC wb,,39.135089,-77.176378,,,,,0
S118,11964,GAITHERSBURG MARC wb,,39.141532,-77.193339,,,,,0
S119,11965,METROPOLITAN GROVE MARC wb,,39.149791,-77.22711,,,,,0
S120,11966,GERMANTOWN MARC wb,,39.172523,-77.269566,,,,,0
S121,11967,BOYDS MARC wb,,39.183927000000004,-77.312969,,,,,0
S122,11968,BARNESVILLE MARC wb,,39.209542,-77.382234,,,,,0
S123,11969,DICKERSON MARC wb,,39.220195000000004,-77.424031,,,,,0
S124,11970,POINT OF ROCKS MARC wb,,39.273493,-77.53336999999999,,,,,0
S128,11971,MONOCACY MARC wb,,39.383559999999996,-77.393761,,,,,0
S129,11972,FREDERICK MARC wb,,39.412721999999995,-77.405447,,,,,0
S125,11973,BRUNSWICK MD MARC wb,,39.311949,-77.627027,,,,,0
