route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
10196,1,T141,OWINGS MILLS,,1,335354,L5,0
10196,1,T142,OWINGS MILLS,,1,335354,L5,0
10196,1,T143,OWINGS MILLS,,1,335355,L5,0
10196,1,T144,OWINGS MILLS,,1,335361,L5,0
10196,1,T145,OWINGS MILLS,,1,335357,L5,0
10196,1,T146,OWINGS MILLS,,1,335360,L5,0
10196,1,T147,OWINGS MILLS,,1,335359,L5,0
10196,1,T148,OWINGS MILLS,,1,335356,L5,0
10196,1,T149,OWINGS MILLS,,1,335358,L5,0
10196,1,T150,ROGERS AVE STATION,,1,335358,L6,0
10196,1,T151,OWINGS MILLS,,1,335361,L5,0
10196,1,T152,OWINGS MILLS,,1,335360,L5,0
10196,1,T153,OWINGS MILLS,,1,335359,L5,0
10196,1,T154,OWINGS MILLS,,1,335358,L5,0
10196,1,T155,OWINGS MILLS,,1,335362,L5,0
10196,1,T156,OWINGS MILLS,,1,335354,L5,0
10196,1,T157,OWINGS MILLS,,1,335355,L5,0
10196,1,T158,OWINGS MILLS,,1,335361,L5,0
10196,1,T159,OWINGS MILLS,,1,335360,L5,0
10196,1,T160,OWINGS MILLS,,1,335354,L5,0
10196,1,T161,OWINGS MILLS,,1,335357,L5,0
10196,1,T162,OWINGS MILLS,,1,335362,L5,0
10196,1,T163,OWINGS MILLS,,1,335357,L5,0
10196,1,T164,OWINGS MILLS,,1,335356,L5,0
10196,1,T165,OWINGS MILLS,,1,335354,L5,0
10196,1,T166,OWINGS MILLS,,1,335357,L5,0
10196,1,T167,OWINGS MILLS,,1,335356,L5,0
10196,1,T168,OWINGS MILLS,,1,335354,L5,0
10196,1,T169,OWINGS MILLS,,1,335357,L5,0
10196,1,T170,OWINGS MILLS,,1,335356,L5,0
10196,1,T171,OWINGS MILLS,,1,335354,L5,0
10196,1,T172,OWINGS MILLS,,1,335357,L5,0
10196,1,T173,OWINGS MILLS,,1,335356,L5,0
10196,1,T174,OWINGS MILLS,,1,335359,L5,0
10196,1,T175,OWINGS MILLS,,1,335358,L5,0
10196,1,T176,OWINGS MILLS,,1,335364,L5,0
10196,1,T177,OWINGS MILLS,,1,335362,L5,0
10196,1,T178,OWINGS MILLS,,1,335354,L5,0
10196,1,T179,OWINGS MILLS,,1,335355,L5,0
10196,1,T180,OWINGS MILLS,,1,335361,L5,0
