parking_id,segment_id,access_node,egress_node
296,248584,113,9796
297,215341,3619,3620
298,229893,7713,7714
299,200209,2104,2294
300,239630,4609,9646
301,219630,9961,827
302,44279,4860,8231
303,31844,7726,11245
304,44271,4860,4949
305,81685,3342,2902
306,157684,10403,1714
307,122678,6272,6410
308,61388,9982,3322
309,56151,4119,4077
310,188099,7774,3377
311,225247,3634,3535
312,217552,5543,5544
313,232446,8317,6212
314,91921,7242,7243
315,227371,2403,2853
316,90532,4688,6722
317,92757,2239,6903
318,29438,3701,2010
319,162093,4481,4808
320,18349,7915,2976
321,211777,5772,6377
322,52520,4652,8019
323,81527,4147,4148
324,206167,11344,7835
325,70754,3738,3350
326,238279,4600,10875
327,57257,4561,10978
328,45949,3294,10992
329,203845,8521,2754
330,149460,2208,2793
331,140961,10404,5776
332,82148,4151,3133
333,105971,3383,3384
334,2467,6586,4541
335,232349,2908,2907
336,161375,2719,8119
337,214407,9722,6855
338,107014,456,592
339,115188,4711,4712
340,227912,4811,4616
341,152988,4740,10362
342,71891,3366,3365
343,202223,2350,2351
344,159320,4736,4667
345,67423,1721,8887
346,18491,4630,5021
347,9247,1890,2718
348,47349,3731,3903
349,222825,3379,11089
350,116507,1349,10836
351,45173,3803,4238
352,26947,10203,3825
353,121438,6379,11230
354,117795,2363,2761
355,22967,3697,3696
356,215330,3618,3427
357,10106,4073,3791
358,196557,8524,8514
359,118432,3414,3419
360,218479,7356,10368
361,205441,1825,6914
362,238835,8442,4387
363,230247,9823,8829
364,62704,3304,4299
365,66191,1137,11104
366,95157,6773,6720
367,128680,4937,4997
368,95602,6871,6870
369,206922,2504,8596
370,111530,9268,82
371,8881,8183,4138
372,128625,4936,4997
373,143432,3445,3446
374,230216,2894,3558
375,111556,8371,4375
376,9364,3681,3766
377,74624,6626,8791
378,143836,4406,4367
379,71864,10258,3538
380,43080,6213,6419
381,227082,4031,10356
382,213732,263,542
383,212425,88,9869
384,149425,2208,1583
385,160897,4193,4332
386,99844,4176,9773
387,46230,660,659
388,120275,718,10114
389,207151,3973,3472
390,160804,8628,10995
391,78960,3331,3332
392,240554,809,6961
393,79044,3146,3900
394,45553,3723,8637
395,139357,4214,1220
396,232984,548,545
397,159400,4746,4834
398,11958,846,7993
399,237162,4680,4652
400,99684,3377,4324
