id,x,y,z,segment_id,length,section_offset,tags
1,397356.61635877355,206135.15983447456,0,147224,1000,62.77422153311026,
2,424643.95405938075,190880.4373386879,0,83142,1000,232.9506711893454,
3,454663.26867395453,210203.85181835355,0,76182,1000,29.59891295740281,
4,463595.12248217996,220819.68773825685,0,17211,1000,73.7389220014891,
5,438780.0380159134,191954.40668169683,0,151067,1000,9.997093890041512,
6,446660.3833175903,184629.88420167353,0,185086,1000,39.00287389350184,
7,414713.3322832753,162850.26300043386,0,32935,1000,19.762879749067054,
8,388849.92338911374,189796.87715737522,0,100311,1000,23.540470890144555,
9,408915.72576133884,221075.6159617963,0,241521,1000,35.06495517331265,
10,423200.1521450373,190428.3418337595,0,143732,1000,21.636743374431532,
11,429578.5886918222,170445.7160039621,0,816,1000,79.59194841003129,
12,427896.83860582847,157870.17655727823,0,73699,1000,10.223415895403825,
13,430079.67398612486,183633.51044013395,0,226698,1000,122.5986946248563,
14,423456.54141789046,192468.8812497955,0,160491,1000,18.546209787649804,
15,469430.6384982387,206711.43707461123,0,25885,1000,28.411308158887522,
16,441233.7497897754,183855.8883262651,0,125271,1000,18.159792446715144,
17,428835.16312045953,219023.92550245745,0,234899,1000,40.23550609904623,
18,427864.23870654823,157956.0213937024,0,227199,1000,16.93819858485868,
19,414548.03740102425,202876.20666494637,0,105433,1000,40.24448554632751,
20,423799.9365416443,169508.19506300718,0,203121,1000,22.128084687147577,
21,442683.8117320848,189329.36399761794,0,201415,1000,16.0942030134419,
22,437888.86205518263,129787.78465248238,0,52490,1000,22.281808399672634,
23,480099.849872309,147637.8248076558,0,147613,1000,36.31724984490716,
24,424850.80397714337,184264.99924274135,0,101146,1000,21.248390652135857,
25,416690.9768343664,167162.88531874333,0,201841,1000,17.64004912762722,
26,439709.2533355036,145209.32327861252,0,45549,1000,30.765969061387285,
27,461322.662935757,210400.31019669556,0,79781,1000,42.11894765414186,
28,451560.54778464703,206000.0153958436,0,210635,1000,90.6976729901039,
29,397043.81189685693,222931.68464183618,0,69674,1000,30.56320948242964,
30,432640.49691574316,182265.84680357913,0,64535,1000,20.55359049573807,
31,420061.10225169105,205915.78469323812,0,161701,1000,24.316730539137303,
32,429499.92896202434,156270.27528878985,0,82221,1000,68.01653539446534,
33,436869.5175706515,161781.66620525497,0,223561,1000,37.24217277477373,
34,431465.5068897796,166778.63597567723,0,175742,1000,22.096671650708466,
