route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
10196,2,T258,JOHNS HOPKINS,,0,335366,L1,0
10196,2,T259,JOHNS HOPKINS,,0,335367,L1,0
10196,2,T260,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T261,JOHNS HOPKINS,,0,335369,L1,0
10196,2,T262,JOHNS HOPKINS,,0,335365,L1,0
10196,2,T263,JOHNS HOPKINS,,0,335366,L1,0
10196,2,T264,JOHNS HOPKINS,,0,335367,L1,0
10196,2,T265,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T266,JOHNS HOPKINS,,0,335369,L1,0
10196,2,T267,JOHNS HOPKINS,,0,335365,L1,0
10196,2,T268,JOHNS HOPKINS,,0,335366,L1,0
10196,2,T269,JOHNS HOPKINS,,0,335367,L1,0
10196,2,T270,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T271,JOHNS HOPKINS,,0,335369,L1,0
10196,2,T272,JOHNS HOPKINS,,0,335365,L1,0
10196,2,T273,JOHNS HOPKINS,,0,335366,L1,0
10196,2,T274,JOHNS HOPKINS,,0,335367,L1,0
10196,2,T275,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T276,JOHNS HOPKINS,,0,335369,L1,0
10196,2,T277,JOHNS HOPKINS,,0,335365,L1,0
10196,2,T278,JOHNS HOPKINS,,0,335366,L1,0
10196,2,T279,JOHNS HOPKINS,,0,335367,L1,0
10196,2,T280,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T281,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T282,JOHNS HOPKINS,,0,335369,L1,0
10196,2,T283,JOHNS HOPKINS,,0,335365,L1,0
10196,2,T284,JOHNS HOPKINS,,0,335366,L1,0
10196,2,T285,JOHNS HOPKINS,,0,335367,L1,0
10196,2,T286,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T287,JOHNS HOPKINS,,0,335369,L1,0
10196,2,T288,JOHNS HOPKINS,,0,335365,L1,0
10196,2,T289,JOHNS HOPKINS,,0,335366,L1,0
10196,2,T290,JOHNS HOPKINS,,0,335367,L1,0
10196,2,T291,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T292,JOHNS HOPKINS,,0,335369,L1,0
10196,2,T293,JOHNS HOPKINS,,0,335365,L1,0
10196,2,T294,JOHNS HOPKINS,,0,335366,L1,0
10196,2,T295,JOHNS HOPKINS,,0,335367,L1,0
10196,2,T296,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T297,JOHNS HOPKINS,,0,335369,L1,0
10196,2,T301,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T302,JOHNS HOPKINS,,0,335367,L1,0
10196,2,T303,JOHNS HOPKINS,,0,335366,L1,0
10196,2,T304,JOHNS HOPKINS,,0,335369,L1,0
10196,2,T305,JOHNS HOPKINS,,0,335365,L1,0
10196,2,T306,JOHNS HOPKINS,,0,335366,L1,0
10196,2,T307,JOHNS HOPKINS,,0,335367,L1,0
10196,2,T308,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T309,JOHNS HOPKINS,,0,335369,L1,0
10196,2,T310,JOHNS HOPKINS,,0,335365,L1,0
10196,2,T311,JOHNS HOPKINS,,0,335366,L1,0
10196,2,T312,JOHNS HOPKINS,,0,335367,L1,0
10196,2,T313,JOHNS HOPKINS,,0,335368,L1,0
10196,2,T314,JOHNS HOPKINS,,0,335369,L1,0
