id,x,y,z,traffic_light_id,tags,node_type,osmid
102575250,-76.4038573,39.0085489,0,0,,3,-1
102575266,-76.4041042,39.0083777,0,0,,3,-1
182804791,-76.2216155,38.9643513,0,0,,2,-1
182804802,-76.2804113,38.9740474,0,0,,2,-1
182805138,-76.2104146,38.9640885,0,0,,2,-1
182805178,-76.0806339,39.0143417,0,0,,3,-1
182805179,-76.0764327,39.0155132,0,0,,2,-1
182805187,-76.0768665,39.0146246,0,0,,3,-1
182805188,-76.0763039,39.0145352,0,0,,2,-1
182805449,-76.0717488,39.0404271,0,0,,3,-1
182805471,-76.0758983,39.0122605,0,0,,2,-1
182805640,-76.1996396,38.8692322,0,0,,2,-1
182805879,-76.1982589,38.9637131,0,0,,2,-1
182806161,-76.2041237,38.9610966,0,0,,2,-1
182806265,-76.1419164,38.9911576,0,0,,2,-1
182806268,-76.1424298,38.9943545,0,0,,2,-1
182806760,-76.0756114,39.0111361,0,0,,2,-1
182807058,-76.0583658,39.0494686,0,0,,2,-1
182807817,-76.2119489,38.9610394,0,0,,2,-1
182811595,-76.2120079,38.9609393,0,0,,2,-1
182812124,-76.3186277,38.9829082,0,0,,2,-1
182812864,-76.3217849,38.978467,0,0,,2,-1
182813292,-76.0653235,39.044261,0,0,,2,-1
182813295,-76.0664503,39.0448114,0,0,,2,-1
182813299,-76.067514,39.0454783,0,0,,3,-1
182813566,-76.3538042,38.9375199,0,0,,2,-1
182813575,-76.3555168,38.9381583,0,0,,2,-1
182813587,-76.3541467,38.933455,0,0,,2,-1
182813649,-76.3512741,38.947297,0,0,,2,-1
182814311,-76.0647066,39.0450675,0,0,,2,-1
182814315,-76.0657986,39.0456129,0,0,,2,-1
182814329,-76.0679258,39.0466384,0,0,,2,-1
182814510,-76.1479349,38.9819461,0,0,,2,-1
182816386,-76.2852286,38.9370791,0,0,,2,-1
182816468,-76.2762056,38.9493508,0,0,,2,-1
182817935,-76.3103139,38.978576,0,0,,2,-1
182819367,-76.1185799,39.0609867,0,0,,2,-1
182820522,-76.1194545,38.9694046,0,0,,2,-1
182820653,-76.0784759,38.9544123,0,0,,2,-1
182820681,-76.0931863,38.9590733,0,0,,2,-1
182820747,-76.1405414,38.9799449,0,0,,2,-1
182822072,-76.0732002,39.0003022,0,0,,2,-1
182822612,-76.311519,39.009122,0,0,,2,-1
182822666,-76.3066593,39.001542,0,0,,2,-1
182822675,-76.3100174,38.9854275,0,0,,2,-1
182822938,-76.2984123,38.9256984,0,0,,2,-1
182826475,-76.2431929,38.9688578,0,0,,2,-1
182826903,-76.1926497,38.9646488,0,0,,2,-1
182827552,-76.3196697,38.9822535,0,0,,3,-1
182827559,-76.3144985,38.985312,0,0,,2,-1
182827571,-76.311566,38.988221,0,0,,2,-1
182827776,-76.3148553,38.986935,0,0,,2,-1
182831143,-76.2031399,38.9589519,0,0,,2,-1
182831551,-76.1608608,38.9840563,0,0,,2,-1
182831589,-76.1480433,38.9849566,0,0,,2,-1
182832836,-76.072289,39.0401915,0,0,,2,-1
182833650,-76.3185648,38.985535,0,0,,2,-1
182837290,-76.3135473,38.9793569,0,0,,2,-1
182837349,-76.047345,38.936547,0,0,,2,-1
182837445,-76.2698809,38.9725498,0,0,,2,-1
182841438,-76.3224981,38.9766155,0,0,,2,-1
182843639,-76.3116915,39.0009545,0,0,,2,-1
182846504,-76.0084202,39.0467958,0,0,,2,-1
182847214,-76.0811328,38.9429439,0,0,,2,-1
182848928,-76.2132739,38.9595961,0,0,,2,-1
182848934,-76.2102398,38.9583987,0,0,,2,-1
182848958,-76.1944028,38.959705,0,0,,2,-1
182848990,-76.2896427,38.9771118,0,0,,2,-1
182849090,-75.9922671,39.1386216,0,0,,2,-1
182849191,-76.1819955,38.9651581,0,0,,2,-1
182849207,-76.177068,38.9694197,0,0,,2,-1
182849293,-76.2376569,38.9664877,0,0,,2,-1
