id,road_type,category,from_node,to_node,road_name,tags,osmid
638,3,3,182861111,182841438,Romancoke Road,,91539633
639,6,6,3605815180,640615889,noname,,50417793
640,4,4,3605815180,640615882,Piney Creek Road,,17655797
641,4,4,3605815180,182855738,Piney Creek Road,,17655797
642,3,3,182819367,182814329,Corsica Neck Road,,17657280
643,6,6,182827552,1063436169,noname,,91540759
644,3,3,182827552,182812124,Business Parkway,,50417353
645,6,6,797784644,182814510,noname,,191292530
646,1,1,797784644,2017166695,Ocean Gateway,,131941632
647,3,3,182812124,1063436169,Main Street,,114575606
648,3,3,182812124,1063435946,Business Parkway,,44625997
649,3,3,182812124,1063422139,Main Street,,50417364
650,4,4,640615927,182816468,Parson Island Road,,17654324
651,6,6,640615927,1063452474,noname,,91543777
652,4,4,640615927,3637945354,Parson Island Road,,17654324
653,3,3,182853175,182813292,Ruthsburg Road,,159925794
654,3,3,182853175,5112003588,Ruthsburg Road,,525483999
655,1,1,797784674,2017166559,Ocean Gateway,,131941632
656,3,3,5112003615,5112003613,Ruthsburg Road,,525483995
657,3,3,5112003615,5112003605,Ruthsburg Road,,525484005
658,3,3,5112003615,5112003581,Ruthsburg Road,,475744222
659,3,3,182827559,393514549,Business Parkway,,91539624
660,3,3,182827559,1063435950,Business Parkway,,91539624
661,1,1,640596451,640616104,Blue Star Memorial Highway,,90545899
662,1,1,797785732,797784817,Ocean Gateway,,131941621
663,6,6,797785732,182859099,noname,,65250942
664,1,1,182820522,797785732,Ocean Gateway,,230622502
665,6,6,182820522,2391073646,noname,,230622503
666,3,3,1063435950,182827571,Business Parkway,,91539624
667,4,4,1063435950,1063435966,Schooner Parkway,,91540719
668,3,3,1063435950,182827559,Business Parkway,,91539624
669,4,4,1063422417,182841438,Thompson Creek Road,,505707528
670,3,3,1063422417,182861111,Romancoke Road,,91539634
671,4,4,1063435966,182827776,Log Canoe Circle,,17653676
672,4,4,1063435966,182833650,Log Canoe Circle,,17653676
673,1,1,640712416,640712478,Blue Star Memorial Highway,,50419896
674,6,6,640596455,640596459,noname,,50417350
675,1,1,640596455,640596463,Blue Star Memorial Highway,,50417360
676,1,1,640712427,640712416,Blue Star Memorial Highway,,50419896
677,6,6,640712427,640712406,noname,,50419907
678,6,6,1063436057,1063436068,noname,,91540738
679,3,3,1063436057,1063422139,Business Parkway,,91539625
680,1,1,640712478,640712788,Blue Star Memorial Highway,,50419980
681,1,1,640712479,640712480,Blue Star Memorial Highway,,50419897
682,6,6,640712479,640712488,noname,,50419905
683,1,1,640712480,640723732,Blue Star Memorial Highway,,131947788
684,4,4,1063436068,1063436122,Skipjack Parkway,,91540748
685,6,6,640712488,640712480,noname,,50419902
686,3,3,640712488,182831551,Outlet Center Drive,,50419926
687,2,2,182820653,797784770,Centreville Road,,445172219
688,2,2,182820653,1037749605,Centreville Road,,445172220
689,1,1,182820653,1037749615,Ocean Gateway,,445172221
690,6,6,640712504,640712427,noname,,50419907
691,1,1,640712504,640712485,Blue Star Memorial Highway,,50419990
692,1,1,640712509,640712427,Blue Star Memorial Highway,,131947786
693,6,6,640712509,640712406,noname,,50419910
694,3,3,182820681,797784817,Wye Mills Road,,17656188
695,1,1,182820681,797784650,Ocean Gateway,,131941632
696,6,6,640712527,640712628,noname,,50419919
697,1,1,640712527,640712542,Ocean Gateway,,65250814
698,6,6,640712536,640712542,noname,,50419921
699,1,1,640712536,640712549,Ocean Gateway,,131947847
700,4,4,1063436122,182827776,Log Canoe Circle,,17653676
701,4,4,1063436122,182833650,Log Canoe Circle,,17653676
702,1,1,640712542,640712628,Ocean Gateway,,65250814
703,6,6,640712542,640712549,noname,,50419924
704,6,6,1063436142,1063422258,noname,,91540755
705,4,4,1063436142,1063422139,Skipjack Parkway,,17653923
706,6,6,640712572,640712478,noname,,50419952
707,1,1,183357419,183355464,Queen Anne Highway,,445173762
708,1,1,183357419,2440989792,Ocean Gateway,,445173739
709,1,1,183357419,2440989804,Queen Anne Highway,,445173770
710,1,1,640712580,640712592,Ocean Gateway,,65250814
711,6,6,640712580,640712565,noname,,50419936
712,3,3,1063436169,1063435937,Main Street,,114575606
713,3,3,1063436169,182812124,Main Street,,114575606
714,3,3,182820747,1540749672,Del Rhodes Avenue,,17655697
715,1,1,182820747,2017166557,Ocean Gateway,,17652607
716,6,6,640712592,640712572,noname,,50419952
717,6,6,640712592,640712597,noname,,50419939
718,1,1,640712597,640712612,Ocean Gateway,,50419969
719,6,6,640712597,640712599,noname,,50419939
720,1,1,183357423,183357419,Ocean Gateway,,445173710
721,6,6,183357423,2440989804,noname,,236022360
722,1,1,640712612,640712536,Ocean Gateway,,131947847
723,1,1,640712628,2017166591,Ocean Gateway,,65250814
724,1,1,640712631,640712504,Blue Star Memorial Highway,,50419990
725,6,6,640712631,640712646,noname,,50419950
726,6,6,640712646,640712597,noname,,50419950
727,6,6,640712646,640712599,noname,,50419964
728,6,6,640712485,640712488,noname,,50419901
729,1,1,640712485,640712479,Blue Star Memorial Highway,,50419990
