id,from_lane,to_lane,group_id,max_speed,tags
18735,575200,442600,971,60,
18472,577200,356100,846,60,
18470,577200,355900,844,60,
18471,577200,356000,845,60,
19343,577300,541600,1198,60,
19341,577300,538100,1196,60,
19342,577300,541500,1197,60,
16431,584600,48600,126,60,
16432,584600,51100,127,60,
16430,584600,48500,125,60,
16433,584600,51600,128,60,
19260,584700,534200,1165,60,
19261,584700,534300,1166,60,
19552,584800,556001,1255,60,
19555,584800,556100,1256,60,
19548,584800,554701,1254,60,
19556,584800,556101,1256,60,
19551,584800,556000,1255,60,
19547,584800,554700,1254,60,
19554,584801,556001,1255,60,
19550,584801,554701,1254,60,
19553,584801,556000,1255,60,
19549,584801,554700,1254,60,
19557,584801,556100,1256,60,
19558,584801,556101,1256,60,
16892,584900,156501,321,60,
16895,584900,156600,322,60,
16896,584900,156601,322,60,
16899,584900,171700,323,60,
16900,584900,171701,323,60,
16891,584900,156500,321,60,
16898,584901,156601,322,60,
16902,584901,171701,323,60,
16897,584901,156600,322,60,
16901,584901,171700,323,60,
16894,584901,156501,321,60,
16893,584901,156500,321,60,
18257,585400,340100,785,60,
18261,585400,340600,786,55,
18258,585400,340101,785,60,
18262,585400,340601,786,55,
18253,585400,340000,784,60,
18254,585400,340001,784,60,
18256,585401,340001,784,60,
18255,585401,340000,784,60,
18264,585401,340601,786,55,
18259,585401,340100,785,60,
18263,585401,340600,786,55,
18260,585401,340101,785,60,
19286,585600,535001,1175,60,
19289,585600,535200,1176,60,
19285,585600,535000,1175,60,
19290,585601,535200,1176,60,
19288,585601,535001,1175,60,
19287,585601,535000,1175,60,
17492,585800,255601,537,60,
17491,585800,255600,537,60,
17493,585800,255700,538,60,
17494,585800,255701,538,60,
17490,585800,255500,536,60,
18088,585900,310400,722,60,
18084,585900,310300,721,60,
18089,585900,310401,722,60,
18093,585900,310501,723,60,
18085,585900,310301,721,60,
18092,585900,310500,723,60,
18091,585901,310401,722,60,
18095,585901,310501,723,60,
18090,585901,310400,722,60,
18094,585901,310500,723,60,
18087,585901,310301,721,60,
18086,585901,310300,721,60,
16561,586000,93600,197,60,
16562,586000,93601,197,60,
16563,586001,93600,197,60,
16564,586001,93601,197,60,
19982,586100,609600,1462,60,
19983,586100,609601,1462,60,
18904,591300,482100,1030,60,
18903,591300,479600,1029,60,
18902,591300,478400,1028,60,
18474,591800,356000,848,60,
18475,591800,356100,849,60,
18473,591800,355900,847,60,
16641,592000,103502,224,55,
16639,592000,103500,224,55,
16640,592000,103501,224,55,
16642,592100,104000,225,60,
16643,592100,104001,225,60,
16645,592101,104001,225,60,
16644,592101,104000,225,60,
17168,593800,212200,421,60,
17172,593800,213900,422,60,
17173,593800,213901,422,60,
17176,593800,214000,423,60,
17177,593800,214001,423,60,
17169,593800,212201,421,60,
17179,593801,214001,423,60,
17178,593801,214000,423,60,
17175,593801,213901,422,60,
17174,593801,213900,422,60,
17171,593801,212201,421,60,
17170,593801,212200,421,60,
16737,599400,110701,257,60,
16730,599400,110400,255,60,
16732,599400,110600,256,60,
16733,599400,110601,256,60,
16736,599400,110700,257,60,
16735,599401,110601,256,60,
16734,599401,110600,256,60,
16731,599401,110400,255,60,
16739,599401,110701,257,60,
16738,599401,110700,257,60,
20301,599600,635300,1571,60,
20302,599600,635400,1572,60,
19954,599800,600500,1442,60,
19956,599800,600700,1444,60,
19955,599800,600600,1443,60,
16993,600000,193400,357,60,
16995,600000,194100,358,60,
16994,600000,193401,357,60,
16583,600400,96500,204,60,
16584,600400,96501,204,60,
16586,600401,96501,204,60,
16585,600401,96500,204,60,
20305,600500,635300,1575,60,
20306,600500,635400,1576,60,
19040,600600,499100,1093,60,
18706,600700,418300,952,40,
18705,600700,418200,951,60,
18707,600700,418500,953,60,
18240,600900,339800,780,60,
18237,600900,339600,778,60,
18239,600900,339700,779,60,
18238,600900,339601,778,60,
18166,601200,323800,748,60,
18167,601200,323801,748,60,
18168,601200,323900,749,60,
18165,601200,323500,747,60,
18169,601200,323901,749,60,
19045,605700,501000,1098,60,
18185,609200,330101,756,60,
18182,609200,329900,755,60,
18184,609200,330100,756,60,
18187,609201,330101,756,60,
18186,609201,330100,756,60,
18183,609201,329900,755,60,
19792,609500,569900,1360,60,
19790,609500,568800,1358,60,
19791,609500,568900,1359,60,
16565,609600,95300,198,60,
16566,609600,95301,198,60,
16569,609600,95500,199,60,
16568,609601,95301,198,60,
16567,609601,95300,198,60,
16570,609601,95500,199,60,
19821,609700,571000,1389,60,
19822,609700,571100,1390,60,
19807,609800,570500,1375,60,
19806,609800,570400,1374,60,
19760,610100,567900,1342,60,
19759,610100,567800,1341,60,
18140,610200,312400,739,60,
18139,610200,312000,738,60,
20029,610300,616200,1487,60,
20030,610300,616700,1488,60,
20028,610300,615300,1486,60,
16782,612500,140102,283,55,
16789,612500,140500,284,55,
16780,612500,140100,283,55,
16781,612500,140101,283,55,
16785,612501,140102,283,55,
16784,612501,140101,283,55,
16783,612501,140100,283,55,
16790,612501,140500,284,55,
16786,612502,140100,283,55,
16787,612502,140101,283,55,
16791,612502,140500,284,55,
16788,612502,140102,283,55,
19503,612600,552900,1239,60,
19495,612600,552001,1238,60,
19488,612600,551900,1237,60,
19496,612600,552002,1238,60,
19489,612600,551901,1237,60,
19494,612600,552000,1238,60,
19504,612600,552901,1239,60,
19498,612601,552001,1238,60,
19499,612601,552002,1238,60,
19506,612601,552901,1239,60,
19491,612601,551901,1237,60,
19497,612601,552000,1238,60,
19505,612601,552900,1239,60,
19490,612601,551900,1237,60,
19508,612602,552901,1239,60,
19502,612602,552002,1238,60,
19492,612602,551900,1237,60,
19500,612602,552000,1238,60,
19501,612602,552001,1238,60,
19507,612602,552900,1239,60,
19493,612602,551901,1237,60,
18750,612800,442901,978,55,
18747,612800,442800,977,60,
18748,612800,442801,977,60,
18749,612800,442900,978,55,
20014,615100,612700,1478,60,
20009,615100,612601,1477,60,
20008,615100,612600,1477,60,
20010,615100,612602,1477,60,
20013,615101,612602,1477,60,
20015,615101,612700,1478,60,
20012,615101,612601,1477,60,
20011,615101,612600,1477,60,
16420,615200,46800,116,60,
16421,615200,46801,116,60,
19362,616100,544700,1207,60,
19363,616100,545700,1208,60,
19364,616100,546600,1209,50,
20039,616600,617400,1497,60,
20040,616600,617500,1498,60,
19993,616700,610300,1472,60,
19992,616700,610200,1471,60,
18469,616800,356100,843,60,
18468,616800,356000,842,60,
18467,616800,355900,841,60,
19919,617300,591400,1428,60,
19918,617300,586200,1427,60,
19526,617400,553000,1246,60,
19527,617400,553800,1247,60,
19528,617400,553900,1248,60,
18645,621200,395000,910,60,
18644,621200,394900,909,60,
18643,621200,394100,908,60,
20071,622700,623701,1509,55,
20072,622700,623702,1509,55,
20070,622700,623700,1509,55,
20075,622701,623702,1509,55,
20074,622701,623701,1509,55,
20073,622701,623700,1509,55,
19297,623000,535600,1182,60,
19296,623000,535300,1181,60,
19622,623100,558901,1285,55,
19623,623100,558902,1285,55,
19621,623100,558900,1285,55,
19624,623101,558900,1285,55,
19626,623101,558902,1285,55,
19625,623101,558901,1285,55,
19629,623102,558902,1285,55,
19627,623102,558900,1285,55,
19628,623102,558901,1285,55,
20042,623200,621301,1499,55,
20041,623200,621300,1499,55,
20043,623201,621300,1499,55,
20044,623201,621301,1499,55,
16196,623300,17100,36,60,
16198,623300,18200,37,60,
16197,623300,17101,36,60,
20097,623500,625300,1517,60,
18704,623600,418500,950,60,
18703,623600,418300,949,40,
18702,623600,418200,948,60,
16114,624600,2500,10,55,
16123,624600,2800,11,55,
16115,624600,2501,10,55,
16116,624600,2502,10,55,
16118,624601,2501,10,55,
16117,624601,2500,10,55,
16124,624601,2800,11,55,
16119,624601,2502,10,55,
16122,624602,2502,10,55,
16125,624602,2800,11,55,
16120,624602,2500,10,55,
16121,624602,2501,10,55,
20094,624700,624901,1516,55,
20093,624700,624900,1516,55,
20095,624701,624900,1516,55,
20096,624701,624901,1516,55,
20100,624800,626200,1520,60,
20101,624800,626201,1520,60,
20099,624800,626000,1519,60,
18613,625200,391300,895,55,
18615,625200,391500,896,55,
18616,625200,391501,896,55,
18618,625201,391501,896,55,
18617,625201,391500,896,55,
18614,625201,391300,895,55,
20228,625900,631700,1551,60,
20227,625900,630900,1550,60,
20092,626100,624901,1515,55,
20091,626100,624900,1515,55,
17326,626200,230200,475,60,
17330,626200,231400,476,60,
17331,626200,231401,476,60,
17327,626200,230201,475,60,
17322,626200,230100,474,60,
17323,626200,230101,474,60,
17325,626201,230101,474,60,
17328,626201,230200,475,60,
17324,626201,230100,474,60,
17333,626201,231401,476,60,
17332,626201,231400,476,60,
17329,626201,230201,475,60,
19443,626300,550601,1227,60,
19449,626300,550701,1228,60,
19444,626300,550602,1227,60,
19453,626300,550801,1229,60,
19442,626300,550600,1227,60,
19448,626300,550700,1228,60,
19452,626300,550800,1229,60,
19454,626301,550800,1229,60,
19446,626301,550601,1227,60,
19450,626301,550700,1228,60,
19445,626301,550600,1227,60,
19455,626301,550801,1229,60,
19447,626301,550602,1227,60,
19451,626301,550701,1228,60,
17956,626400,289600,688,60,
17980,626400,295000,690,60,
17964,626400,294900,689,60,
17965,626400,294901,689,60,
17957,626400,289601,688,60,
17966,626400,294902,689,60,
17967,626400,294903,689,60,
17971,626401,294903,689,60,
17970,626401,294902,689,60,
17981,626401,295000,690,60,
17959,626401,289601,688,60,
17969,626401,294901,689,60,
17958,626401,289600,688,60,
17968,626401,294900,689,60,
17973,626402,294901,689,60,
17975,626402,294903,689,60,
17972,626402,294900,689,60,
17960,626402,289600,688,60,
17961,626402,289601,688,60,
17982,626402,295000,690,60,
17974,626402,294902,689,60,
17976,626403,294900,689,60,
17979,626403,294903,689,60,
17978,626403,294902,689,60,
17963,626403,289601,688,60,
17962,626403,289600,688,60,
17983,626403,295000,690,60,
17977,626403,294901,689,60,
17984,626500,295100,691,60,
17985,626500,295101,691,60,
17987,626501,295101,691,60,
17986,626501,295100,691,60,
20059,626900,623200,1503,55,
20060,626900,623201,1503,55,
20061,626900,623300,1504,60,
20376,627000,638600,1597,55,
20379,627000,638701,1598,55,
20378,627000,638700,1598,55,
20381,627001,638701,1598,55,
20380,627001,638700,1598,55,
20377,627001,638600,1597,55,
20063,627100,623201,1505,55,
20066,627100,623300,1506,55,
20062,627100,623200,1505,55,
20065,627101,623201,1505,55,
