id,mode,starttime,endtime,traveltime,length
1,Car,00:00:00,23:59:59,35.026936088134349,583.78273516138711
2,Car,00:00:00,23:59:59,51.341995738107933,855.70061352840878
3,Car,00:00:00,23:59:59,17.119441142015923,285.32424729281399
4,Car,00:00:00,23:59:59,28.384423529574455,433.65126195589738
5,Car,00:00:00,23:59:59,10.004095824539849,166.73506379694186
6,Car,00:00:00,23:59:59,26.91363030928646,411.18079200291356
7,Car,00:00:00,23:59:59,198.93480887155164,3315.5828003233123
8,Car,00:00:00,23:59:59,97.653640245802791,1220.6714796089373
9,Car,00:00:00,23:59:59,382.26255067002091,6371.047608001023
10,Car,00:00:00,23:59:59,2.1907029834203473,33.46910013306955
11,Car,00:00:00,23:59:59,2.3623366286257483,39.372308641584191
12,Car,00:00:00,23:59:59,2.842601140932474,47.376723583556455
13,Car,00:00:00,23:59:59,6.9720221888200129,116.20046277396276
14,Car,00:00:00,23:59:59,36.285413823322358,604.75738086089041
15,Car,00:00:00,23:59:59,52.659584701399133,877.66044715111514
16,Car,00:00:00,23:59:59,8.1972014097421617,136.62013279172152
17,Car,00:00:00,23:59:59,42.239337077833866,703.98951448839216
18,Car,00:00:00,23:59:59,2.2446651479515416,37.411115728061006
19,Car,00:00:00,23:59:59,1097.37303080931,16765.434716368163
20,Car,00:00:00,23:59:59,79.196517923299695,879.96201422793388
21,Car,00:00:00,23:59:59,126.11542078911357,1401.2835742383359
22,Car,00:00:00,23:59:59,4.3469537062491606,72.449286396868786
23,Car,00:00:00,23:59:59,1.3618214247053404,22.69704190270801
24,Car,00:00:00,23:59:59,0.9325027826080093,15.541725476837259
25,Car,00:00:00,23:59:59,1.0828151310523375,18.046933288407377
26,Car,00:00:00,23:59:59,1.1269624571183694,18.782722644805588
27,Car,00:00:00,23:59:59,0.0597260496820035,0.9954349577140542
28,Car,00:00:00,23:59:59,2.0394642162174854,33.991097463147646
29,Car,00:00:00,23:59:59,49.147397461864792,819.12394632971279
30,Car,00:00:00,23:59:59,4.978327353729005,82.97218893984815
31,Car,00:00:00,23:59:59,5.6762169388732477,94.603691330779981
32,Car,00:00:00,23:59:59,511.40799259782119,8523.4733620702573
33,Car,00:00:00,23:59:59,423.28315427649159,7054.7248817169202
34,Car,00:00:00,23:59:59,6.233273830128413,103.88798027912463
35,Car,00:00:00,23:59:59,40.23197642012515,670.53347676177168
36,Car,00:00:00,23:59:59,7.142699179776201,119.04508156559244
37,Car,00:00:00,23:59:59,6.6260764969495236,110.43469663017871
38,Car,00:00:00,23:59:59,117.74655098597853,981.22204319349441
39,Car,00:00:00,23:59:59,41.314983435067482,286.90983671565442
40,Car,00:00:00,23:59:59,7.7210245531415147,53.618268958063595
41,Car,00:00:00,23:59:59,53.43720363680886,816.402375350402
42,Car,00:00:00,23:59:59,17.173623441170918,286.22728633449458
43,Car,00:00:00,23:59:59,20.4413496602941,312.2986474265446
44,Car,00:00:00,23:59:59,31.307568724945707,521.79322951667825
45,Car,00:00:00,23:59:59,12.397821619757988,206.63052563358804
46,Car,00:00:00,23:59:59,5.673040198726758,94.55074561931531
47,Car,00:00:00,23:59:59,8.8445416044278851,147.40914466768615
48,Car,00:00:00,23:59:59,32.264590380145115,537.74360319695711
49,Car,00:00:00,23:59:59,40.80213858758356,623.3665048919984
50,Car,00:00:00,23:59:59,8.642242725324493,144.03749398531127
51,Car,00:00:00,23:59:59,5.673040198726758,94.55074561931531
52,Car,00:00:00,23:59:59,101.93576834692465,1698.9308315923226
53,Car,00:00:00,23:59:59,9.414018778358807,156.9004384928972
54,Car,00:00:00,23:59:59,68.275318734661525,1137.922889248609
55,Car,00:00:00,23:59:59,27.107242622223175,451.78773846695469
56,Car,00:00:00,23:59:59,253.80621043604631,4230.1068913502431
57,Car,00:00:00,23:59:59,65.038056780943947,1083.9684801898231
58,Car,00:00:00,23:59:59,31.833443279704152,530.55781244097977
59,Car,00:00:00,23:59:59,9.414018778358807,156.9004384928972
60,Car,00:00:00,23:59:59,314.28895917856681,5238.1535101622367
61,Car,00:00:00,23:59:59,26.686680769147117,444.77836864152897
62,Car,00:00:00,23:59:59,31.833443279704149,530.55781244097966
63,Car,00:00:00,23:59:59,36.73497833520286,306.1250643598795
64,Car,00:00:00,23:59:59,4.918708940919851,81.97854793145008
65,Car,00:00:00,23:59:59,6.762099660621893,112.70175117169372
66,Car,00:00:00,23:59:59,53.337512092928613,814.87930887822381
67,Car,00:00:00,23:59:59,273.20299163154448,4553.386836565629
68,Car,00:00:00,23:59:59,2.6273106666574657,43.78854614176666
69,Car,00:00:00,23:59:59,26.087516642286584,434.79229187166499
70,Car,00:00:00,23:59:59,520.39288921951697,8673.2217588971398
71,Car,00:00:00,23:59:59,1.6905247830544066,28.175435591237221
72,Car,00:00:00,23:59:59,2.2826541101768951,38.044265605003062
73,Car,00:00:00,23:59:59,5.711495825957218,95.19167325256467
74,Car,00:00:00,23:59:59,8.279237265232924,137.98739814371228
75,Car,00:00:00,23:59:59,1.8145375812711566,30.242317215020364
76,Car,00:00:00,23:59:59,2.2584514008559489,37.640886793617838
77,Car,00:00:00,23:59:59,72.677573514914613,1211.2938609495573
78,Car,00:00:00,23:59:59,320.18889540158449,5336.4858592116834
79,Car,00:00:00,23:59:59,143.77182029439388,2396.1989218641688
80,Car,00:00:00,23:59:59,6.917103199221675,115.28514554840392
81,Car,00:00:00,23:59:59,5.8674097517196451,97.790240760790795
82,Car,00:00:00,23:59:59,115.52268408971193,1925.3796084643204
83,Car,00:00:00,23:59:59,10.061666869639662,167.694581982886
