id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category,length
5467,543,2,1,1000,50,,3,35.609646566660686
5468,543,3,1,1000,50,,3,31.617632436375104
5469,543,4,1,1000,50,,3,65.489486028655506
5470,543,5,1,1000,50,,3,88.154999547694899
5471,543,6,1,1000,50,,3,21.567692135099382
5472,543,7,1,1000,50,,3,21.928440844466955
5473,543,8,1,1000,50,,3,21.515812451335989
5474,543,9,1,1000,50,,3,46.829349775449906
5475,543,10,1,1000,50,,3,197.14146537371698
5476,543,11,1,1000,50,,3,249.35927526076077
5477,543,12,1,1000,50,,3,24.687593586386612
5478,543,13,1,1000,50,,3,229.3959480862319
5479,543,14,1,1000,50,,3,245.84519525024808
5480,543,15,1,1000,50,,3,104.01537635389127
5481,544,1,3,1000,55,,1,79.45697677073794
5482,544,2,3,1000,55,,1,84.316453852489815
5483,544,3,3,1000,55,,1,78.838374922695849
5484,544,4,3,1000,55,,1,91.818318588540478
5485,544,5,3,1000,55,,1,147.29470159057013
5486,544,6,3,1000,55,,1,141.69818477507417
5487,544,7,3,1000,55,,1,95.010543758129955
5488,544,8,3,1000,55,,1,127.18123936082402
5489,544,9,3,1000,55,,1,140.8422408809644
5490,544,10,3,1000,55,,1,167.62575871387773
5491,544,11,3,1000,55,,1,84.149537450398199
5492,544,12,3,1000,55,,1,66.229287213291286
5493,544,13,3,1000,55,,1,58.818150818693908
5494,544,14,3,1000,55,,1,45.478134781883554
5495,544,15,3,1000,55,,1,63.605693776813574
5496,545,1,1,1000,60,,6,38.13833585445965
5497,545,2,1,1000,60,,6,100.20901427150388
5498,546,1,2,1000,60,,1,160.13482266102866
5499,546,2,2,1000,60,,1,109.88821368554454
5500,547,1,1,1000,60,,6,150.77475419613984
5501,547,2,1,1000,60,,6,22.597419526804213
5502,547,3,1,1000,60,,6,7.2970710456331807
5503,548,1,3,1000,55,,1,287.7101566262573
5504,549,1,1,1000,60,,4,12.730114339936655
5505,550,1,1,1000,60,,3,0.8204236563958388
5506,551,1,3,1000,60,,3,10.859744964829252
5507,552,1,2,1000,60,,2,4.485510575821285
5508,553,1,2,1000,60,,1,16.891981545891152
5509,554,1,2,1000,55,,1,103.04037934173701
5510,554,2,2,1000,55,,1,299.36138992763
5511,554,3,2,1000,55,,1,609.58579875788143
5512,554,4,2,1000,55,,1,26.025841040936065
5513,554,5,2,1000,55,,1,601.96776594219932
5514,554,6,2,1000,55,,1,82.639644096721867
5515,554,7,2,1000,55,,1,141.66683049515146
5516,555,1,1,1000,60,,6,5.8469506346803559
5517,556,1,3,1000,55,,1,201.10372218367274
5518,556,2,3,1000,55,,1,247.11828009677643
5519,557,1,2,1000,60,,3,4.602134652120249
5520,558,1,3,1000,60,,1,109.74617451864599
5521,558,2,3,1000,60,,1,128.31098759245361
5522,558,3,3,1000,60,,1,211.79771493022324
5523,558,4,3,1000,60,,1,287.86655407051308
