id,nodeid,from_link,to_link,phases,rules,visibility,tags
281,182853914,60,122,,,,
282,182853914,60,123,,,,
124,182813566,61,56,,,,
123,182813566,61,55,,,,
122,182813566,61,54,,,,
121,182813566,61,53,,,,
138,182813575,62,59,,,,
136,182813575,62,57,,,,
137,182813575,62,58,,,,
594,182856544,63,265,,,,
596,182856544,63,267,,,,
595,182856544,63,266,,,,
858,640782520,64,384,,,,
859,640782520,64,385,,,,
857,640782520,64,383,,,,
459,182806760,65,199,,,,
461,182806760,65,201,,,,
460,182806760,65,200,,,,
1230,4131101408,66,554,,,,
1231,4131101408,66,555,,,,
509,182807058,67,225,,,,
508,182807058,67,224,,,,
533,1063455269,68,233,,,,
534,1063455269,68,234,,,,
535,1063455269,68,235,,,,
1314,640660639,69,587,,,,
1313,640660639,69,586,,,,
959,182850688,70,434,,,,
957,182850688,70,432,,,,
958,182850688,70,433,,,,
179,2462393501,71,74,,,,
180,2462393501,71,75,,,,
181,2462393501,71,76,,,,
182,2462393501,72,74,,,,
183,2462393501,72,75,,,,
184,2462393501,72,76,,,,
1089,182849191,73,485,,,,
1091,182849191,73,487,,,,
1090,182849191,73,486,,,,
870,182866184,74,388,,,,
871,182866184,74,389,,,,
872,182866184,74,390,,,,
169,2462393495,75,73,,,,
167,2462393495,75,71,,,,
168,2462393495,75,72,,,,
171,2462393495,76,72,,,,
170,2462393495,76,71,,,,
172,2462393495,76,73,,,,
456,182806760,77,199,,,,
458,182806760,77,201,,,,
457,182806760,77,200,,,,
682,1037749605,78,309,,,,
683,1037749605,78,310,,,,
684,1037749605,78,311,,,,
264,1661249174,79,117,,,,
