"shapeid","x","y"
"158","235069.634176","892095.731532"
"158","235060.065534","892132.200324"
"159","234688.969532","892083.121842"
"159","234703.503983","892086.271576"
"159","234717.824219","892088.908182"
"159","234723.349556","892090.439312"
"160","235298.969564","892046.513076"
"160","235331.5072","892052.598547"
"160","235386.3795","892067.426161"
"160","235423.566532","892083.295562"
"160","235452.255796","892096.570305"
"160","235487.979323","892113.0083"
"160","235499.672859","892119.1353"
"161","235176.394885","892038.26043"
"161","235207.875688","892036.994549"
"161","235227.490219","892038.643154"
"162","235091.211246","892043.794087"
"162","235095.163354","892043.234622"
"162","235150.333232","892039.634489"
"163","235253.431348","892040.973772"
"163","235272.895748","892042.835472"
"164","235319.348889","891136.097762"
"164","235329.964731","891141.958749"
"164","235359.46005","891153.349535"
"164","235375.709474","891158.142075"
"164","235393.267656","891160.968724"
"164","235432.167541","891163.490569"
"164","235451.343011","891164.695635"
"164","235474.560348","891165.365"
"164","235477.826924","891165.203834"
"165","235555.433455","891158.612385"
"165","235568.499282","891157.494852"
"165","235583.918538","891159.868651"
"165","235589.846742","891162.109773"
"166","235503.622259","891163.237394"
"166","235519.437095","891161.604819"
"166","235529.529072","891160.763478"
"167","235614.019593","891171.974732"
"167","235636.307093","891181.754532"
"168","235271.002537","891111.867465"
"168","235296.168237","891124.083165"
"169","235227.341658","891093.327217"
"169","235231.591378","891093.516012"
"169","235242.107025","891097.172568"
"169","235247.855743","891100.186108"
"170","234258.223475","891263.016759"
"170","234232.623575","891256.683759"
"171","235613.107661","890617.114588"
"171","235614.509013","890713.198691"
"171","235616.482551","890730.291428"
"172","234554.187206","891295.491819"
"172","234543.258706","891294.713719"
"173","235618.138749","890756.436774"
"173","235618.503328","890787.952727"
"173","235620.549544","890802.906674"
"173","235624.75437","890829.380654"
"173","235651.773543","890910.701273"
"173","235660.443527","890941.621104"
"173","235668.696708","890966.212892"
"173","235683.813283","891004.541588"
"173","235688.020595","891010.66853"
"174","234727.053547","891323.634267"
"174","234709.723063","891317.591807"
"174","234683.728168","891311.809724"
"175","234217.266669","891252.777653"
"175","234204.868269","891249.218453"
"176","234658.33353","891306.787026"
"176","234647.02483","891304.826326"
"177","235253.317937","890311.436444"
"177","235248.715569","890277.690137"
"177","235239.101699","890226.710945"
"177","235231.416311","890200.362737"
"178","234629.427332","891302.24074"
"178","234606.106432","891300.41544"
"179","234426.928761","891292.857067"
"179","234406.412032","891293.303623"
"179","234376.710386","891289.134298"
"179","234350.734655","891285.29188"
"180","235328.284042","890551.866348"
"180","235317.890341","890537.725512"
"180","235303.850507","890514.108893"
"180","235289.87613","890481.570286"
"180","235279.278443","890445.802691"
"180","235266.307638","890394.539324"
"180","235258.233104","890353.247335"
"180","235256.478498","890337.180564"
"181","234517.377485","891293.317283"
"181","234495.502457","891292.513538"
"181","234478.580342","891292.242311"
"182","235958.52108","890564.94248"
"182","235952.743666","890573.321855"
"182","235940.191105","890586.257918"
"182","235919.719002","890608.437391"
"182","235878.771092","890644.186383"
"182","235834.193229","890683.089932"
"182","235830.826722","890686.727479"
"183","234325.053533","891280.100497"
"183","234283.411333","891269.375697"
"184","235813.463706","890705.996495"
"184","235808.355312","890711.819649"
"184","235790.709498","890737.964486"
"184","235781.137362","890751.268485"
"184","235773.361243","890762.176497"
"184","235770.037074","890767.357642"
"184","235767.908319","890771.458941"
"185","234461.804115","891292.114905"
"185","234443.785115","891292.493105"
"186","235979.756512","890533.906967"
"186","235968.351212","890550.643267"
"187","234595.951316","891299.477"
"187","234572.171916","891296.9498"
"188","235757.306327","890794.892118"
"188","235751.192707","890810.608103"
"188","235741.900413","890843.978195"
"188","235728.863404","890894.315819"
"188","235717.414733","890939.354505"
"188","235698.960994","891010.637491"
"189","234765.814077","891335.709936"
"189","234761.266009","891334.859144"
"189","234743.983294","891329.388499"
"190","236024.970109","890477.855728"
"190","236014.005489","890489.715375"
"190","235991.779129","890516.356171"
"190","235989.55004","890519.605831"
"191","234940.944557","891316.983504"
"191","234918.575892","891316.040764"
"191","234896.435295","891317.14514"
"191","234888.877926","891317.76126"
"192","236220.883274","890309.646648"
"192","236213.219832","890314.079396"
"192","236191.418354","890330.459934"
"193","235171.263869","891297.554483"
"193","235160.027169","891292.755383"
"194","236400.271314","890241.195307"
"194","236391.547623","890246.272734"
"194","236377.436522","890252.159832"
"195","234863.263777","891320.871063"
"195","234858.210767","891321.687942"
"195","234836.030563","891327.614929"
"196","236170.871992","890346.298386"
"196","236162.961251","890352.553842"
"196","236120.254365","890389.164381"
"196","236043.24427","890458.566484"
"196","236042.808215","890459.016188"
"197","234810.753037","891333.94863"
"197","234802.156218","891335.991721"
"197","234784.687108","891337.148783"
"197","234783.869841","891337.118229"
"198","236360.505487","890259.278949"
"198","236359.875035","890259.544853"
"198","236333.370467","890267.201699"
"198","236244.012623","890298.956807"
"199","235047.478969","891304.338085"
"199","235036.171089","891306.790409"
"199","235007.009273","891313.664515"
"199","234980.994183","891317.125423"
"199","234967.033243","891317.113899"
"200","234188.621227","890704.75403"
"200","234167.230385","890692.823536"
"200","234149.623923","890683.075453"
"200","234099.441199","890655.209374"
"201","235145.632471","891289.533403"
"201","235135.111092","891289.017802"
"201","235118.914012","891290.135952"
"201","235093.833083","891295.872383"
"201","235072.900001","891299.426259"
"202","234671.549907","890955.497908"
"202","234654.344291","890950.178456"
"202","234630.419674","890941.462922"
"202","234625.026167","890939.068566"
"203","235522.829679","892130.385015"
"203","235570.956179","892151.982015"
"204","235201.097438","891095.97405"
"204","235122.937297","891088.342074"
"204","235062.137377","891083.371868"
"204","235029.664378","891079.517865"
"204","235010.195792","891073.674906"
"204","234972.713713","891059.009832"
"204","234858.615162","891012.463904"
"204","234833.833698","891003.154101"
"204","234807.721516","890994.941765"
"204","234773.562903","890985.00657"
"204","234718.367092","890969.294866"
"204","234696.49629","890962.964076"
"205","234427.378184","890837.152168"
"205","234392.296484","890817.780668"
"206","234547.053564","890902.622769"
"206","234535.615873","890896.457224"
"206","234450.168905","890849.682438"
"207","234269.11289","890748.219697"
"207","234211.45879","890717.254497"
"208","234369.658363","890804.87361"
"208","234333.247263","890783.44921"
"209","234310.683109","890770.699299"
"209","234291.986209","890760.562599"
"210","234233.704225","891252.315441"
"210","234259.304125","891258.648441"
"211","234543.578294","891290.225081"
"211","234554.506794","891291.003181"
"212","234684.705232","891307.417076"
"212","234710.956537","891313.256193"
"212","234728.535053","891319.385133"
"213","234206.109931","891244.893147"
"213","234218.508331","891248.452347"
"214","234647.79357","891300.392474"
"214","234659.10227","891302.353174"
"215","235235.736289","890199.102663"
"215","235243.483101","890225.661455"
"215","235253.158831","890276.968663"
"215","235257.776663","890310.828356"
"216","234606.457568","891295.92916"
"216","234629.778468","891297.75446"
"217","234351.393145","891280.84032"
"217","234377.352414","891284.680302"
"217","234406.677568","891288.796777"
"217","234426.830839","891288.358133"
"218","235260.951902","890336.692036"
"218","235262.685896","890352.570065"
"218","235270.700362","890393.554876"
"218","235283.618757","890444.611109"
"218","235294.11547","890480.037914"
"218","235307.869093","890512.062507"
"218","235321.646259","890535.237288"
"218","235331.909958","890549.201252"
"219","234478.652458","891287.742889"
"219","234495.621143","891288.014862"
"219","234517.542715","891288.820317"
"220","235774.572206","892118.494025"
"220","235765.502988","892075.618322"
"220","235758.002683","892040.738816"
"221","235827.524078","890683.670921"
"221","235831.053571","890679.857268"
"221","235875.811908","890640.796217"
"221","235916.576798","890605.207009"
"221","235936.922495","890583.164482"
"221","235949.252334","890570.457945"
"221","235954.81632","890562.38812"
"222","234284.533667","891265.017903"
"222","234326.175867","891275.742703"
"223","235641.812523","891461.306736"
"223","235634.986548","891422.443692"
"223","235633.568949","891408.320411"
"224","235763.914281","890769.385859"
"224","235766.138126","890765.101358"
"224","235769.633157","890759.653903"
"224","235777.478838","890748.648315"
"224","235787.017302","890735.391114"
"224","235804.784688","890709.066151"
"224","235810.080894","890703.028905"
"225","234443.690685","891287.994095"
"225","234461.709685","891287.615895"
"226","235677.52505","891645.183104"
"226","235667.78535","891595.207604"
"227","235648.756829","891498.520922"
"227","235646.510129","891486.917822"
"228","235964.632588","890548.109133"
"228","235976.037888","890531.372833"
"229","234572.647484","891292.475"
"229","234596.426884","891295.0022"
"230","235752.729238","892015.244077"
"230","235746.980233","891986.309215"
"230","235732.480219","891916.651735"
"231","235662.882521","891569.661051"
"231","235657.989219","891543.76408"
"231","235653.880301","891524.042832"
"232","235694.604606","891009.509709"
"232","235713.055867","890938.236295"
"232","235724.504596","890893.197381"
"232","235737.554387","890842.810405"
"232","235746.917693","890809.185297"
"232","235753.112473","890793.260682"
"233","234745.341306","891325.098301"
"233","234762.362791","891330.486256"
"233","234766.641523","891331.286664"
"234","235727.108203","891891.226614"
"234","235717.099591","891844.548098"
"234","235702.639076","891773.880062"
"235","235946.911684","891506.526756"
"235","235945.29755","891505.68764"
"235","235898.273984","891482.142687"
"235","235843.475696","891456.543592"
"235","235802.240407","891436.511016"
"236","235985.83916","890517.060369"
"236","235988.188071","890513.636029"
"236","236010.623511","890486.744625"
"236","236021.665891","890474.800872"
"237","234888.512274","891313.27614"
"237","234896.140305","891312.65426"
"237","234918.558508","891311.536036"
"237","234941.134043","891312.487496"
"238","235697.675335","891748.313356"
"238","235696.574903","891742.323485"
"238","235682.516432","891670.702582"
"239","235756.59224","891414.598006"
"239","235741.833453","891410.896415"
"239","235714.375375","891408.217309"
"239","235690.872179","891405.868365"
"239","235670.632123","891402.300278"
"239","235654.184287","891398.687177"
"239","235648.514859","891398.289999"
"240","236188.715246","890326.862266"
"240","236210.732768","890310.319404"
"240","236218.630126","890305.751352"
"241","235161.794631","891288.617017"
