id,road_type,category,from_node,to_node,road_name,tags
63145,1,1,112387063,112144741,Elm Avenue,
63146,1,1,112387068,111808747,Elm Avenue,
63147,1,1,112387068,112498894,Campbell Lane,
63148,1,1,112387068,112387063,Elm Avenue,
63149,1,1,103403698,2049818520,Haddon Avenue,
63150,1,1,103403698,103459841,East Madison Avenue,
63151,1,1,103403698,103421621,Haddon Avenue,
63152,1,1,103403700,2049818520,West Madison Avenue,
63153,1,1,103736457,103696784,Leconey Avenue,
63154,1,1,103736457,103433528,West 4th Street,
63155,1,1,103736457,103290163,West 4th Street,
63156,1,1,103736457,103415879,Leconey Avenue,
63157,1,1,103474327,103462937,Hampton Road,
63158,1,1,103474327,103387658,W Drive,
63159,1,1,103474327,103446067,Hampton Road,
63160,1,1,1479206106,1479201401,West Girard Avenue,
63161,1,1,1479206106,110447508,Shackamaxon Street,
63162,1,1,1479206116,1479206107,Marlborough Street,
63163,1,1,1479206116,1479206130,West Girard Avenue,
63164,1,1,1479206117,1479206124,West Girard Avenue,
63165,1,1,1479206117,1479206150,East Palmer Street,
63166,1,1,1479206120,110219361,Shackamaxon Street,
63167,1,1,1479206120,110023573,West Girard Avenue,
63168,1,1,1479206122,1479206107,West Girard Avenue,
63169,1,1,1479206123,1479206151,West Girard Avenue,
63170,1,1,1479206124,1479206136,West Girard Avenue,
63171,1,1,1479206124,110028737,East Eyre Street,
63172,1,1,103360041,103360040,High Street,
63173,1,1,103360041,103380874,North 27th Street,
63174,1,1,103360041,103360044,High Street,
63175,1,1,103360041,103380879,North 27th Street,
63176,1,1,1479206136,1479206142,West Girard Avenue,
63177,1,1,1479206136,110219407,East Montgomery Avenue,
63178,1,1,1479206142,1479206144,West Girard Avenue,
63179,1,1,1479206142,2156603282,East Wilt Street,
63180,1,1,1479206144,1479206146,West Girard Avenue,
63181,1,1,1479206144,1479206138,East Berks Street,
63182,1,1,1479206144,109902703,East Berks Street,
63183,1,1,1479206146,1479206105,West Girard Avenue,
63184,1,1,1479206148,1479206136,East Montgomery Avenue,
63185,1,1,1479206148,1479206961,West Girard Avenue,
63186,1,1,1479206150,2156603280,West Girard Avenue,
63187,1,1,1479206150,110019489,East Palmer Street,
63188,1,1,1479206151,1479206106,West Girard Avenue,
63189,1,1,1479206153,1479206116,West Girard Avenue,
63190,1,1,331381643,331381568,,
63191,1,1,331381643,103404294,High Street,
63192,1,1,331381643,331381559,,
63193,1,1,331381643,331381422,High Street,
63194,1,1,110437944,110505441,Wood Street,
63195,1,1,110437944,110353161,North 10th Street,
63196,1,1,5017196975,109869122,Martins Mill Road,
63197,1,1,5017196975,3605111710,Oxford Avenue,
63198,1,1,4461094238,110269553,Roosevelt Boulevard,
63199,1,1,110552424,110355894,Stardust Lane,
63200,1,1,103474537,103362880,Marlton Pike,
63201,1,1,103474537,103417395,Marlton Pike,
63202,1,1,103474537,103383879,Sewell Street,
63203,1,1,110028152,109885001,Sprague Street,
63204,1,1,110028152,110152031,East Sharpnack Street,
63205,1,1,110132116,110263215,South 66th Street,
63206,1,1,110132116,109859104,South 66th Street,
63207,1,1,110132116,110132101,Paschall Avenue,
63208,1,1,110132116,110132125,Paschall Avenue,
63209,1,1,110552445,110355881,Stardust Lane,
63210,1,1,110028171,110028177,Sprague Street,
63211,1,1,110028171,109884986,Belfield Avenue,
63212,1,1,110028171,109885001,Sprague Street,
63213,1,1,110028177,110261697,East Hortter Street,
63214,1,1,110028177,110170139,East Hortter Street,
63215,1,1,110028177,110028171,Sprague Street,
63216,1,1,110028177,110028182,Sprague Street,
63217,1,1,110028182,110028177,Sprague Street,
63218,1,1,110028182,1191656675,Sprague Street,
63219,1,1,110028182,110171902,East Phil Ellena Street,
63220,1,1,110001050,110377786,Carpenter Street,
63221,1,1,110001050,110001079,South 15th Street,
63222,1,1,110028192,110021912,Sprague Street,
63223,1,1,110028192,1191658898,East Vernon Road,
63224,1,1,110028192,1191656675,Sprague Street,
63225,1,1,110028192,110144298,East Vernon Road,
63226,1,1,103360070,103360072,High Street,
63227,1,1,103360070,103395412,North 39th Street,
63228,1,1,103360070,103413906,North 39th Street,
63229,1,1,103360070,103360068,High Street,
63230,1,1,110028205,110021912,Sprague Street,
63231,1,1,110028205,110261706,East Slocum Street,
63232,1,1,110028205,110028215,Sprague Street,
63233,1,1,103474610,103424011,Sloan Avenue,
63234,1,1,103474610,103398655,Magill Avenue,
63235,1,1,103474610,103465557,Sloan Avenue,
63236,1,1,103474610,103458239,Magill Avenue,
63237,1,1,103474619,103420079,"[u'Hazel Avenue', u'Hazel Terrace']",
63238,1,1,110028243,110028246,Sprague Street,
63239,1,1,110028243,110261710,East Meehan Avenue,
63240,1,1,110028243,109820159,Sprague Street,
63241,1,1,110290389,1927949341,Thornton Road,
63242,1,1,110263204,109772281,South 65th Street,
63243,1,1,110263204,110132101,South 65th Street,
63244,1,1,110263204,110263215,Gesner Street,
63245,1,1,110028256,110028265,Sprague Street,
63246,1,1,110028256,110261731,East Durard Street,
63247,1,1,110028256,110028246,Sprague Street,
63248,1,1,103360080,103360082,High Street,
63249,1,1,103360080,103417180,44th Street,
63250,1,1,103360080,103360078,High Street,
63251,1,1,103360080,103413911,44th Street,
63252,1,1,109826299,3429762644,West Cumberland Street,
63253,1,1,109826299,109826309,North 7th Street,
63254,1,1,110028265,110028256,Sprague Street,
63255,1,1,110028265,110225114,East Sedgwick Street,
63256,1,1,110028265,110028276,Sprague Street,
63257,1,1,110028265,109905810,East Sedgwick Street,
63258,1,1,110028276,110028265,Sprague Street,
