id,mode,starttime,endtime,traveltime
111,Car,00:00:00,23:59:59,7.151469907782084
112,Car,00:00:00,23:59:59,6.889950108702211
113,Car,00:00:00,23:59:59,4.721883757406269
114,Car,00:00:00,23:59:59,4.571557356486775
115,Car,00:00:00,23:59:59,1.1957807468372192
116,Car,00:00:00,23:59:59,3.994659753456977
117,Car,00:00:00,23:59:59,4.603219795268076
118,Car,00:00:00,23:59:59,3.5133267015840874
119,Car,00:00:00,23:59:59,4.699543512799936
120,Car,00:00:00,23:59:59,3.5133267015840874
121,Car,00:00:00,23:59:59,4.182000856792277
122,Car,00:00:00,23:59:59,1.495656052230906
123,Car,00:00:00,23:59:59,4.182000856792277
124,Car,00:00:00,23:59:59,2.128549564127206
125,Car,00:00:00,23:59:59,7.16674272054089
126,Car,00:00:00,23:59:59,8.646144816734171
127,Car,00:00:00,23:59:59,5.251554442206974
128,Car,00:00:00,23:59:59,6.567731889657875
129,Car,00:00:00,23:59:59,7.806345500641659
130,Car,00:00:00,23:59:59,7.602599126991879
131,Car,00:00:00,23:59:59,3.0206373045799384
132,Car,00:00:00,23:59:59,13.588976920907239
133,Car,00:00:00,23:59:59,0.409388414653592
134,Car,00:00:00,23:59:59,43.41565806234191
135,Car,00:00:00,23:59:59,0.12143831425278614
136,Car,00:00:00,23:59:59,4.236668553510297
137,Car,00:00:00,23:59:59,3.5870518907975475
138,Car,00:00:00,23:59:59,11.802380816045817
139,Car,00:00:00,23:59:59,2.4003832264873424
140,Car,00:00:00,23:59:59,3.816280178882913
141,Car,00:00:00,23:59:59,6.7037946767801255
142,Car,00:00:00,23:59:59,3.938612519345391
143,Car,00:00:00,23:59:59,7.970949907328756
144,Car,00:00:00,23:59:59,6.875267941730038
145,Car,00:00:00,23:59:59,11.0048833999785
146,Car,00:00:00,23:59:59,0.21720304833266119
147,Car,00:00:00,23:59:59,9.504870299184091
148,Car,00:00:00,23:59:59,5.936577140313839
149,Car,00:00:00,23:59:59,0.7999858181055874
150,Car,00:00:00,23:59:59,9.550372023164037
151,Car,00:00:00,23:59:59,2.592035557286723
152,Car,00:00:00,23:59:59,8.478253090772233
153,Car,00:00:00,23:59:59,4.0614872965369315
154,Car,00:00:00,23:59:59,11.228120354035957
155,Car,00:00:00,23:59:59,11.50816959948789
156,Car,00:00:00,23:59:59,5.936577140313839
157,Car,00:00:00,23:59:59,18.340742352148133
158,Car,00:00:00,23:59:59,6.658682350107369
159,Car,00:00:00,23:59:59,1.0196493817167398
160,Car,00:00:00,23:59:59,6.658682350107369
161,Car,00:00:00,23:59:59,7.235855806152914
162,Car,00:00:00,23:59:59,3.916720631374127
163,Car,00:00:00,23:59:59,3.916720631374127
164,Car,00:00:00,23:59:59,2.1968629106758644
165,Car,00:00:00,23:59:59,3.0709579913570857
166,Car,00:00:00,23:59:59,2.0458662890946906
167,Car,00:00:00,23:59:59,9.567595292030623
168,Car,00:00:00,23:59:59,2.4579387741462138
169,Car,00:00:00,23:59:59,12.726773487961935
170,Car,00:00:00,23:59:59,3.4640304727476625
171,Car,00:00:00,23:59:59,2.6197743804414815
172,Car,00:00:00,23:59:59,6.983687713755335
173,Car,00:00:00,23:59:59,12.726773487961935
174,Car,00:00:00,23:59:59,3.3398939227404125
175,Car,00:00:00,23:59:59,3.798691080280125
176,Car,00:00:00,23:59:59,6.983687713755335
177,Car,00:00:00,23:59:59,6.07886776397154
178,Car,00:00:00,23:59:59,4.121879181779027
179,Car,00:00:00,23:59:59,3.3398939227404125
180,Car,00:00:00,23:59:59,25.046090478632465
181,Car,00:00:00,23:59:59,1.6592602515197636
