id,x,y,z,traffic_light_id,tags,node_type
110172361,-75.208091,40.077788,0,0,,2
110172403,-75.205425,40.080438,0,0,,2
110172420,-75.2048525,40.0810116,0,0,,2
110172476,-74.987826,40.094208,0,0,,2
110172516,-74.987447,40.093703,0,0,,2
110172522,-74.987312,40.093587,0,0,,2
110172528,-74.986695,40.093079,0,0,,2
110172575,-74.985095,40.092192,0,0,,2
110172603,-75.106985,40.043499,0,0,,2
110172613,-75.103375,40.041406,0,0,,2
110172635,-75.1455645,40.0629155,0,0,,3
110172662,-75.146051,40.062926,0,0,,2
110172670,-75.147649,40.06301,0,0,,2
110172682,-75.14861,40.06306,0,0,,2
110172689,-75.150528,40.063158,0,0,,2
110172713,-75.044318,40.092857,0,0,,2
110172724,-75.043914,40.094533,0,0,,2
110172746,-75.043122,40.09527,0,0,,2
110172797,-75.042397,40.096731,0,0,,2
110172874,-74.987181,40.079876,0,0,,2
110172972,-75.19781,40.069647,0,0,,2
110173044,-75.23923,39.988517,0,0,,2
110173056,-75.23987,39.988202,0,0,,3
110173063,-75.2405,39.987903,0,0,,3
110173073,-75.241132,39.987611,0,0,,3
110173214,-75.224845,39.990768,0,0,,3
110173249,-75.243219,39.9865417,0,0,,3
110173292,-75.244818,39.985795,0,0,,2
110173318,-75.233528,39.990653,0,0,,2
110173330,-75.235973,39.990159,0,0,,2
110173339,-75.237826,39.989777,0,0,,2
110173360,-75.239343,39.988661,0,0,,2
110173573,-75.044289,40.09711,0,0,,2
110173594,-75.043884,40.097572,0,0,,2
110173684,-75.245404,39.901255,0,0,,2
110173812,-75.056405,40.040103,0,0,,2
110173842,-75.143131,39.9805575,0,0,,2
110173900,-75.1431319,39.9814202,0,0,,3
110173909,-75.143091,39.981416,0,0,,3
110173940,-75.14273,39.982907,0,0,,2
110173973,-75.138278,40.002634,0,0,,2
110174006,-75.138282,40.00328,0,0,,2
110174021,-75.141127,39.991456,0,0,,2
110174041,-75.140518,39.993756,0,0,,2
110174046,-75.14019,39.995251,0,0,,2
110174051,-75.139539,39.998235,0,0,,3
110174080,-75.138646,40.001921,0,0,,3
110174086,-75.138516,40.002544,0,0,,2
110174111,-75.136845,40.010559,0,0,,2
110174158,-75.1358874,40.0151431,0,0,,2
110174201,-75.1355889,40.0167282,0,0,,3
110174219,-75.1390699,39.9998115,0,0,,2
110174233,-75.141862,39.9876,0,0,,2
110174260,-75.135021,40.018982,0,0,,2
110174273,-75.134869,40.0197098,0,0,,2
110174287,-75.134704,40.020455,0,0,,2
110174306,-75.153798,40.000078,0,0,,3
110174314,-75.1534534,40.0016594,0,0,,2
110174339,-75.01528,40.067563,0,0,,2
110175053,-75.198235,39.977271,0,0,,2
110175526,-75.1630518,40.0116614,0,0,,2
110175543,-75.1634959,40.0122378,0,0,,2
110175548,-75.1637593,40.0125795,0,0,,2
110175558,-75.163956,40.0128349,0,0,,2
110175574,-75.151392,39.990801,0,0,,3
110175610,-75.168125,39.993067,0,0,,2
110175635,-75.169734,39.993271,0,0,,2
110175666,-75.145684,39.990129,0,0,,2
110175675,-75.146653,39.990257,0,0,,2
110175700,-75.152763,39.991327,0,0,,3
110175727,-75.186117,39.995594,0,0,,2
110175737,-75.186874,39.995689,0,0,,3
110175775,-75.1567998,39.9915169,0,0,,3
110175785,-75.157592,39.991618,0,0,,3
110175807,-75.221818,40.033534,0,0,,2
110176366,-75.084637,40.0566,0,0,,2
110176380,-75.083343,40.05797,0,0,,2
110176393,-75.0813983,40.0600352,0,0,,2
110176404,-75.079836,40.061697,0,0,,2
110176426,-75.078662,40.062953,0,0,,2
110176446,-75.077504,40.064196,0,0,,2
110176506,-75.096358,40.04428,0,0,,2
110176535,-75.094622,40.04613,0,0,,2
110176553,-75.09283,40.04802,0,0,,2
110176568,-75.071416,40.070712,0,0,,2
110176608,-75.127301,39.968823,0,0,,3
110176615,-75.127833,39.969798,0,0,,2
110176624,-75.128905,39.971768,0,0,,3
110176632,-75.129029,39.971998,0,0,,3
110176644,-75.129705,39.973255,0,0,,2
110176654,-75.130022,39.973826,0,0,,2
110176670,-75.130392,39.974479,0,0,,3
110176680,-75.130707,39.974599,0,0,,3
110176690,-75.131353,39.974834,0,0,,3
110176740,-75.132622,39.975395,0,0,,2
110176752,-75.133176,39.975829,0,0,,2
110176782,-75.126753,39.967938,0,0,,2
110176787,-75.127002,39.968328,0,0,,2
110176796,-75.127184,39.968588,0,0,,2
110176818,-75.1459136,39.9325377,0,0,,2
110176830,-75.1494528,39.933019,0,0,,2
110176840,-75.1510393,39.9332348,0,0,,2
110176860,-75.153412,39.933546,0,0,,3
110176873,-75.154194,39.933649,0,0,,2
110176883,-75.1557552,39.9338492,0,0,,2
110176896,-75.1573104,39.9340581,0,0,,2
110176904,-75.158209,39.934175,0,0,,2
110176909,-75.1588744,39.9342944,0,0,,2
110176917,-75.160932,39.934628,0,0,,3
110176925,-75.166251,39.935525,0,0,,2
110176943,-75.1671519,39.9356739,0,0,,2
110176955,-75.167303,39.935695,0,0,,2
110177013,-75.1696747,39.9361,0,0,,2
110177031,-75.1741261,39.9368425,0,0,,3
110177063,-75.1745938,39.9369242,0,0,,3
110177089,-75.1766952,39.9372791,0,0,,2
110177103,-75.180186,39.937861,0,0,,2
110177125,-75.182405,39.938145,0,0,,3
110177138,-75.182921,39.938204,0,0,,3
110177159,-75.1834916,39.9382782,0,0,,2
110177165,-75.1853862,39.9385295,0,0,,2
110177213,-75.1868795,39.9386974,0,0,,2
110177227,-75.188459,39.9389,0,0,,2
110177242,-75.190028,39.93909,0,0,,2
110177357,-74.9992411,40.0719323,0,0,,2
110177373,-74.998647,40.072561,0,0,,2
110177434,-74.997403,40.073874,0,0,,2
110177450,-75.003489,40.066073,0,0,,2
110177455,-75.002902,40.066682,0,0,,2
110177469,-75.108893,40.026947,0,0,,2
110177523,-75.122389,40.030707,0,0,,2
110177531,-75.121436,40.030585,0,0,,2
110177537,-75.119711,40.030379,0,0,,2
110177629,-75.04668,40.048259,0,0,,2
110177636,-75.045149,40.048854,0,0,,2
110177713,-75.041515,40.051762,0,0,,2
