,0,1,2
32,105438739,105446555,"{'osmid': 291938191, 'ref': '(645)', 'name': 'New Providence Road', 'highway': 'residential', 'oneway': False, 'length': 146.84902280352466, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE240>}"
33,105488132,105430715,"{'osmid': 11781887, 'name': 'Hillside Avenue', 'highway': 'residential', 'oneway': False, 'length': 56.78932809502444}"
34,105488132,105445122,"{'osmid': 11777426, 'name': 'Mountainview Drive', 'highway': 'residential', 'oneway': False, 'length': 84.12995841379491, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE1D0>}"
35,105488132,105446531,"{'osmid': 11781887, 'name': 'Hillside Avenue', 'highway': 'residential', 'oneway': False, 'length': 180.70635217552154, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE278>}"
36,2541750289,105454558,"{'osmid': 11778448, 'name': 'Knightsbridge Road', 'highway': 'residential', 'oneway': False, 'length': 42.86395728698907, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE2B0>}"
37,105436187,757553146,"{'osmid': 60615239, 'oneway': True, 'lanes': '2', 'ref': 'US 22', 'highway': 'trunk', 'length': 51.87110480709507}"
38,105436187,105436171,"{'osmid': 11776435, 'name': 'Parkway', 'highway': 'residential', 'oneway': False, 'length': 230.3181088177625, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE2E8>}"
39,105461276,105447854,"{'osmid': 28062662, 'name': 'Pembrook Road', 'highway': 'residential', 'oneway': False, 'length': 41.05404298586268}"
40,105461276,308153710,"{'osmid': 60615247, 'oneway': True, 'lanes': '2', 'ref': 'US 22', 'highway': 'trunk', 'length': 192.16598962777223, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE358>}"
41,105466397,105466429,"{'osmid': 288921661, 'ref': 'CR 645', 'name': 'W. R. Tracy Drive', 'highway': 'residential', 'oneway': False, 'length': 538.3695599588679, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE438>}"
42,105466397,105408497,"{'osmid': 288921662, 'ref': 'CR 645', 'name': 'W. R. Tracy Drive', 'highway': 'residential', 'oneway': False, 'length': 60.134943354251405, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE4A8>}"
43,105404958,105423963,"{'osmid': 11775845, 'name': 'Hidden Circle', 'highway': 'residential', 'oneway': False, 'length': 186.70958333142983, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE4E0>}"
44,105429022,105446573,"{'osmid': 51469668, 'ref': '(645)', 'name': 'Deer Path', 'highway': 'residential', 'oneway': False, 'length': 11.233758335081442}"
45,105429022,105429052,"{'osmid': 11775619, 'name': 'Whipporwill Way', 'highway': 'residential', 'oneway': False, 'length': 337.8995523575447, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE550>}"
46,105429022,105440945,"{'osmid': 51469668, 'ref': '(645)', 'name': 'Deer Path', 'highway': 'residential', 'oneway': False, 'length': 276.6693273824327, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE588>}"
47,105489440,105429228,"{'osmid': 11782049, 'name': 'Bridle Path', 'highway': 'residential', 'oneway': False, 'length': 201.16841055451357, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE518>}"
48,105489440,105466247,"{'osmid': 11785131, 'name': 'Wood Valley Road', 'highway': 'residential', 'oneway': False, 'length': 35.9390953556184, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE5C0>}"
49,105489440,105438039,"{'osmid': 11785131, 'name': 'Wood Valley Road', 'highway': 'residential', 'oneway': False, 'length': 90.6907544052616, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE5F8>}"
50,105405470,105405468,"{'osmid': 11773197, 'highway': 'residential', 'oneway': False, 'length': 42.20269958536324}"
51,105405470,105455086,"{'osmid': [11780080, 11781783, 11771856], 'name': ['Ravenswood Street', 'Nottingham Way'], 'highway': 'residential', 'oneway': False, 'length': 204.0675022291172, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE630>}"
52,105405470,105479917,"{'osmid': 11784778, 'name': 'Hawk Ridge Road', 'highway': 'residential', 'oneway': False, 'length': 117.99236949550917, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE668>}"
53,105492514,105491901,"{'osmid': 11782493, 'name': 'Foothill Way', 'highway': 'residential', 'oneway': False, 'length': 151.36610485542542}"
54,105492514,105464098,"{'osmid': 11782493, 'name': 'Foothill Way', 'highway': 'residential', 'oneway': False, 'length': 251.37642406657073, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE6A0>}"
55,105492514,105494919,"{'osmid': 11782789, 'name': 'Short Drive', 'highway': 'residential', 'oneway': False, 'length': 109.20843702156239, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE6D8>}"
56,105492514,105471309,"{'osmid': 11782789, 'name': 'Short Drive', 'highway': 'residential', 'oneway': False, 'length': 122.80400594505106, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE710>}"
57,105507362,105450190,"{'osmid': 11784427, 'ref': 'CR 643', 'name': 'Summit Road', 'highway': 'tertiary', 'oneway': False, 'length': 156.90793642985224}"
58,105507362,105491946,"{'osmid': 11775905, 'oneway': True, 'lanes': '2', 'ref': 'US 22', 'highway': 'trunk', 'length': 534.0287311761723, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE7F0>}"
59,250775074,757553109,"{'osmid': 60615239, 'oneway': True, 'lanes': '2', 'ref': 'US 22', 'highway': 'trunk', 'length': 129.11282842460267, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE860>}"
60,250775074,2541617293,"{'osmid': 179188360, 'oneway': True, 'highway': 'trunk_link', 'length': 80.25700507550457, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE828>}"
61,105405468,105405470,"{'osmid': 11773197, 'highway': 'residential', 'oneway': False, 'length': 42.20269958514864}"
62,105405468,105422451,"{'osmid': 11780081, 'name': 'Ravenswood Street', 'highway': 'residential', 'oneway': False, 'length': 90.20637716973505}"
63,105405468,105455088,"{'osmid': 11784779, 'name': 'Hawk Ridge Road', 'highway': 'residential', 'oneway': False, 'length': 111.59670083570842}"
64,105431590,105431607,"{'osmid': 11775892, 'name': 'Ackerman Street', 'highway': 'residential', 'oneway': False, 'length': 119.38353862940835, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE898>}"
65,105431590,105484383,"{'osmid': 51469668, 'ref': '(645)', 'name': 'Deer Path', 'highway': 'residential', 'oneway': False, 'length': 82.5378867023048, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE8D0>}"
66,105431590,105455293,"{'osmid': 60863851, 'name': 'Deer Path', 'highway': 'residential', 'oneway': False, 'length': 227.40714500214568, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE908>}"
67,2914078247,105491334,"{'osmid': 11783111, 'name': 'Mill Lane', 'highway': 'residential', 'oneway': False, 'length': 58.954476333848355, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE940>}"
68,2914078247,105461764,"{'osmid': 11783111, 'name': 'Mill Lane', 'highway': 'residential', 'oneway': False, 'length': 168.13240941067517, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE978>}"
69,2914078247,2914078254,"{'osmid': 287833375, 'name': 'Robbie Lane', 'highway': 'residential', 'oneway': False, 'length': 152.34901077023488, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE9B0>}"
70,105465894,105465896,"{'osmid': 11779652, 'name': 'Queen Lane', 'highway': 'residential', 'oneway': False, 'length': 78.04703632998927}"
71,105465894,105455145,"{'osmid': [11778483, 11779652], 'name': ['Queen Lane', 'Friar Lane'], 'highway': 'residential', 'oneway': False, 'length': 172.51852506090205, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BE9E8>}"
72,105465894,105406769,"{'osmid': 11785340, 'name': 'Kings Court', 'highway': 'residential', 'oneway': False, 'length': 155.35926702740716, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEA20>}"
73,105455145,105487246,"{'osmid': 11781783, 'name': 'Nottingham Way', 'highway': 'residential', 'oneway': False, 'length': 226.94551424065483}"
74,105455145,105455086,"{'osmid': 11781783, 'name': 'Nottingham Way', 'highway': 'residential', 'oneway': False, 'length': 33.6101544590388}"
75,105455145,105465894,"{'osmid': [11778483, 11779652], 'name': ['Queen Lane', 'Friar Lane'], 'highway': 'residential', 'oneway': False, 'length': 172.51852506075096, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEA58>}"
76,105465896,105465894,"{'osmid': 11779652, 'name': 'Queen Lane', 'highway': 'residential', 'oneway': False, 'length': 78.04703632973715}"
77,105465896,105497189,"{'osmid': 28062659, 'name': 'Justin Place', 'highway': 'residential', 'oneway': False, 'length': 51.81556858001531, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEA90>}"
78,105465896,105497177,"{'osmid': 28062659, 'name': 'Justin Place', 'highway': 'residential', 'oneway': False, 'length': 93.37973775079297, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEAC8>}"
79,105446517,105446521,"{'osmid': 11777549, 'ref': '(645)', 'name': 'New Providence Road', 'highway': 'tertiary', 'oneway': False, 'length': 131.09256068916258, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEB70>}"
80,105446517,2452236515,"{'osmid': 11778033, 'ref': 'CR 613', 'name': 'Mountain Avenue', 'highway': 'tertiary', 'oneway': False, 'length': 112.90637663318195, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEBE0>}"
81,105446517,105443279,"{'osmid': 11778033, 'ref': 'CR 613', 'name': 'Mountain Avenue', 'highway': 'tertiary', 'oneway': False, 'length': 81.05341675217151, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEC18>}"
82,105446517,105440855,"{'osmid': 11780855, 'name': 'Woodland Avenue', 'highway': 'residential', 'oneway': False, 'length': 330.96095557426054, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEB38>}"
83,2914078254,2914078247,"{'osmid': 287833375, 'name': 'Robbie Lane', 'highway': 'residential', 'oneway': False, 'length': 152.34901077047527, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEC50>}"
84,105423920,105423924,"{'osmid': 11775055, 'name': 'Old Tote Road', 'highway': 'residential', 'oneway': False, 'length': 275.6087491343624}"
85,105423920,105435599,"{'osmid': 11784747, 'name': 'Cedar Avenue', 'highway': 'residential', 'oneway': False, 'length': 124.52721434861904}"
86,105423920,105454304,"{'osmid': [11778883, 11775055], 'name': ['Poplar Avenue', 'Old Tote Road'], 'highway': 'residential', 'oneway': False, 'length': 488.14236010518704, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEC88>}"
87,105418291,105431632,"{'osmid': 11776147, 'name': 'Forest Court', 'highway': 'residential', 'oneway': False, 'length': 78.70735796701261}"
88,105423924,105423928,"{'osmid': 11775055, 'name': 'Old Tote Road', 'highway': 'residential', 'oneway': False, 'length': 62.55457121894881}"
89,105423924,105423920,"{'osmid': 11775055, 'name': 'Old Tote Road', 'highway': 'residential', 'oneway': False, 'length': 275.6087491343049}"
90,105423924,105511529,"{'osmid': 11785090, 'name': 'Knollwood Road', 'highway': 'residential', 'oneway': False, 'length': 139.44830861411333, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BECC0>}"
91,105431607,105429174,"{'osmid': 11775892, 'name': 'Ackerman Street', 'highway': 'residential', 'oneway': False, 'length': 93.4326306321801, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BECF8>}"
92,105431607,105431590,"{'osmid': 11775892, 'name': 'Ackerman Street', 'highway': 'residential', 'oneway': False, 'length': 119.3835386303248, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BED30>}"
93,105431607,105413776,"{'osmid': 11777051, 'name': 'Dogwood Way', 'highway': 'residential', 'oneway': False, 'length': 100.31167733388324, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BED68>}"
94,105423928,105423924,"{'osmid': 11775055, 'name': 'Old Tote Road', 'highway': 'residential', 'oneway': False, 'length': 62.55457121880263}"
95,105423928,105423946,"{'osmid': 11775055, 'name': 'Old Tote Road', 'highway': 'residential', 'oneway': False, 'length': 350.03751613207277, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEDA0>}"
96,105423928,105438675,"{'osmid': 11776729, 'name': 'Birch Hill Road', 'highway': 'residential', 'oneway': False, 'length': 159.28602187821335, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEDD8>}"
97,105495607,105479879,"{'osmid': 11782866, 'name': 'Fawn Ridge', 'highway': 'residential', 'oneway': False, 'length': 69.68813432903679}"
98,105429052,105429022,"{'osmid': 11775619, 'name': 'Whipporwill Way', 'highway': 'residential', 'oneway': False, 'length': 337.89955235736795, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEE10>}"
99,105429052,105461391,"{'osmid': 11784696, 'name': 'Wood Acres Drive', 'highway': 'residential', 'oneway': False, 'length': 149.93822805811428, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEE48>}"
100,105429052,105490890,"{'osmid': 11784696, 'name': 'Wood Acres Drive', 'highway': 'residential', 'oneway': False, 'length': 100.42444461301729, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEE80>}"
101,105466429,1727285757,"{'osmid': 160693255, 'oneway': True, 'highway': 'residential', 'length': 34.53719982628663, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEEB8>}"
102,105466429,105466397,"{'osmid': 288921661, 'ref': 'CR 645', 'name': 'W. R. Tracy Drive', 'highway': 'residential', 'oneway': False, 'length': 538.3695599585483, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEEF0>}"
103,105473599,105423946,"{'osmid': 11785131, 'name': 'Wood Valley Road', 'highway': 'residential', 'oneway': False, 'length': 125.20094018372652}"
104,105473599,105489675,"{'osmid': 11785131, 'name': 'Wood Valley Road', 'highway': 'residential', 'oneway': False, 'length': 59.50812981159019}"
105,105473599,105457984,"{'osmid': 11780333, 'name': 'Creek Bed Road', 'highway': 'residential', 'oneway': False, 'length': 116.11245907750565, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEF28>}"
106,440169543,770504859,"{'osmid': 11781887, 'name': 'Hillside Avenue', 'highway': 'residential', 'oneway': False, 'length': 155.37241510275936}"
107,105495112,105446667,"{'osmid': 11782803, 'name': 'Greenbrier Court', 'highway': 'residential', 'oneway': False, 'length': 164.9146957724913, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEF60>}"
108,105431624,105431632,"{'osmid': 11775892, 'name': 'Ackerman Street', 'highway': 'residential', 'oneway': False, 'length': 38.26714029628192, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEFD0>}"
109,105431624,105429174,"{'osmid': 11775892, 'name': 'Ackerman Street', 'highway': 'residential', 'oneway': False, 'length': 150.51681937704035, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551BEF98>}"
110,105431624,105407637,"{'osmid': 11785063, 'name': 'Outlook Drive', 'highway': 'residential', 'oneway': False, 'length': 451.15072903695943, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551DD048>}"
111,105423946,105473599,"{'osmid': 11785131, 'name': 'Wood Valley Road', 'highway': 'residential', 'oneway': False, 'length': 125.20094018336198}"
112,105423946,105423954,"{'osmid': 11775055, 'name': 'Old Tote Road', 'highway': 'residential', 'oneway': False, 'length': 172.45908264281863, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551DD080>}"
113,105423946,105423928,"{'osmid': 11775055, 'name': 'Old Tote Road', 'highway': 'residential', 'oneway': False, 'length': 350.03751613217906, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551DD0B8>}"
114,105423946,105457101,"{'osmid': 11785131, 'name': 'Wood Valley Road', 'highway': 'residential', 'oneway': False, 'length': 199.813378436689, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551DD0F0>}"
115,105466445,105440977,"{'osmid': 160693254, 'ref': 'CR 645', 'name': 'W. R. Tracy Drive', 'highway': 'residential', 'oneway': False, 'length': 814.0334162911222, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551DD198>}"
116,105466445,105512652,"{'osmid': 160693255, 'oneway': True, 'highway': 'residential', 'length': 58.69501026129105, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551DD1D0>}"
117,105507406,105507412,"{'osmid': 11784427, 'ref': 'CR 643', 'name': 'Summit Road', 'highway': 'tertiary', 'oneway': False, 'length': 66.42251345290816, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551DD160>}"
118,105507406,105436788,"{'osmid': 11784427, 'ref': 'CR 643', 'name': 'Summit Road', 'highway': 'tertiary', 'oneway': False, 'length': 205.78810271203815, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551DD208>}"
119,105507406,105422974,"{'osmid': 11785496, 'name': 'Prospect Avenue', 'highway': 'residential', 'oneway': False, 'length': 368.8426806150345, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551DD240>}"
120,105431632,105418291,"{'osmid': 11776147, 'name': 'Forest Court', 'highway': 'residential', 'oneway': False, 'length': 78.70735796692348}"
121,105431632,105431647,"{'osmid': 11775892, 'name': 'Ackerman Street', 'highway': 'residential', 'oneway': False, 'length': 114.38726512476804, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551DD278>}"
122,105431632,105431624,"{'osmid': 11775892, 'name': 'Ackerman Street', 'highway': 'residential', 'oneway': False, 'length': 38.267140296230686, 'geometry': <shapely.geometry.linestring.LineString object at 0x000002BC551DD2B0>}"
