,0,1,2
118,27.0,222.0,{'dist': 0.0015126273731480623}
119,27.0,227.0,{'dist': 0.0021795660944364612}
120,27.0,325.0,{'dist': 0.0023889790560016029}
121,28.0,169.0,{'dist': 0.0014007342538870852}
122,28.0,61.0,{'dist': 0.0014431587057539483}
123,28.0,457.0,{'dist': 0.0017282837729929142}
124,28.0,337.0,{'dist': 0.0020685821835160875}
125,29.0,396.0,{'dist': 0.00031069628255845158}
126,29.0,167.0,{'dist': 0.00032020563704624117}
127,29.0,135.0,{'dist': 0.00089905978666967538}
128,29.0,213.0,{'dist': 0.00096721154872613164}
129,30.0,31.0,{'dist': 0.00019891699274640826}
130,30.0,303.0,{'dist': 0.00087223320848765437}
131,30.0,81.0,{'dist': 0.0010111664205266042}
132,30.0,79.0,{'dist': 0.0011931047942259467}
133,30.0,32.0,{'dist': 0.0012605737185973833}
134,30.0,257.0,{'dist': 0.0012220725060265612}
135,31.0,303.0,{'dist': 0.00089168883586054502}
136,31.0,81.0,{'dist': 0.00099277989503776119}
137,31.0,32.0,{'dist': 0.0010616687100965894}
138,32.0,33.0,{'dist': 0.0010198948230092627}
139,32.0,56.0,{'dist': 0.0013637592346195722}
140,33.0,36.0,{'dist': 0.00084051218907576792}
141,33.0,37.0,{'dist': 0.00094298968180340332}
142,33.0,70.0,{'dist': 0.0011634776190338929}
143,33.0,56.0,{'dist': 0.0012079858442892309}
144,34.0,110.0,{'dist': 0.00034182792454439499}
145,34.0,162.0,{'dist': 0.00045178965238077984}
146,34.0,107.0,{'dist': 0.00063396249888899876}
147,34.0,477.0,{'dist': 0.0010640786859969359}
148,34.0,297.0,{'dist': 0.0011369346946893965}
149,35.0,240.0,{'dist': 0.00049367374853754393}
150,35.0,336.0,{'dist': 0.00082848056706481279}
151,35.0,393.0,{'dist': 0.0010808768338780555}
152,35.0,186.0,{'dist': 0.0011651329924085949}
153,36.0,37.0,{'dist': 0.00010253292154468912}
154,36.0,39.0,{'dist': 0.00079218271251282359}
155,36.0,70.0,{'dist': 0.00093216546277355146}
156,36.0,56.0,{'dist': 0.0016526559775067373}
157,37.0,39.0,{'dist': 0.0006896585024490779}
158,37.0,70.0,{'dist': 0.00095554447828677326}
159,38.0,282.0,{'dist': 0.0001493251485879815}
160,38.0,294.0,{'dist': 0.00091024568111454493}
161,38.0,446.0,{'dist': 0.00098838150529263974}
162,38.0,458.0,{'dist': 0.00151319379128804}
163,38.0,206.0,{'dist': 0.0017383204681521848}
164,38.0,225.0,{'dist': 0.0015596457450419013}
165,39.0,40.0,{'dist': 0.00076031677608925984}
166,39.0,58.0,{'dist': 0.0010515172133592173}
167,39.0,41.0,{'dist': 0.0011190862343970708}
168,40.0,41.0,{'dist': 0.00035883199411982177}
169,40.0,467.0,{'dist': 0.0011254059978444452}
170,40.0,58.0,{'dist': 0.001313793305652312}
171,41.0,467.0,{'dist': 0.0012120276317035296}
172,41.0,44.0,{'dist': 0.0012637470079112111}
173,42.0,279.0,{'dist': 0.00012190114847372002}
174,42.0,48.0,{'dist': 0.00026099197305019751}
175,42.0,280.0,{'dist': 0.00071922244821052896}
176,42.0,43.0,{'dist': 0.0007770059073207643}
177,42.0,156.0,{'dist': 0.0011608341828173623}
178,43.0,280.0,{'dist': 0.00019179940041226914}
179,43.0,156.0,{'dist': 0.0005989188425769837}
180,43.0,279.0,{'dist': 0.00082146993250809442}
181,43.0,48.0,{'dist': 0.00089012388464086993}
182,43.0,51.0,{'dist': 0.0018965242524165212}
183,44.0,45.0,{'dist': 0.00090869700670440903}
184,44.0,130.0,{'dist': 0.0012493359876340649}
185,44.0,46.0,{'dist': 0.0015803827511021876}
186,45.0,46.0,{'dist': 0.00068258582610258931}
187,45.0,130.0,{'dist': 0.0012198112067006272}
188,45.0,47.0,{'dist': 0.0018084750509701328}
189,46.0,47.0,{'dist': 0.0011457792108404406}
190,46.0,130.0,{'dist': 0.0014616468280639501}
191,47.0,464.0,{'dist': 0.00056542099359773801}
192,47.0,462.0,{'dist': 0.0008338710331960243}
193,47.0,52.0,{'dist': 0.0010213765221532246}
194,48.0,279.0,{'dist': 0.00013909083362718573}
195,48.0,280.0,{'dist': 0.00077879694401763056}
196,49.0,266.0,{'dist': 0.00089255483304982145}
197,49.0,264.0,{'dist': 0.00097822967650637669}
198,49.0,380.0,{'dist': 0.0015640760243607536}
199,50.0,383.0,{'dist': 0.0013498864878256948}
200,50.0,367.0,{'dist': 0.0015309349365692211}
201,50.0,138.0,{'dist': 0.0032254142261109778}
202,50.0,391.0,{'dist': 0.0034028587466988134}
203,51.0,154.0,{'dist': 0.00086398755777961263}
204,51.0,156.0,{'dist': 0.0014112980195544994}
205,51.0,150.0,{'dist': 0.0014739946064965381}
206,52.0,461.0,{'dist': 0.00045644473926900948}
207,52.0,462.0,{'dist': 0.00062550627494520653}
208,52.0,464.0,{'dist': 0.00086472752934329991}
209,52.0,54.0,{'dist': 0.00098321208292137595}
210,52.0,215.0,{'dist': 0.0012013599502154772}
211,53.0,407.0,{'dist': 0.001310223988486152}
212,53.0,318.0,{'dist': 0.0017463970825641341}
213,53.0,306.0,{'dist': 0.0018762400086281136}
214,53.0,408.0,{'dist': 0.0023516388540836841}
215,54.0,461.0,{'dist': 0.00097755378369490491}
216,54.0,57.0,{'dist': 0.0010006454916702684}
217,54.0,158.0,{'dist': 0.0011501035475101177}
218,54.0,215.0,{'dist': 0.001278449189441489}
219,55.0,372.0,{'dist': 0.0027758034872705302}
220,55.0,247.0,{'dist': 0.003061056053060539}
221,55.0,244.0,{'dist': 0.0031403950388445507}
222,55.0,371.0,{'dist': 0.0038518891468998524}
223,56.0,102.0,{'dist': 0.001538499532012772}
224,57.0,158.0,{'dist': 0.00014972538194751723}
225,57.0,133.0,{'dist': 0.00060669362943633958}
226,57.0,128.0,{'dist': 0.00070043395833677385}
227,57.0,182.0,{'dist': 0.00089975442205312477}
228,58.0,467.0,{'dist': 0.00066344176081863581}
229,58.0,70.0,{'dist': 0.00092193913573408465}
230,58.0,298.0,{'dist': 0.0011222729837226633}
231,59.0,198.0,{'dist': 0.00072868844508753433}
232,59.0,310.0,{'dist': 0.00092995804206760975}
233,59.0,164.0,{'dist': 0.0022421946837934644}
234,59.0,246.0,{'dist': 0.0023175891007610702}
235,59.0,248.0,{'dist': 0.002330294710972766}
236,60.0,62.0,{'dist': 0.00075905204037213204}
237,60.0,380.0,{'dist': 0.00091728403453443649}
238,60.0,379.0,{'dist': 0.0013900981979658499}
239,60.0,486.0,{'dist': 0.0014487435935919767}
240,60.0,390.0,{'dist': 0.0020300969164012334}
241,60.0,392.0,{'dist': 0.0022233534356875923}
242,61.0,337.0,{'dist': 0.00076598172301622187}
243,61.0,457.0,{'dist': 0.0013487247643645865}
244,61.0,431.0,{'dist': 0.0020726702029039449}
245,62.0,486.0,{'dist': 0.00091770692489002959}
246,62.0,380.0,{'dist': 0.0016539655377330734}
247,62.0,390.0,{'dist': 0.0018040287941134814}
248,62.0,392.0,{'dist': 0.002031562477500705}
249,63.0,67.0,{'dist': 0.0011534866882611807}
250,63.0,72.0,{'dist': 0.0017466110042016034}
251,64.0,66.0,{'dist': 0.00050277728668054729}
252,64.0,412.0,{'dist': 0.0007672502851063897}
253,64.0,435.0,{'dist': 0.0010041553664670278}
254,64.0,413.0,{'dist': 0.0011102116915249467}
255,64.0,438.0,{'dist': 0.0014426156799309427}
256,65.0,374.0,{'dist': 0.0012327741074456939}
257,65.0,75.0,{'dist': 0.0016913479831159046}
258,65.0,229.0,{'dist': 0.0017601022697558077}
259,65.0,443.0,{'dist': 0.0020838048133250838}
260,65.0,386.0,{'dist': 0.0024420075757552746}
261,66.0,412.0,{'dist': 0.00026447306100544038}
262,66.0,413.0,{'dist': 0.00072875578899528467}
263,66.0,83.0,{'dist': 0.0013123707555340587}
264,66.0,435.0,{'dist': 0.0015069323143433989}
265,67.0,72.0,{'dist': 0.00081196769640847714}
266,67.0,328.0,{'dist': 0.0011667768338487271}
267,67.0,73.0,{'dist': 0.0014107209291773822}
268,67.0,325.0,{'dist': 0.0023626898675083888}
269,68.0,241.0,{'dist': 0.00093480727960719553}
270,68.0,329.0,{'dist': 0.0012805021085493214}
271,68.0,261.0,{'dist': 0.0013136306824886403}
272,68.0,330.0,{'dist': 0.0014501147023624266}
273,69.0,476.0,{'dist': 0.00099501809029099177}
274,69.0,205.0,{'dist': 0.0014680680706351224}
275,69.0,480.0,{'dist': 0.0015480826851298332}
276,69.0,207.0,{'dist': 0.0016802821102415526}
277,69.0,355.0,{'dist': 0.002828679550611112}
278,69.0,378.0,{'dist': 0.0025997045986028097}
279,69.0,418.0,{'dist': 0.0029527329713309705}
280,69.0,419.0,{'dist': 0.0031890802749390667}
281,70.0,80.0,{'dist': 0.0014476668124920407}
282,70.0,298.0,{'dist': 0.0012990540019568125}
283,71.0,89.0,{'dist': 0.0010303063039712867}
284,71.0,354.0,{'dist': 0.0010889994719846046}
285,71.0,357.0,{'dist': 0.0012124720037982027}
286,71.0,372.0,{'dist': 0.0017219631238881289}
287,72.0,73.0,{'dist': 0.00061350550119753365}
288,72.0,328.0,{'dist': 0.0010138319584725669}
289,72.0,74.0,{'dist': 0.0014104460712831138}
290,72.0,325.0,{'dist': 0.0021872504680624746}
