SERIALNO,SPORDER,PUMA,AGEP,COW,JWMNP,JWTR,MAR,RELP,SEX,SCHL,ESR,PINCP,ADJINC
64,1,4627,32,1.0,15.0,1.0,5,0,2,19.0,1.0,19000.0,1001264
64,2,4627,12,,,,5,2,1,9.0,,,1001264
64,3,4627,8,,,,5,2,2,5.0,,,1001264
64,4,4627,34,2.0,15.0,1.0,5,15,1,19.0,1.0,25000.0,1001264
99,1,4622,41,3.0,10.0,1.0,4,0,2,19.0,1.0,17000.0,1001264
99,2,4622,21,1.0,15.0,1.0,1,2,1,14.0,1.0,70000.0,1001264
99,3,4622,19,1.0,,,5,2,2,18.0,3.0,3000.0,1001264
99,4,4622,16,,,,5,2,1,13.0,6.0,0.0,1001264
99,5,4622,22,1.0,,,1,9,2,14.0,6.0,0.0,1001264
99,6,4622,5,,,,5,15,1,1.0,,,1001264
154,1,4634,81,2.0,,,2,0,2,21.0,6.0,24000.0,1001264
154,2,4634,57,1.0,90.0,1.0,2,2,2,21.0,1.0,90000.0,1001264
256,1,4802,63,,,,3,16,1,17.0,6.0,0.0,1001264
284,1,4701,53,3.0,10.0,1.0,5,0,1,24.0,1.0,72000.0,1001264
284,2,4701,40,2.0,,,5,13,1,20.0,6.0,0.0,1001264
285,1,4803,77,7.0,15.0,1.0,1,0,1,19.0,1.0,65000.0,1001264
318,1,4502,70,,,,3,0,1,22.0,6.0,77000.0,1001264
361,1,4606,83,,,,2,0,2,16.0,6.0,26600.0,1001264
372,1,4802,41,1.0,60.0,1.0,1,0,1,21.0,1.0,120000.0,1001264
372,2,4802,51,1.0,40.0,1.0,1,1,2,21.0,1.0,120000.0,1001264
372,3,4802,14,,,,5,2,2,13.0,,,1001264
372,4,4802,10,,,,5,2,2,9.0,,,1001264
388,1,4612,56,1.0,10.0,1.0,1,0,2,20.0,1.0,17000.0,1001264
388,2,4612,64,1.0,10.0,1.0,1,1,1,1.0,1.0,45000.0,1001264
388,3,4612,18,1.0,10.0,1.0,5,2,1,16.0,1.0,15000.0,1001264
388,4,4612,16,,,,5,2,2,14.0,6.0,0.0,1001264
438,1,4612,28,1.0,15.0,1.0,1,0,2,22.0,1.0,77000.0,1001264
438,2,4612,33,1.0,10.0,1.0,1,1,1,21.0,1.0,50000.0,1001264
459,1,5000,74,6.0,10.0,1.0,1,0,1,23.0,1.0,27600.0,1001264
459,2,5000,72,,,,1,1,2,22.0,6.0,24900.0,1001264
538,1,4601,59,1.0,,11.0,5,0,2,22.0,1.0,4500.0,1001264
637,1,4624,75,1.0,,11.0,1,0,1,21.0,1.0,70000.0,1001264
637,2,4624,74,,,,1,1,2,16.0,6.0,10000.0,1001264
804,1,4616,60,4.0,,,1,0,2,19.0,6.0,37080.0,1001264
804,2,4616,73,1.0,30.0,2.0,1,1,1,21.0,1.0,41700.0,1001264
804,3,4616,26,3.0,25.0,1.0,5,2,1,21.0,1.0,50000.0,1001264
1090,1,4616,27,,,,5,0,2,19.0,6.0,0.0,1001264
1090,2,4616,26,1.0,45.0,1.0,5,12,2,19.0,1.0,35000.0,1001264
1106,1,4803,34,,,,5,16,1,20.0,6.0,0.0,1001264
1127,1,4631,25,1.0,10.0,1.0,5,0,2,21.0,1.0,12000.0,1001264
1237,1,4905,52,1.0,45.0,1.0,1,0,1,19.0,1.0,70000.0,1001264
1237,2,4905,38,1.0,,,1,1,2,21.0,6.0,0.0,1001264
1237,3,4905,3,,,,5,2,1,1.0,,,1001264
1353,1,4601,31,2.0,20.0,1.0,1,0,2,21.0,1.0,90000.0,1001264
1353,2,4601,27,4.0,25.0,1.0,1,1,1,21.0,1.0,90000.0,1001264
1381,1,4604,44,1.0,,11.0,1,0,2,21.0,1.0,100000.0,1001264
1381,2,4604,46,1.0,15.0,1.0,1,1,1,21.0,1.0,200000.0,1001264
1381,3,4604,12,,,,5,2,1,8.0,,,1001264
1596,1,4621,58,3.0,35.0,1.0,1,0,1,20.0,1.0,140500.0,1001264
1596,2,4621,55,1.0,,11.0,1,1,2,16.0,1.0,56000.0,1001264
1596,3,4621,25,1.0,20.0,1.0,5,2,1,21.0,1.0,25000.0,1001264
1596,4,4621,22,1.0,,,5,15,2,16.0,6.0,0.0,1001264
1730,1,4604,32,1.0,5.0,1.0,3,0,2,19.0,1.0,38000.0,1001264
1730,2,4604,6,,,,5,2,2,4.0,,,1001264
1730,3,4604,24,1.0,20.0,1.0,5,13,2,21.0,1.0,42000.0,1001264
1751,1,4634,38,1.0,50.0,1.0,3,0,1,19.0,1.0,58000.0,1001264
1997,1,4626,42,,,,3,0,2,12.0,6.0,0.0,1001264
1997,2,4626,17,,,,5,2,1,13.0,6.0,0.0,1001264
1997,3,4626,14,,,,5,2,1,10.0,,,1001264
1997,4,4626,12,,,,5,2,2,8.0,,,1001264
1997,5,4626,42,1.0,15.0,1.0,5,13,1,12.0,1.0,40000.0,1001264
2042,1,4603,52,1.0,,,4,0,2,16.0,6.0,15400.0,1001264
2051,1,4617,59,1.0,159.0,1.0,1,0,1,23.0,1.0,30000.0,1001264
2051,2,4617,58,1.0,30.0,1.0,1,1,2,19.0,1.0,30000.0,1001264
2079,1,4613,42,1.0,30.0,1.0,3,0,2,19.0,1.0,35000.0,1001264
2079,2,4613,15,,,,5,2,2,11.0,,0.0,1001264
2079,3,4613,12,,,,5,2,2,9.0,,,1001264
2079,4,4613,7,,,,5,2,2,6.0,,,1001264
2079,5,4613,56,1.0,,,3,13,1,20.0,3.0,900.0,1001264
2102,1,4605,83,,,,3,0,2,16.0,6.0,3900.0,1001264
2204,1,4606,35,1.0,15.0,1.0,4,0,2,20.0,1.0,23800.0,1001264
2204,2,4606,13,,,,5,2,2,11.0,,,1001264
2204,3,4606,13,,,,5,2,2,10.0,,,1001264
2210,1,4618,88,,,,2,0,2,1.0,6.0,12000.0,1001264
2210,2,4618,64,1.0,13.0,1.0,3,2,1,16.0,1.0,100000.0,1001264
2210,3,4618,61,1.0,25.0,1.0,3,2,1,14.0,1.0,60000.0,1001264
2234,1,4901,32,3.0,25.0,1.0,1,0,2,21.0,1.0,40000.0,1001264
2234,2,4901,35,1.0,5.0,1.0,1,1,1,11.0,1.0,36000.0,1001264
2234,3,4901,9,,,,5,2,1,6.0,,,1001264
2234,4,4901,6,,,,5,2,2,3.0,,,1001264
2234,5,4901,32,1.0,30.0,1.0,4,10,2,11.0,1.0,5000.0,1001264
2234,6,4901,0,,,,5,10,2,,,,1001264
2257,1,4605,64,1.0,,,1,0,2,20.0,6.0,2000.0,1001264
2257,2,4605,70,,,,1,1,1,18.0,6.0,20400.0,1001264
2371,1,4618,52,1.0,,,1,0,2,21.0,2.0,17200.0,1001264
2371,2,4618,47,1.0,40.0,1.0,1,1,1,9.0,1.0,25300.0,1001264
2371,3,4618,21,1.0,20.0,1.0,5,2,2,16.0,1.0,18000.0,1001264
2371,4,4618,17,,,,5,2,2,13.0,6.0,0.0,1001264
2371,5,4618,15,,,,5,2,1,11.0,,0.0,1001264
2413,1,4616,40,1.0,,11.0,1,0,1,19.0,1.0,40000.0,1001264
2413,2,4616,40,,,,1,1,2,19.0,6.0,0.0,1001264
2413,3,4616,7,,,,5,2,2,4.0,,,1001264
2413,4,4616,6,,,,5,2,2,2.0,,,1001264
2490,1,4604,24,1.0,20.0,1.0,5,0,2,21.0,1.0,61000.0,1001264
2490,2,4604,24,1.0,15.0,1.0,5,12,1,21.0,1.0,75000.0,1001264
2501,1,4624,50,4.0,5.0,1.0,5,0,1,22.0,1.0,100000.0,1001264
2501,2,4624,40,1.0,60.0,1.0,3,13,1,20.0,1.0,120000.0,1001264
2505,1,4624,42,6.0,20.0,1.0,1,0,1,19.0,1.0,19000.0,1001264
2505,2,4624,45,2.0,10.0,1.0,1,1,2,21.0,1.0,12950.0,1001264
2505,3,4624,11,,,,5,2,1,7.0,,,1001264
2505,4,4624,16,,,,5,4,1,13.0,6.0,0.0,1001264
2598,1,4905,37,1.0,159.0,1.0,1,0,1,16.0,1.0,69000.0,1001264
2598,2,4905,38,1.0,20.0,1.0,1,1,2,1.0,1.0,18000.0,1001264
2598,3,4905,16,,,,5,2,1,12.0,6.0,0.0,1001264
2598,4,4905,14,,,,5,2,1,11.0,,,1001264
2598,5,4905,11,,,,5,2,2,8.0,,,1001264
2598,6,4905,7,,,,5,2,1,5.0,,,1001264
2598,7,4905,13,,,,5,10,2,9.0,,,1001264
2678,1,4801,50,6.0,50.0,1.0,1,0,2,19.0,1.0,30000.0,1001264
2678,2,4801,55,1.0,60.0,1.0,1,1,1,19.0,1.0,50000.0,1001264
2678,3,4801,22,1.0,,,5,2,2,20.0,6.0,400.0,1001264
2678,4,4801,21,6.0,30.0,1.0,5,2,2,19.0,1.0,2000.0,1001264
2678,5,4801,16,6.0,30.0,1.0,5,2,2,13.0,1.0,1000.0,1001264
2686,1,4613,46,1.0,159.0,1.0,5,0,1,21.0,1.0,176500.0,1001264
2686,2,4613,51,1.0,30.0,1.0,5,11,1,22.0,1.0,93000.0,1001264
2715,1,4604,23,,,,5,17,2,19.0,6.0,0.0,1001264
2745,1,4614,30,2.0,45.0,1.0,5,0,1,21.0,1.0,58000.0,1001264
2817,1,4701,60,,,,1,0,2,13.0,6.0,5200.0,1001264
2817,2,4701,65,,,,1,1,1,12.0,6.0,27400.0,1001264
2817,3,4701,42,,,,5,2,2,16.0,6.0,5200.0,1001264
2817,4,4701,31,2.0,15.0,1.0,5,2,2,16.0,1.0,1800.0,1001264
2817,5,4701,8,,,,5,7,1,5.0,,,1001264
2924,1,4635,71,,,,2,0,2,18.0,6.0,2200.0,1001264
2934,1,4701,58,,,,3,16,2,19.0,6.0,0.0,1001264
2966,1,4400,22,1.0,40.0,1.0,1,0,2,20.0,1.0,7000.0,1001264
2966,2,4400,23,1.0,60.0,1.0,1,1,1,18.0,1.0,38500.0,1001264
3017,1,4627,32,4.0,20.0,1.0,1,0,2,21.0,1.0,51000.0,1001264
3017,2,4627,33,1.0,15.0,1.0,1,1,1,20.0,1.0,35500.0,1001264
3017,3,4627,3,,,,5,2,1,2.0,,,1001264
3017,4,4627,1,,,,5,2,2,,,,1001264
3025,1,4902,77,,,,1,0,1,14.0,6.0,36200.0,1001264
3025,2,4902,77,,,,1,1,2,19.0,6.0,16100.0,1001264
3232,1,5000,27,1.0,10.0,9.0,1,0,2,18.0,1.0,6000.0,1001264
3232,2,5000,48,7.0,10.0,9.0,1,1,1,17.0,1.0,2400.0,1001264
3232,3,5000,6,,,,5,2,2,3.0,,,1001264
3283,1,4503,25,1.0,10.0,1.0,5,0,2,22.0,1.0,35000.0,1001264
3456,1,4616,80,,,,1,0,2,6.0,6.0,5700.0,1001264
3456,2,4616,87,,,,1,1,1,1.0,6.0,7800.0,1001264
3503,1,4620,48,1.0,60.0,1.0,1,0,1,21.0,1.0,55000.0,1001264
3503,2,4620,45,1.0,10.0,1.0,1,1,2,16.0,1.0,15000.0,1001264
3540,1,4617,82,,,,2,0,2,14.0,6.0,13400.0,1001264
3686,1,4905,49,2.0,45.0,1.0,3,0,2,21.0,1.0,58000.0,1001264
3705,1,4606,76,,,,1,0,1,17.0,6.0,28500.0,1001264
3705,2,4606,67,1.0,,,1,1,2,16.0,6.0,11900.0,1001264
3786,1,4803,43,1.0,,,5,0,1,13.0,3.0,36000.0,1001264
3855,1,4612,60,,,,1,0,2,14.0,6.0,0.0,1001264
3855,2,4612,78,,,,1,1,1,16.0,6.0,25000.0,1001264
3999,1,4607,71,,,,1,0,1,19.0,6.0,35200.0,1001264
3999,2,4607,67,,,,1,1,2,21.0,6.0,43500.0,1001264
4097,1,4603,77,,,,1,0,1,22.0,6.0,69100.0,1001264
4097,2,4603,76,,,,1,1,2,22.0,6.0,127600.0,1001264
4108,1,4632,49,1.0,60.0,2.0,1,0,1,21.0,1.0,200001.0,1001264
4108,2,4632,37,,,,1,1,2,19.0,6.0,0.0,1001264
4108,3,4632,16,,,,5,2,2,14.0,6.0,0.0,1001264
4108,4,4632,12,,,,5,2,2,10.0,,,1001264
4108,5,4632,4,,,,5,2,1,2.0,,,1001264
4108,6,4632,4,,,,5,2,1,2.0,,,1001264
4189,1,4609,32,1.0,20.0,1.0,1,0,2,22.0,1.0,180000.0,1001264
4189,2,4609,34,1.0,45.0,1.0,1,1,1,21.0,1.0,90000.0,1001264
4189,3,4609,5,,,,5,2,1,2.0,,,1001264
4189,4,4609,5,,,,5,2,1,3.0,,,1001264
4237,1,4606,26,1.0,20.0,1.0,1,0,2,18.0,1.0,30700.0,1001264
4237,2,4606,27,2.0,20.0,1.0,1,1,1,17.0,1.0,33600.0,1001264
4237,3,4606,5,,,,5,2,1,1.0,,,1001264
4361,1,4613,31,1.0,30.0,1.0,1,0,1,22.0,1.0,60000.0,1001264
4361,2,4613,27,,,,1,1,2,19.0,6.0,0.0,1001264
4361,3,4613,2,,,,5,2,1,,,,1001264
4361,4,4613,0,,,,5,2,2,,,,1001264
4364,1,4612,58,1.0,45.0,1.0,3,0,2,21.0,1.0,55000.0,1001264
4512,1,4622,60,1.0,5.0,1.0,1,0,1,16.0,1.0,130000.0,1001264
4512,2,4622,53,3.0,,,1,1,2,19.0,6.0,42000.0,1001264
4604,1,4606,44,,,,1,0,2,16.0,6.0,0.0,1001264
4604,2,4606,47,1.0,15.0,1.0,1,1,1,9.0,1.0,15000.0,1001264
4604,3,4606,22,1.0,15.0,1.0,5,2,1,16.0,1.0,48000.0,1001264
4604,4,4606,18,,,,5,2,1,16.0,6.0,0.0,1001264
4604,5,4606,11,,,,5,2,1,9.0,,,1001264
4834,1,4627,57,1.0,45.0,1.0,5,0,1,19.0,1.0,41800.0,1001264
5045,1,4629,46,1.0,45.0,1.0,1,0,2,17.0,1.0,45000.0,1001264
5045,2,4629,47,1.0,45.0,1.0,1,1,1,17.0,1.0,49000.0,1001264
5182,1,4400,73,,,,1,0,1,22.0,6.0,16900.0,1001264
5182,2,4400,61,1.0,20.0,1.0,1,1,2,16.0,1.0,29500.0,1001264
5215,1,4624,43,1.0,20.0,1.0,1,0,2,23.0,1.0,85000.0,1001264
5215,2,4624,42,1.0,15.0,1.0,1,1,1,19.0,1.0,47000.0,1001264
5215,3,4624,16,,,,1,2,2,13.0,6.0,0.0,1001264
5215,4,4624,14,,,,5,2,1,11.0,,,1001264
5242,1,4602,59,1.0,30.0,1.0,1,0,1,8.0,1.0,33600.0,1001264
5242,2,4602,58,,,,1,1,2,9.0,6.0,0.0,1001264
5242,3,4602,23,6.0,30.0,1.0,5,2,1,20.0,1.0,48000.0,1001264
5242,4,4602,19,1.0,4.0,1.0,5,2,2,19.0,1.0,14400.0,1001264
5362,1,4803,52,,,,5,0,1,19.0,6.0,9901.0,1001264
5366,1,4615,56,1.0,,,3,0,1,21.0,6.0,320.0,1001264
5367,1,4626,31,1.0,20.0,1.0,1,0,1,21.0,1.0,14000.0,1001264
5367,2,4626,29,,,,1,1,2,21.0,6.0,0.0,1001264
5367,3,4626,0,,,,5,2,2,,,,1001264
5421,1,4610,68,,,,3,0,2,19.0,6.0,7930.0,1001264
5460,1,4903,50,1.0,25.0,1.0,3,0,1,22.0,1.0,13000.0,1001264
5486,1,4627,43,7.0,,11.0,1,0,1,21.0,1.0,37000.0,1001264
5486,2,4627,40,1.0,30.0,1.0,1,1,2,21.0,1.0,36000.0,1001264
5486,3,4627,11,,,,5,2,1,8.0,,,1001264
5757,1,4603,24,1.0,,,5,17,2,21.0,6.0,10000.0,1001264
5849,1,4400,50,1.0,30.0,1.0,1,0,1,16.0,1.0,98000.0,1001264
5849,2,4400,49,1.0,60.0,1.0,1,1,2,16.0,1.0,38000.0,1001264
5849,3,4400,23,1.0,30.0,1.0,5,2,1,19.0,1.0,8000.0,1001264
5862,1,4637,29,1.0,60.0,2.0,5,0,1,18.0,1.0,85000.0,1001264
5921,1,4702,25,,,,5,17,1,16.0,6.0,8400.0,1001264
6046,1,4607,32,1.0,45.0,1.0,1,0,1,19.0,1.0,30000.0,1001264
6046,2,4607,30,,,,1,1,2,19.0,6.0,0.0,1001264
6083,1,4615,33,1.0,45.0,1.0,1,0,1,4.0,1.0,12000.0,1001264
6083,2,4615,29,,,,1,1,2,8.0,6.0,0.0,1001264
6083,3,4615,6,,,,5,2,2,3.0,,,1001264
6083,4,4615,5,,,,5,2,1,2.0,,,1001264
6083,5,4615,4,,,,5,2,2,1.0,,,1001264
6083,6,4615,1,,,,5,2,1,,,,1001264
6083,7,4615,27,1.0,45.0,1.0,5,5,1,8.0,1.0,12000.0,1001264
6083,8,4615,28,,,,5,10,2,6.0,6.0,0.0,1001264
6083,9,4615,0,,,,5,10,2,,,,1001264
6296,1,5000,54,1.0,20.0,1.0,3,0,2,17.0,1.0,16500.0,1001264
6296,2,5000,52,,,,3,11,1,16.0,6.0,10000.0,1001264
6418,1,4617,63,1.0,,,3,0,2,16.0,6.0,12600.0,1001264
6418,2,4617,52,1.0,60.0,1.0,3,12,1,16.0,1.0,24000.0,1001264
6519,1,4636,62,1.0,,,1,0,2,22.0,6.0,115000.0,1001264
6519,2,4636,66,1.0,,,1,1,1,18.0,6.0,100000.0,1001264
6519,3,4636,92,,,,2,6,1,21.0,6.0,45600.0,1001264
6600,1,4629,50,,,,1,0,1,19.0,6.0,0.0,1001264
6600,2,4629,51,,,,1,1,2,19.0,6.0,0.0,1001264
6733,1,5000,56,,,,5,0,2,16.0,6.0,10200.0,1001264
6759,1,4633,54,1.0,45.0,1.0,3,0,2,16.0,1.0,13500.0,1001264
6897,1,4503,92,,,,2,0,1,1.0,6.0,34200.0,1001264
7005,1,4607,44,3.0,35.0,1.0,1,0,1,18.0,1.0,24000.0,1001264
7005,2,4607,23,3.0,30.0,1.0,1,1,2,17.0,1.0,20200.0,1001264
7005,3,4607,2,,,,5,4,1,,,,1001264
7035,1,4631,45,1.0,40.0,1.0,1,0,1,21.0,1.0,120000.0,1001264
7035,2,4631,42,,,,1,1,2,20.0,6.0,0.0,1001264
7035,3,4631,10,,,,5,2,1,7.0,,,1001264
7035,4,4631,6,,,,5,2,2,3.0,,,1001264
7046,1,4620,29,1.0,5.0,1.0,5,0,1,16.0,1.0,31000.0,1001264
7046,2,4620,31,1.0,20.0,1.0,4,12,1,16.0,1.0,20000.0,1001264
7046,3,4620,26,7.0,40.0,1.0,4,12,1,15.0,1.0,13000.0,1001264
7128,1,5000,19,,,,5,17,2,18.0,6.0,0.0,1001264
7270,1,4617,60,1.0,60.0,1.0,5,0,1,20.0,1.0,93000.0,1001264
7384,1,4905,36,3.0,60.0,1.0,1,0,1,18.0,1.0,73000.0,1001264
7384,2,4905,39,1.0,30.0,1.0,1,1,2,9.0,1.0,18000.0,1001264
7384,3,4905,12,,,,5,2,1,8.0,,,1001264
7384,4,4905,23,1.0,30.0,1.0,5,4,2,14.0,1.0,5000.0,1001264
7412,1,4627,42,1.0,35.0,1.0,1,0,2,15.0,1.0,42000.0,1001264
7412,2,4627,46,2.0,60.0,1.0,1,1,1,18.0,1.0,16000.0,1001264
7412,3,4627,24,1.0,30.0,1.0,5,2,1,21.0,1.0,24300.0,1001264
7412,4,4627,16,,,,5,2,1,11.0,6.0,0.0,1001264
7412,5,4627,15,,,,5,2,1,12.0,,0.0,1001264
7422,1,4606,38,4.0,159.0,1.0,3,0,2,18.0,1.0,25360.0,1001264
7422,2,4606,17,,,,5,2,1,15.0,6.0,0.0,1001264
7422,3,4606,15,,,,5,2,2,12.0,,0.0,1001264
7434,1,4629,57,1.0,27.0,1.0,1,0,2,21.0,1.0,60000.0,1001264
7434,2,4629,56,6.0,,11.0,1,1,1,24.0,1.0,6000.0,1001264
7458,1,4905,31,2.0,30.0,1.0,1,0,1,22.0,1.0,95000.0,1001264
7458,2,4905,28,2.0,30.0,1.0,1,1,2,22.0,1.0,63000.0,1001264
7458,3,4905,1,,,,5,2,1,,,,1001264
7458,4,4905,28,1.0,30.0,1.0,5,5,1,19.0,1.0,52000.0,1001264
7473,1,4614,41,1.0,,,3,0,2,21.0,2.0,69000.0,1001264
7473,2,4614,20,1.0,,,5,2,2,16.0,3.0,13000.0,1001264
7576,1,4632,51,1.0,60.0,2.0,1,0,1,24.0,1.0,252000.0,1001264
7576,2,4632,46,1.0,40.0,1.0,1,1,2,21.0,1.0,14900.0,1001264
7887,1,4630,40,1.0,15.0,1.0,5,0,1,21.0,1.0,34000.0,1001264
8023,1,4501,31,1.0,33.0,1.0,1,0,1,18.0,1.0,23000.0,1001264
8023,2,4501,33,1.0,60.0,1.0,1,1,2,18.0,1.0,30000.0,1001264
8037,1,4604,40,1.0,5.0,1.0,3,0,2,23.0,1.0,85000.0,1001264
8037,2,4604,39,1.0,15.0,10.0,3,13,1,19.0,1.0,150600.0,1001264
8133,1,4624,45,1.0,30.0,1.0,5,0,1,23.0,1.0,80000.0,1001264
8133,2,4624,86,,,,1,6,1,1.0,6.0,1500.0,1001264
8133,3,4624,80,,,,1,6,2,1.0,6.0,1500.0,1001264
8178,1,4613,51,1.0,10.0,1.0,5,0,1,21.0,1.0,80000.0,1001264
8242,1,5000,36,9.0,,,5,0,2,9.0,3.0,0.0,1001264
8242,2,5000,7,,,,5,2,1,4.0,,,1001264
8242,3,5000,4,,,,5,2,2,2.0,,,1001264
8242,4,5000,3,,,,5,2,1,1.0,,,1001264
8242,5,5000,35,1.0,45.0,1.0,5,13,1,14.0,1.0,20000.0,1001264
8330,1,4605,38,1.0,90.0,1.0,1,0,1,16.0,1.0,114000.0,1001264
8330,2,4605,39,,,,1,1,2,16.0,6.0,0.0,1001264
8330,3,4605,16,,,,5,2,1,11.0,6.0,0.0,1001264
8336,1,4503,53,7.0,20.0,1.0,1,0,1,23.0,1.0,451000.0,1001264
8336,2,4503,44,7.0,20.0,1.0,1,1,2,23.0,1.0,150000.0,1001264
8336,3,4503,15,,,,5,2,2,12.0,,0.0,1001264
8359,1,5000,20,,,,5,17,1,18.0,6.0,0.0,1001264
8484,1,4601,59,1.0,15.0,1.0,1,0,1,17.0,1.0,45000.0,1001264
8484,2,4601,50,1.0,20.0,1.0,1,1,2,17.0,1.0,18000.0,1001264
8484,3,4601,25,1.0,15.0,1.0,5,2,1,19.0,1.0,50000.0,1001264
8484,4,4601,22,1.0,5.0,10.0,5,2,2,19.0,1.0,12000.0,1001264
8484,5,4601,5,,,,5,7,2,3.0,,,1001264
8484,6,4601,22,2.0,,,1,9,1,21.0,6.0,8000.0,1001264
8688,1,4903,33,1.0,7.0,1.0,1,0,1,19.0,1.0,19000.0,1001264
8688,2,4903,28,5.0,,,1,1,2,18.0,6.0,0.0,1001264
8688,3,4903,4,,,,5,2,1,2.0,,,1001264
8688,4,4903,2,,,,5,2,2,,,,1001264
8752,1,4613,33,1.0,5.0,1.0,1,0,1,21.0,1.0,80000.0,1001264
8752,2,4613,28,1.0,,,1,1,2,21.0,6.0,0.0,1001264
8752,3,4613,3,,,,5,2,1,2.0,,,1001264
8766,1,4502,73,,,,2,0,2,19.0,6.0,21000.0,1001264
8925,1,5000,23,1.0,15.0,1.0,5,0,2,19.0,1.0,20000.0,1001264
8925,2,5000,22,1.0,40.0,1.0,5,13,1,16.0,1.0,20000.0,1001264
8926,1,4802,56,1.0,35.0,1.0,1,0,1,21.0,1.0,60000.0,1001264
8926,2,4802,54,3.0,5.0,1.0,1,1,2,21.0,1.0,30000.0,1001264
8926,3,4802,33,2.0,10.0,1.0,5,2,2,22.0,1.0,40000.0,1001264
8948,1,4803,56,1.0,25.0,1.0,3,0,2,19.0,1.0,65000.0,1001264
8948,2,4803,22,1.0,15.0,1.0,5,2,1,20.0,1.0,12100.0,1001264
8968,1,4613,58,1.0,5.0,1.0,5,0,1,18.0,1.0,10400.0,1001264
9050,1,4617,62,,,,2,0,1,22.0,6.0,50.0,1001264
9050,2,4617,29,1.0,20.0,1.0,1,2,2,21.0,1.0,115400.0,1001264
9050,3,4617,35,1.0,45.0,1.0,1,9,1,21.0,1.0,156500.0,1001264
9064,1,4502,46,7.0,20.0,1.0,1,0,1,16.0,1.0,70000.0,1001264
9064,2,4502,47,1.0,30.0,1.0,1,1,2,21.0,1.0,53000.0,1001264
9064,3,4502,16,,,,5,2,2,13.0,6.0,0.0,1001264
9064,4,4502,66,2.0,40.0,1.0,3,8,2,19.0,1.0,30050.0,1001264
9064,5,4502,17,,,,1,9,2,14.0,6.0,0.0,1001264
9180,1,4502,67,8.0,,,2,0,2,20.0,6.0,3400.0,1001264
9186,1,4636,60,6.0,20.0,1.0,1,0,1,21.0,1.0,542000.0,1001264
9186,2,4636,57,6.0,,11.0,1,1,2,18.0,1.0,1400.0,1001264
9232,1,4623,30,1.0,30.0,12.0,1,0,1,19.0,1.0,32000.0,1001264
9232,2,4623,26,1.0,,,1,1,2,19.0,6.0,4200.0,1001264
9232,3,4623,5,,,,5,2,2,2.0,,,1001264
9380,1,4638,53,1.0,60.0,1.0,1,0,1,17.0,1.0,25200.0,1001264
9380,2,4638,55,,,,1,1,2,17.0,6.0,0.0,1001264
9380,3,4638,23,,,,5,2,2,16.0,6.0,8800.0,1001264
9401,1,4631,30,3.0,45.0,1.0,5,0,1,20.0,1.0,42000.0,1001264
9401,2,4631,26,3.0,10.0,1.0,3,13,2,19.0,1.0,45000.0,1001264
9481,1,4504,50,1.0,60.0,1.0,1,0,1,21.0,1.0,180100.0,1001264
9481,2,4504,48,1.0,30.0,1.0,1,1,2,20.0,1.0,60100.0,1001264
9481,3,4504,22,1.0,15.0,1.0,5,2,2,21.0,1.0,8000.0,1001264
9528,1,5000,62,1.0,,11.0,3,0,1,19.0,1.0,154000.0,1001264
9528,2,5000,16,,,,5,2,1,13.0,6.0,0.0,1001264
9528,3,5000,64,1.0,20.0,1.0,3,15,2,16.0,1.0,14600.0,1001264
9730,1,4618,23,1.0,,,5,0,2,15.0,6.0,2000.0,1001264
9730,2,4618,1,,,,5,2,1,,,,1001264
9730,3,4618,37,1.0,20.0,1.0,1,10,1,8.0,1.0,47000.0,1001264
9822,1,4901,57,4.0,10.0,1.0,5,0,2,21.0,1.0,56800.0,1001264
9835,1,4631,65,4.0,,,1,0,2,22.0,3.0,61410.0,1001264
9835,2,4631,67,1.0,60.0,1.0,1,1,1,21.0,1.0,136200.0,1001264
9865,1,4601,85,,,,1,0,1,16.0,6.0,10000.0,1001264
9865,2,4601,87,,,,1,1,2,15.0,6.0,7800.0,1001264
9865,3,4601,60,1.0,25.0,1.0,3,2,1,21.0,1.0,78000.0,1001264
9921,1,4604,63,7.0,,11.0,1,0,2,22.0,1.0,99000.0,1001264
9921,2,4604,64,1.0,40.0,1.0,1,1,1,22.0,1.0,140100.0,1001264
10028,1,4629,61,1.0,10.0,1.0,3,0,2,18.0,1.0,11500.0,1001264
10028,2,4629,84,,,,2,6,2,21.0,6.0,8800.0,1001264
10133,1,4621,46,4.0,10.0,1.0,3,0,2,14.0,1.0,23000.0,1001264
10133,2,4621,12,,,,5,2,1,8.0,,,1001264
10158,1,5000,40,2.0,15.0,1.0,1,0,2,21.0,1.0,47900.0,1001264
10158,2,5000,48,1.0,50.0,1.0,1,1,1,14.0,1.0,104000.0,1001264
10158,3,5000,13,,,,5,2,1,9.0,,,1001264
10159,1,4638,43,1.0,30.0,1.0,3,0,2,16.0,1.0,38200.0,1001264
10159,2,4638,17,,,,5,2,2,14.0,6.0,0.0,1001264
10159,3,4638,12,,,,5,5,1,9.0,,,1001264
10173,1,4702,42,1.0,5.0,1.0,1,0,1,18.0,1.0,95000.0,1001264
10173,2,4702,34,,,,1,1,2,19.0,6.0,5100.0,1001264
10173,3,4702,9,,,,5,2,1,7.0,,,1001264
10173,4,4702,7,,,,5,2,2,4.0,,,1001264
10173,5,4702,12,,,,5,4,2,9.0,,,1001264
10195,1,4628,80,3.0,,,2,0,2,22.0,6.0,24500.0,1001264
