SERIALNO,PUMA,NP,VEH,HHT,HINCP,HUPAC,WIF
167857,4625,3,4.0,1.0,46000.0,1.0,2.0
167860,4632,5,1.0,1.0,75000.0,3.0,2.0
168002,4624,2,3.0,1.0,280300.0,4.0,2.0
168099,4636,4,2.0,3.0,119000.0,2.0,2.0
168118,5000,2,2.0,3.0,52200.0,4.0,1.0
168185,4618,1,,,,,
168282,5000,1,,,,,
168287,4630,4,2.0,1.0,48200.0,4.0,1.0
168332,4635,2,2.0,1.0,129300.0,4.0,2.0
168363,4611,2,1.0,5.0,41000.0,4.0,
168505,4603,1,,,,,
168529,4636,1,1.0,6.0,12900.0,4.0,
168571,4605,0,,,,,
168580,4803,4,1.0,1.0,174500.0,3.0,2.0
168725,5000,0,,,,,
168739,4631,2,0.0,1.0,154900.0,4.0,2.0
168754,4701,4,3.0,1.0,95000.0,1.0,2.0
168906,4601,1,1.0,6.0,100000.0,4.0,
168908,4502,2,1.0,1.0,37200.0,4.0,0.0
168942,4614,2,1.0,3.0,7200.0,1.0,1.0
168980,4601,0,,,,,
168992,4621,3,3.0,1.0,649000.0,4.0,3.0
169098,4400,8,3.0,1.0,68500.0,3.0,1.0
169145,4615,2,0.0,1.0,10200.0,4.0,0.0
169214,4605,4,3.0,3.0,43600.0,2.0,3.0
169293,4904,5,2.0,1.0,116400.0,2.0,2.0
169330,4701,0,,,,,
169350,4616,3,2.0,2.0,62000.0,1.0,1.0
169358,4617,2,3.0,1.0,44800.0,4.0,0.0
169378,4624,5,3.0,1.0,160200.0,2.0,3.0
169383,4613,2,2.0,3.0,100200.0,4.0,1.0
169396,4622,4,2.0,1.0,50000.0,3.0,2.0
169533,4602,0,,,,,
169709,4604,1,,,,,
169736,4628,4,2.0,1.0,55700.0,3.0,2.0
169949,4624,1,1.0,4.0,115000.0,4.0,
169968,4604,2,2.0,7.0,585000.0,4.0,
169997,4611,2,2.0,5.0,38500.0,4.0,
170081,4803,6,3.0,1.0,67200.0,1.0,1.0
170097,4608,1,2.0,4.0,20000.0,4.0,
170213,4904,4,1.0,3.0,33000.0,2.0,1.0
170309,4628,3,1.0,1.0,48000.0,2.0,2.0
170344,4905,4,4.0,1.0,46000.0,2.0,3.0
170375,4621,1,1.0,4.0,110000.0,4.0,
170615,4501,2,2.0,3.0,27000.0,2.0,1.0
170682,4630,5,3.0,1.0,171000.0,2.0,2.0
170805,4625,2,2.0,1.0,131000.0,4.0,2.0
170848,4611,2,2.0,5.0,79000.0,4.0,
170929,4617,4,2.0,1.0,56000.0,2.0,1.0
170944,5000,5,2.0,3.0,59100.0,3.0,1.0
170946,4602,1,2.0,4.0,60000.0,4.0,
170948,4701,2,2.0,1.0,325000.0,4.0,0.0
171009,4618,3,2.0,1.0,61800.0,4.0,3.0
171029,4626,3,2.0,3.0,36400.0,4.0,2.0
171064,4637,2,2.0,1.0,210000.0,4.0,2.0
171071,4636,2,1.0,3.0,33300.0,1.0,1.0
171223,4610,2,0.0,1.0,12000.0,4.0,0.0
171248,4602,3,1.0,2.0,52450.0,4.0,1.0
171322,4503,3,3.0,1.0,170400.0,1.0,2.0
171342,4616,2,4.0,3.0,255000.0,4.0,2.0
171401,4502,1,2.0,4.0,114900.0,4.0,
171425,4606,1,1.0,6.0,4600.0,4.0,
171439,4627,2,2.0,1.0,55600.0,4.0,1.0
171450,4803,4,3.0,1.0,76800.0,2.0,1.0
171550,4625,3,3.0,1.0,90000.0,1.0,2.0
171646,4607,5,1.0,3.0,26400.0,1.0,0.0
171731,4613,2,1.0,7.0,32000.0,4.0,
171736,4902,2,3.0,1.0,171000.0,4.0,2.0
171800,4601,4,2.0,1.0,37700.0,2.0,2.0
171815,4606,1,0.0,6.0,12200.0,4.0,
171914,4611,3,2.0,1.0,120000.0,4.0,2.0
172213,4616,1,1.0,4.0,45000.0,4.0,
172237,4603,1,,,,,
172255,4609,4,2.0,1.0,15600.0,2.0,0.0
172257,4633,7,2.0,1.0,45900.0,3.0,2.0
172334,4632,5,2.0,1.0,93500.0,3.0,2.0
172337,4607,2,0.0,3.0,14400.0,2.0,0.0
172403,4626,2,1.0,3.0,6000.0,4.0,0.0
172429,4621,3,2.0,1.0,394000.0,4.0,0.0
172471,4633,2,2.0,2.0,139800.0,4.0,2.0
172602,4631,2,2.0,1.0,66720.0,4.0,0.0
172656,4627,2,2.0,1.0,208000.0,4.0,2.0
172732,4619,2,3.0,5.0,71200.0,4.0,
172747,4902,3,2.0,1.0,20000.0,1.0,1.0
172992,4904,3,2.0,1.0,60000.0,2.0,3.0
173231,4902,5,1.0,1.0,45000.0,2.0,1.0
173372,4632,4,2.0,1.0,110180.0,2.0,3.0
173510,4802,4,2.0,1.0,67500.0,2.0,2.0
173605,4604,1,1.0,6.0,37600.0,4.0,
173788,4636,2,2.0,1.0,593600.0,4.0,1.0
173911,4801,2,1.0,3.0,54400.0,2.0,1.0
173931,4607,6,2.0,3.0,7000.0,3.0,0.0
173943,4635,2,3.0,1.0,661500.0,4.0,1.0
173978,4702,4,2.0,1.0,132000.0,2.0,2.0
174016,4618,3,3.0,1.0,63000.0,4.0,2.0
174147,4617,3,2.0,3.0,22200.0,4.0,1.0
174248,4623,1,2.0,4.0,16000.0,4.0,
174275,4605,2,2.0,2.0,49000.0,4.0,2.0
174346,4904,1,1.0,6.0,13000.0,4.0,
174436,4616,2,2.0,7.0,49800.0,4.0,
174507,4502,2,2.0,1.0,88200.0,4.0,0.0
174511,5000,0,,,,,
174524,4624,0,,,,,
174606,4609,1,1.0,6.0,60000.0,4.0,
174712,4620,3,2.0,1.0,50120.0,2.0,2.0
174761,4604,1,1.0,6.0,83850.0,4.0,
174778,4615,0,,,,,
174826,4613,4,4.0,1.0,148000.0,2.0,2.0
174853,4638,2,1.0,1.0,42700.0,4.0,0.0
174910,4621,3,3.0,1.0,143600.0,1.0,1.0
174922,4605,2,1.0,7.0,53100.0,4.0,
174941,4606,3,1.0,3.0,33800.0,1.0,1.0
175092,4400,2,1.0,1.0,26900.0,4.0,0.0
175375,4801,2,3.0,7.0,486000.0,4.0,
175388,4613,1,1.0,4.0,130000.0,4.0,
175511,4501,4,4.0,1.0,121750.0,4.0,3.0
175527,4606,1,2.0,6.0,30000.0,4.0,
175629,4620,3,3.0,1.0,93000.0,1.0,2.0
175667,4630,5,2.0,1.0,205000.0,3.0,2.0
175668,4607,1,0.0,6.0,14800.0,4.0,
175745,4606,0,,,,,
176181,4501,0,,,,,
176189,4613,2,2.0,1.0,451000.0,4.0,1.0
176275,4801,3,2.0,1.0,73000.0,2.0,2.0
176347,4905,3,3.0,2.0,44351.0,4.0,1.0
176448,4614,2,2.0,7.0,91000.0,4.0,
176666,4605,5,3.0,1.0,90000.0,4.0,2.0
176668,4621,1,,,,,
176790,4902,0,,,,,
176796,4501,8,4.0,1.0,47100.0,1.0,3.0
176864,5000,2,2.0,1.0,105600.0,4.0,2.0
176953,4621,1,3.0,4.0,70000.0,4.0,
177019,4901,3,2.0,1.0,212000.0,2.0,2.0
177027,4904,4,3.0,1.0,210600.0,4.0,2.0
177075,4701,0,,,,,
177081,4623,4,3.0,3.0,39000.0,3.0,0.0
177164,4633,5,1.0,1.0,39950.0,3.0,2.0
177320,4630,4,3.0,1.0,200000.0,2.0,1.0
177347,4626,4,2.0,3.0,20000.0,2.0,1.0
177359,4603,1,,,,,
177373,4609,1,0.0,4.0,2100.0,4.0,
177382,4602,3,1.0,3.0,22000.0,3.0,1.0
177390,4902,2,2.0,1.0,28600.0,4.0,0.0
177441,4606,3,3.0,5.0,144200.0,4.0,
177455,4618,2,0.0,1.0,104900.0,4.0,0.0
177586,4801,6,4.0,1.0,132230.0,2.0,3.0
177669,4627,1,1.0,6.0,31600.0,4.0,
177752,4637,4,2.0,1.0,90000.0,3.0,2.0
177878,4803,2,6.0,1.0,66600.0,4.0,2.0
177882,4605,7,2.0,1.0,85200.0,3.0,3.0
177955,4612,1,2.0,4.0,38000.0,4.0,
178199,4602,4,2.0,1.0,87400.0,4.0,2.0
178240,5000,2,1.0,1.0,31000.0,4.0,1.0
178281,4902,3,2.0,1.0,72000.0,2.0,2.0
178282,4616,1,,,,,
178373,4608,7,2.0,1.0,37600.0,3.0,1.0
178693,4604,3,3.0,3.0,140900.0,4.0,1.0
178735,4628,4,2.0,1.0,45000.0,2.0,2.0
178840,4400,1,,,,,
179023,4601,1,1.0,4.0,20.0,4.0,
179049,4634,4,3.0,1.0,180000.0,2.0,3.0
179198,4603,2,1.0,3.0,16600.0,2.0,1.0
179277,4612,2,1.0,1.0,36700.0,4.0,2.0
179512,4612,1,,,,,
179545,4607,2,2.0,7.0,13400.0,4.0,
179567,4629,2,1.0,3.0,9700.0,2.0,1.0
179599,4626,3,2.0,1.0,28000.0,1.0,1.0
179909,4619,2,3.0,1.0,14000.0,4.0,1.0
179941,4602,2,1.0,5.0,141060.0,4.0,
179950,4613,4,2.0,1.0,462000.0,1.0,2.0
180117,4637,4,2.0,1.0,250000.0,3.0,1.0
180146,4637,0,,,,,
180281,4905,2,2.0,1.0,70000.0,4.0,2.0
180318,4605,5,2.0,1.0,31000.0,3.0,1.0
180350,5000,1,1.0,4.0,17000.0,4.0,
180461,4902,4,3.0,1.0,49000.0,2.0,3.0
180500,4636,8,3.0,3.0,66000.0,2.0,3.0
180516,4627,0,,,,,
180778,4614,2,4.0,1.0,365000.0,4.0,2.0
180848,4630,2,2.0,1.0,175000.0,4.0,2.0
180852,4604,1,,,,,
180936,4701,1,1.0,4.0,65000.0,4.0,
181169,4630,4,1.0,1.0,81200.0,2.0,2.0
181203,4905,1,1.0,6.0,28600.0,4.0,
181253,4610,4,2.0,1.0,51400.0,4.0,2.0
181259,4636,2,1.0,3.0,8000.0,2.0,1.0
181369,4620,5,2.0,1.0,70000.0,3.0,1.0
181498,4903,7,5.0,3.0,15000.0,2.0,2.0
181539,4603,1,,,,,
181600,4601,2,2.0,7.0,180000.0,4.0,
181611,4803,3,2.0,3.0,16100.0,1.0,2.0
181688,4802,3,4.0,1.0,193000.0,4.0,3.0
181747,4624,2,3.0,1.0,80000.0,4.0,2.0
181791,4502,5,1.0,1.0,102000.0,2.0,1.0
181797,4636,1,1.0,6.0,52000.0,4.0,
181848,4630,1,1.0,6.0,52000.0,4.0,
181954,4504,1,1.0,6.0,19300.0,4.0,
181982,5000,1,2.0,4.0,50000.0,4.0,
182045,4905,4,2.0,1.0,218000.0,3.0,2.0
182051,4629,1,1.0,4.0,60000.0,4.0,
182178,4501,5,3.0,1.0,47910.0,2.0,3.0
182279,4628,1,1.0,4.0,39000.0,4.0,
182326,4702,4,3.0,3.0,120300.0,2.0,1.0
182408,4609,1,1.0,4.0,246000.0,4.0,
182437,4610,6,1.0,2.0,2500.0,3.0,0.0
182540,4607,2,2.0,1.0,16900.0,4.0,2.0
182629,4603,0,,,,,
182647,4605,2,2.0,2.0,28200.0,4.0,2.0
182655,4501,6,1.0,2.0,18450.0,3.0,1.0
182820,4612,2,2.0,5.0,177000.0,4.0,
182927,4633,2,2.0,7.0,116000.0,4.0,
182935,4614,5,3.0,1.0,178000.0,4.0,2.0
183053,4608,0,,,,,
183072,4638,2,3.0,1.0,166560.0,4.0,2.0
183097,4619,5,4.0,1.0,167000.0,2.0,3.0
183214,4905,4,2.0,1.0,451000.0,3.0,1.0
183265,4614,3,1.0,1.0,25000.0,4.0,0.0
183298,4606,6,3.0,1.0,70000.0,3.0,1.0
183481,4636,1,1.0,6.0,70900.0,4.0,
183488,4605,5,2.0,1.0,27000.0,3.0,2.0
183548,4802,1,2.0,6.0,24000.0,4.0,
183565,4632,4,4.0,1.0,118000.0,2.0,1.0
183593,4603,1,,,,,
183601,4633,1,,,,,
183611,4623,4,2.0,1.0,39000.0,2.0,1.0
183660,4501,4,5.0,1.0,221700.0,4.0,3.0
183661,4802,4,2.0,2.0,60000.0,3.0,1.0
183691,4614,3,2.0,3.0,31400.0,4.0,3.0
183703,4502,2,1.0,1.0,31000.0,4.0,2.0
183761,4613,2,0.0,3.0,9360.0,4.0,2.0
183849,4601,0,,,,,
183876,4626,2,2.0,3.0,132500.0,4.0,1.0
183915,4606,0,,,,,
183927,4501,0,,,,,
184021,4629,2,4.0,1.0,170000.0,4.0,1.0
184061,4903,5,2.0,1.0,71000.0,2.0,2.0
184188,4611,1,1.0,4.0,75000.0,4.0,
184207,4607,2,0.0,3.0,19200.0,2.0,0.0
184317,4624,1,1.0,6.0,24000.0,4.0,
184328,4606,0,,,,,
184501,4501,3,2.0,1.0,83000.0,4.0,2.0
184623,4628,4,2.0,1.0,100000.0,2.0,1.0
184629,4901,1,1.0,4.0,36000.0,4.0,
184680,4620,3,2.0,2.0,95000.0,4.0,2.0
184755,4638,2,2.0,7.0,125000.0,4.0,
185241,4631,1,1.0,4.0,42200.0,4.0,
185247,4501,2,2.0,5.0,98500.0,4.0,
185295,4614,1,1.0,4.0,51000.0,4.0,
185305,4502,1,,,,,
185413,4901,1,1.0,6.0,20800.0,4.0,
185471,4626,2,1.0,7.0,8000.0,4.0,
185556,4628,4,2.0,7.0,130000.0,2.0,
185654,4632,2,3.0,1.0,25000.0,4.0,1.0
185680,4632,2,2.0,3.0,53000.0,4.0,1.0
185946,4631,6,2.0,1.0,135600.0,3.0,2.0
186099,4603,1,1.0,4.0,80000.0,4.0,
186106,4702,6,2.0,1.0,22000.0,2.0,2.0
186224,4905,1,1.0,6.0,38700.0,4.0,
186250,4622,1,0.0,6.0,35400.0,4.0,
186362,4903,0,,,,,
186396,4632,4,3.0,1.0,105000.0,3.0,2.0
186419,4637,2,2.0,1.0,390000.0,4.0,2.0
186422,4623,4,3.0,1.0,121600.0,4.0,2.0
186443,4801,4,2.0,1.0,169000.0,1.0,2.0
186465,4612,1,3.0,4.0,100000.0,4.0,
186563,4607,0,,,,,
186699,4620,2,2.0,2.0,167000.0,2.0,2.0
186721,4503,3,3.0,1.0,460300.0,4.0,3.0
186847,4637,4,3.0,3.0,23700.0,1.0,2.0
186962,4616,4,1.0,3.0,70000.0,2.0,1.0
187002,4504,2,3.0,1.0,80000.0,4.0,2.0
187042,4903,2,2.0,1.0,60000.0,4.0,2.0
187050,4400,1,2.0,4.0,13500.0,4.0,
187221,4905,8,4.0,1.0,21000.0,3.0,1.0
187307,4625,1,1.0,6.0,49000.0,4.0,
187325,4609,3,1.0,1.0,59500.0,4.0,1.0
187357,4636,2,2.0,1.0,285500.0,4.0,2.0
187439,4603,2,3.0,1.0,80000.0,4.0,1.0
187512,4502,3,2.0,1.0,48900.0,4.0,3.0
187530,4902,4,2.0,3.0,149200.0,2.0,1.0
187549,4612,2,2.0,1.0,40000.0,4.0,1.0
187629,4626,3,1.0,1.0,40900.0,4.0,0.0
187631,4630,2,3.0,1.0,98000.0,4.0,0.0
187679,4610,6,3.0,1.0,30000.0,2.0,1.0
187729,4629,3,2.0,1.0,537000.0,2.0,2.0
187757,4603,1,1.0,4.0,5000.0,4.0,
187805,4624,6,2.0,1.0,40000.0,3.0,1.0
187855,4627,4,1.0,3.0,10000.0,3.0,1.0
187895,4502,3,4.0,1.0,228600.0,4.0,2.0
187931,5000,2,2.0,1.0,73100.0,4.0,0.0
187967,4607,6,2.0,2.0,17000.0,3.0,1.0
187972,4400,1,1.0,6.0,40100.0,4.0,
188005,4611,4,3.0,1.0,65500.0,2.0,3.0
188084,4603,0,,,,,
188092,4626,2,1.0,1.0,27000.0,4.0,2.0
188101,4635,2,1.0,3.0,45400.0,4.0,1.0
188142,4613,3,2.0,1.0,581000.0,2.0,2.0
188184,4901,2,2.0,1.0,258900.0,4.0,2.0
188422,4802,4,4.0,1.0,107170.0,2.0,3.0
188427,4503,1,1.0,4.0,53000.0,4.0,
188551,4634,4,2.0,2.0,40600.0,3.0,2.0
188556,4601,2,2.0,1.0,287500.0,4.0,2.0
188861,4622,4,4.0,1.0,143000.0,4.0,3.0
188876,5000,1,,,,,
188895,4613,0,,,,,
188914,4617,7,2.0,2.0,87500.0,3.0,2.0
188924,5000,1,,,,,
188962,4613,2,2.0,1.0,85800.0,4.0,0.0
188999,4622,5,4.0,1.0,54800.0,1.0,3.0
189136,4623,1,,,,,
189335,4901,2,2.0,1.0,150000.0,4.0,1.0
189351,4614,4,2.0,1.0,38000.0,3.0,2.0
189412,4624,3,3.0,1.0,75920.0,4.0,2.0
189526,4637,3,4.0,1.0,210000.0,4.0,2.0
189532,5000,0,,,,,
189565,4624,3,2.0,3.0,71400.0,2.0,2.0
189579,4802,1,,,,,
189633,4610,3,2.0,1.0,27300.0,4.0,1.0
189831,5000,2,2.0,1.0,57200.0,4.0,0.0
189845,4605,4,2.0,2.0,40000.0,1.0,1.0
189863,4400,1,,,,,
189897,4903,2,2.0,1.0,177800.0,4.0,0.0
189959,4637,5,1.0,1.0,57200.0,2.0,2.0
190138,4629,2,2.0,1.0,108100.0,4.0,1.0
190173,4623,2,2.0,1.0,551000.0,4.0,2.0
190245,4627,5,2.0,1.0,25000.0,3.0,1.0
190348,4616,2,3.0,5.0,190000.0,4.0,
190399,4602,2,2.0,2.0,93000.0,4.0,2.0
190548,4902,3,2.0,3.0,34800.0,2.0,1.0
190594,4605,1,1.0,4.0,30000.0,4.0,
190605,4633,2,1.0,3.0,120000.0,4.0,1.0
190607,4628,0,,,,,
190812,4502,2,1.0,1.0,10000.0,4.0,0.0
190897,4609,2,0.0,3.0,4000.0,4.0,1.0
190927,4608,4,4.0,1.0,58300.0,4.0,2.0
191152,4607,3,3.0,3.0,70500.0,4.0,1.0
191270,5000,2,2.0,1.0,43750.0,4.0,0.0
191330,4614,1,1.0,4.0,10420.0,4.0,
191339,4613,2,2.0,1.0,188000.0,4.0,2.0
191388,4902,1,4.0,4.0,110000.0,4.0,
191666,4902,3,2.0,1.0,219800.0,4.0,2.0
191693,4620,4,3.0,1.0,145000.0,3.0,1.0
191849,4632,1,1.0,4.0,17100.0,4.0,
191862,4802,2,2.0,2.0,106000.0,4.0,2.0
191936,4617,7,3.0,1.0,165100.0,3.0,3.0
192069,4616,2,2.0,1.0,26000.0,4.0,0.0
192204,4702,3,2.0,1.0,332000.0,2.0,2.0
192236,4602,2,2.0,1.0,25000.0,4.0,2.0
192272,4606,5,3.0,3.0,46200.0,2.0,1.0
192306,4803,5,2.0,1.0,23000.0,3.0,1.0
192329,4603,1,,,,,
192388,4803,1,,,,,
192389,4610,3,2.0,1.0,54000.0,4.0,2.0
192518,4603,2,2.0,1.0,122000.0,4.0,2.0
192553,4602,1,,,,,
192571,5000,1,1.0,6.0,2000.0,4.0,
192716,4601,2,2.0,1.0,140000.0,4.0,2.0
192734,4621,3,6.0,1.0,228050.0,4.0,3.0
192749,4619,5,3.0,3.0,43000.0,3.0,1.0
192781,4607,1,1.0,4.0,26000.0,4.0,
192786,5000,1,1.0,6.0,18000.0,4.0,
193114,4701,1,1.0,6.0,67400.0,4.0,
193127,4612,5,3.0,1.0,68500.0,2.0,3.0
193214,4610,2,2.0,1.0,86800.0,4.0,2.0
193254,4502,2,3.0,1.0,461000.0,4.0,1.0
193378,4502,1,0.0,6.0,38000.0,4.0,
193469,4635,3,2.0,1.0,42000.0,2.0,2.0
193517,4633,3,2.0,3.0,66200.0,4.0,1.0
193521,4802,3,2.0,1.0,76400.0,4.0,2.0
193630,4631,3,2.0,1.0,516000.0,1.0,2.0
193707,4624,3,3.0,1.0,155000.0,2.0,2.0
193717,4631,2,2.0,1.0,62004.0,4.0,2.0
193727,4801,0,,,,,
193765,4605,1,0.0,6.0,0.0,4.0,
193866,5000,1,1.0,4.0,30000.0,4.0,
194033,4636,3,2.0,1.0,451600.0,2.0,1.0
194133,4635,3,3.0,1.0,90600.0,4.0,2.0
194197,5000,3,1.0,1.0,20500.0,1.0,2.0
194266,5000,1,,,,,
194386,4628,3,1.0,1.0,234800.0,4.0,1.0
194789,4904,5,3.0,1.0,19400.0,2.0,2.0
194809,4629,1,1.0,6.0,23000.0,4.0,
194922,4606,1,1.0,6.0,0.0,4.0,
194924,4903,2,3.0,1.0,359200.0,4.0,1.0
194933,4701,2,2.0,1.0,152100.0,4.0,2.0
195179,4622,1,0.0,4.0,16900.0,4.0,
195290,4614,2,1.0,2.0,38100.0,4.0,0.0
195323,4610,5,1.0,1.0,23000.0,3.0,1.0
195362,4631,3,3.0,1.0,122900.0,4.0,2.0
195457,4607,1,1.0,6.0,30000.0,4.0,
195662,4702,4,2.0,1.0,126000.0,3.0,2.0
195753,4702,6,2.0,1.0,96000.0,2.0,3.0
195794,4618,1,1.0,6.0,9000.0,4.0,
195889,4603,1,,,,,
195935,4627,2,2.0,1.0,96500.0,4.0,2.0
196076,4701,2,2.0,7.0,48900.0,4.0,
196106,4904,3,3.0,1.0,211000.0,4.0,2.0
196410,4701,3,1.0,3.0,39200.0,4.0,1.0
196417,4628,1,0.0,6.0,21300.0,4.0,
196532,4603,0,,,,,
196553,4608,3,1.0,3.0,8800.0,2.0,0.0
196602,4603,1,1.0,6.0,9600.0,4.0,
196610,4624,2,1.0,1.0,55400.0,4.0,0.0
196790,4627,1,1.0,6.0,118000.0,4.0,
196812,4902,1,1.0,4.0,105150.0,4.0,
196920,4635,1,1.0,6.0,66500.0,4.0,
196969,4902,2,2.0,1.0,43000.0,4.0,2.0
196994,4616,2,1.0,3.0,26900.0,2.0,1.0
197265,4701,3,1.0,3.0,27000.0,3.0,1.0
197353,4602,3,2.0,1.0,26000.0,2.0,1.0
197469,4602,1,1.0,6.0,97700.0,4.0,
197652,4618,1,1.0,4.0,82000.0,4.0,
197659,5000,2,2.0,1.0,123400.0,4.0,2.0
197673,4803,1,,,,,
197773,4615,4,2.0,1.0,160000.0,2.0,2.0
197902,4603,2,0.0,3.0,18000.0,4.0,1.0
197912,4604,6,3.0,1.0,52000.0,2.0,3.0
197925,4701,3,1.0,3.0,9400.0,1.0,1.0
197975,4902,3,2.0,1.0,42000.0,1.0,2.0
198004,4629,2,2.0,1.0,261000.0,4.0,1.0
198080,4616,4,2.0,3.0,85000.0,1.0,2.0
198124,4620,5,1.0,1.0,30000.0,3.0,1.0
198144,4622,2,2.0,1.0,9400.0,4.0,1.0
198203,4905,4,4.0,1.0,47400.0,2.0,3.0
198207,5000,2,3.0,1.0,451000.0,4.0,1.0
198241,4904,2,2.0,1.0,48000.0,4.0,0.0
198245,4400,2,2.0,1.0,194900.0,4.0,2.0
198272,4905,2,2.0,1.0,40000.0,4.0,0.0
198278,4602,4,1.0,1.0,20000.0,3.0,1.0
198338,4609,1,0.0,6.0,42000.0,4.0,
198380,4619,1,1.0,6.0,62000.0,4.0,
198388,4629,2,1.0,1.0,145500.0,4.0,2.0
198414,4400,2,2.0,1.0,64100.0,4.0,1.0
198542,4612,2,3.0,5.0,266000.0,4.0,
198629,4632,1,1.0,6.0,38560.0,4.0,
198665,4612,2,2.0,1.0,240000.0,4.0,1.0
198726,4637,1,1.0,4.0,40000.0,4.0,
198763,4638,1,2.0,6.0,13000.0,4.0,
198808,4504,3,1.0,1.0,37450.0,4.0,0.0
198859,4611,2,2.0,1.0,70700.0,4.0,2.0
198864,4634,1,1.0,6.0,16000.0,4.0,
198983,4606,2,0.0,1.0,13600.0,4.0,0.0
199025,4621,2,3.0,1.0,155970.0,4.0,0.0
199027,4803,5,5.0,1.0,151908.0,2.0,1.0
199048,4501,3,2.0,3.0,18450.0,4.0,2.0
199054,4605,1,0.0,6.0,14400.0,4.0,
199142,4601,1,1.0,4.0,7800.0,4.0,
199172,4618,1,2.0,4.0,20404.0,4.0,
199196,4701,1,,,,,
199329,4801,2,3.0,1.0,134000.0,4.0,2.0
199457,4615,2,2.0,5.0,44000.0,4.0,
199520,4400,1,,,,,
199522,4607,4,3.0,1.0,68400.0,1.0,3.0
199540,4603,4,2.0,1.0,150000.0,3.0,2.0
199695,4603,1,1.0,6.0,8000.0,4.0,
199725,4613,1,1.0,4.0,25000.0,4.0,
199750,4637,2,1.0,3.0,12000.0,2.0,1.0
199757,4609,3,2.0,2.0,58400.0,4.0,1.0
199776,4633,4,3.0,3.0,89400.0,4.0,2.0
199781,4603,4,3.0,1.0,169020.0,2.0,3.0
199839,4903,1,,,,,
199867,4636,1,1.0,4.0,200000.0,4.0,
199889,4631,3,2.0,3.0,49900.0,4.0,1.0
199983,4905,2,3.0,1.0,111100.0,4.0,2.0
200121,4606,1,1.0,6.0,35000.0,4.0,
200151,4632,1,1.0,4.0,60000.0,4.0,
200165,4400,2,2.0,1.0,107000.0,4.0,2.0
200172,4606,2,1.0,3.0,38900.0,4.0,1.0
200174,4901,3,3.0,1.0,44400.0,4.0,1.0
200262,4701,1,1.0,6.0,11200.0,4.0,
200314,4502,2,2.0,2.0,129000.0,4.0,2.0
200359,4802,1,0.0,4.0,11500.0,4.0,
200425,4400,2,2.0,1.0,63800.0,4.0,0.0
200432,4502,1,0.0,6.0,29700.0,4.0,
200505,4504,2,3.0,1.0,154000.0,4.0,2.0
200688,4615,1,1.0,4.0,327000.0,4.0,
200721,4631,5,3.0,1.0,165000.0,2.0,2.0
200775,4604,5,2.0,1.0,401500.0,2.0,2.0
200785,4616,0,,,,,
200973,4622,2,2.0,1.0,18650.0,4.0,0.0
201060,4611,2,1.0,7.0,18800.0,4.0,
201079,4627,4,3.0,3.0,62300.0,1.0,3.0
201139,4636,3,1.0,1.0,47000.0,2.0,1.0
201244,4400,3,2.0,2.0,117000.0,2.0,1.0
201305,4502,2,2.0,1.0,139300.0,4.0,2.0
201444,4905,4,2.0,1.0,120000.0,3.0,1.0
201458,4622,2,2.0,2.0,113000.0,4.0,2.0
201587,4611,1,1.0,6.0,66300.0,4.0,
201763,4632,3,0.0,1.0,70000.0,2.0,2.0
201928,4702,6,2.0,1.0,125000.0,3.0,2.0
201969,4802,1,0.0,6.0,23000.0,4.0,
202007,4605,2,2.0,1.0,53000.0,4.0,1.0
202020,4502,2,1.0,1.0,240000.0,4.0,2.0
202040,4501,3,2.0,2.0,42700.0,1.0,1.0
202120,4630,5,2.0,1.0,140200.0,3.0,1.0
202124,4610,2,2.0,1.0,100000.0,4.0,1.0
202132,4620,4,3.0,1.0,137000.0,2.0,2.0
202174,4701,2,2.0,1.0,40000.0,4.0,1.0
202274,5000,1,1.0,6.0,50000.0,4.0,
202355,4628,3,1.0,1.0,22200.0,2.0,2.0
202371,4902,1,1.0,4.0,49800.0,4.0,
202395,4603,1,,,,,
202426,4801,4,2.0,1.0,97500.0,1.0,2.0
202473,4602,3,0.0,1.0,17000.0,2.0,0.0
202493,4627,1,1.0,4.0,37300.0,4.0,
202512,4604,2,2.0,1.0,3600.0,4.0,1.0
202520,4610,2,3.0,3.0,95300.0,4.0,1.0
202626,4614,7,2.0,1.0,114200.0,3.0,3.0
202651,4623,1,2.0,4.0,10000.0,4.0,
202663,4803,5,1.0,3.0,0.0,3.0,0.0
202714,4610,3,2.0,1.0,83000.0,2.0,2.0
202821,4619,0,,,,,
202905,4622,4,3.0,1.0,52000.0,2.0,2.0
202910,4638,4,2.0,3.0,66600.0,2.0,2.0
202929,4634,6,3.0,1.0,58000.0,3.0,1.0
202992,4625,1,1.0,6.0,35000.0,4.0,
203125,4602,1,,,,,
203177,4901,2,2.0,1.0,473000.0,4.0,2.0
203191,4616,1,1.0,4.0,21200.0,4.0,
203193,4607,4,3.0,1.0,110000.0,1.0,2.0
203200,4638,2,2.0,1.0,32400.0,4.0,1.0
203245,4631,3,2.0,1.0,42000.0,1.0,1.0
203320,4618,1,,,,,
203324,4624,3,2.0,1.0,180000.0,2.0,2.0
203431,4501,1,1.0,6.0,35000.0,4.0,
203649,4501,5,2.0,1.0,85000.0,2.0,2.0
203755,4605,6,1.0,1.0,71500.0,2.0,2.0
203857,4636,1,1.0,4.0,38570.0,4.0,
