stop_id,stop_code,stop_name,stop_lat,stop_lon,EZLink_Name,Type,stopType
C4,C4,ROCKVILLE MARC wb,39.0851979999998,-77.146993,STN_ROCKVILLE MARC wb,2,2
C5,C5,GAITHERSBURG MARC wb,39.1415319999998,-77.193339,STN_GAITHERSBURG MARC wb,2,2
C6,C6,METROPOLITAN GROVE MARC wb,39.1497909999998,-77.22711,STN_METROPOLITAN GROVE MARC wb,2,2
C7,C7,GERMANTOWN MARC wb,39.1725229999998,-77.269566,STN_GERMANTOWN MARC wb,2,2
C8,C8,BARNESVILLE MARC wb,39.2095419999998,-77.382234,STN_BARNESVILLE MARC wb,2,2
C9,C9,POINT OF ROCKS MARC wb,39.2734929999998,-77.53337,STN_POINT OF ROCKS MARC wb,2,2
C10,C10,BRUNSWICK MD MARC wb,39.3119489999998,-77.627027,STN_BRUNSWICK MD MARC wb,2,2
C11,C11,HARPERS FERRY W VA MARC wb,39.3245859999998,-77.730548,STN_HARPERS FERRY W VA MARC wb,2,2
C12,C12,DUFFIELFS W VA MARC wb,39.3623519999998,-77.82666,STN_DUFFIELFS W VA MARC wb,2,2
C13,C13,MARTINSBURG W VA MARC,39.4611129999998,-77.961655,STN_MARTINSBURG W VA MARC,2,2
D2,D2,NEW CARROLLTON MARC nb,38.9469689999998,-76.873141,STN_NEW CARROLLTON MARC nb,2,2
D3,D3,SEABROOK MARC nb,38.9734439999998,-76.842772,STN_SEABROOK MARC nb,2,2
D4,D4,BOWIE STATE MARC nb,39.0207919999998,-76.762049,STN_BOWIE STATE MARC nb,2,2
D5,D5,ODENTON MARC nb,39.0868599999998,-76.706099,STN_ODENTON MARC nb,2,2
D6,D6,BWI RAIL STATION MARC nb,39.1923269999998,-76.69456,STN_BWI RAIL STATION MARC nb,2,2
D7,D7,HALETHORPE MARC nb,39.2387799999998,-76.691196,STN_HALETHORPE MARC nb,2,2
D8,D8,WEST BALTIMORE MARC nb,39.2933439999998,-76.653102,STN_WEST BALTIMORE MARC nb,2,2
D9,D9,PENN STATION MARC nb,39.3071769999998,-76.615903,STN_PENN STATION MARC nb,2,2
D10,D10,MARTIN AIRPORT MARC nb,39.3383239999998,-76.419307,STN_MARTIN AIRPORT MARC nb,2,2
D11,D11,EDGEWOOD MARC nb,39.4159669999998,-76.292139,STN_EDGEWOOD MARC nb,2,2
D12,D12,ABERDEEN MARC nb,39.5091459999998,-76.162588,STN_ABERDEEN MARC nb,2,2
D13,D13,PERRYVILLE MARC,39.5580889999998,-76.07318,STN_PERRYVILLE MARC,2,2
F2,F2,COLLEGE PARK MARC nb,38.9761409999998,-76.929389,STN_COLLEGE PARK MARC nb,2,2
F3,F3,MUIRKIRK MARC nb,39.0620439999998,-76.884971,STN_MUIRKIRK MARC nb,2,2
F4,F4,LAUREL MARC nb,39.1018169999998,-76.842109,STN_LAUREL MARC nb,2,2
F5,F5,SAVAGE MARC nb,39.1228549999998,-76.796351,STN_SAVAGE MARC nb,2,2
F6,F6,DORSEY MARC nb,39.1812679999998,-76.745121,STN_DORSEY MARC nb,2,2
F7,F7,CAMDEN STATION MARC,39.2838769999998,-76.619664,STN_CAMDEN STATION MARC,2,2
