"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
"D12","N_6267","Walk","Walk",0,0,0,"",6344.65747511765,29784,10,6344.65747511765,0,2000,0,7.04961941679739
"D13","N_6268","Walk","Walk",0,0,0,"",4595.31846003855,29785,10,4595.31846003855,0,2000,0,5.10590940004283
"D12","N_6268","Walk","Walk",0,0,0,"",6383.64191919796,29786,10,6383.64191919796,0,2000,0,7.09293546577551
"D12","N_6269","Walk","Walk",0,0,0,"",6394.34472188236,29787,10,6394.34472188236,0,2000,0,7.10482746875818
"D12","N_6270","Walk","Walk",0,0,0,"",7012.43563884003,29788,10,7012.43563884003,0,2000,0,7.7915951542667
"D12","N_6271","Walk","Walk",0,0,0,"",8203.66151459234,29789,10,8203.66151459234,0,2000,0,9.11517946065816
"D11","N_6272","Walk","Walk",0,0,0,"",2912.35116317092,29790,10,2912.35116317092,0,2000,0,3.23594573685658
"D10","N_6272","Walk","Walk",0,0,0,"",10994.6882501031,29791,10,10994.6882501031,0,2000,0,12.2163202778923
"D11","N_6273","Walk","Walk",0,0,0,"",1690.69910304159,29792,10,1690.69910304159,0,2000,0,1.8785545589351
"D11","N_6274","Walk","Walk",0,0,0,"",1186.8878026051,29793,10,1186.8878026051,0,2000,0,1.31876422511677
"D11","N_6277","Walk","Walk",0,0,0,"",3582.1358233496,29794,10,3582.1358233496,0,2000,0,3.98015091483289
"D10","N_6277","Walk","Walk",0,0,0,"",9269.44243802251,29795,10,9269.44243802251,0,2000,0,10.2993804866917
"D11","N_6278","Walk","Walk",0,0,0,"",4559.0842040231,29796,10,4559.0842040231,0,2000,0,5.06564911558122
"D10","N_6278","Walk","Walk",0,0,0,"",8977.24840702191,29797,10,8977.24840702191,0,2000,0,9.97472045224656
"D11","N_6279","Walk","Walk",0,0,0,"",4916.32808935974,29798,10,4916.32808935974,0,2000,0,5.46258676595527
"D10","N_6279","Walk","Walk",0,0,0,"",8991.41086427574,29799,10,8991.41086427574,0,2000,0,9.99045651586194
"D11","N_6280","Walk","Walk",0,0,0,"",5666.47166126457,29800,10,5666.47166126457,0,2000,0,6.2960796236273
"D10","N_6280","Walk","Walk",0,0,0,"",8955.35147525928,29801,10,8955.35147525928,0,2000,0,9.95039052806587
"D11","N_6281","Walk","Walk",0,0,0,"",6174.72168972433,29802,10,6174.72168972433,0,2000,0,6.86080187747148
"D10","N_6281","Walk","Walk",0,0,0,"",9257.26718300089,29803,10,9257.26718300089,0,2000,0,10.2858524255565
"D11","N_6282","Walk","Walk",0,0,0,"",6183.68079709068,29804,10,6183.68079709068,0,2000,0,6.87075644121187
"D10","N_6282","Walk","Walk",0,0,0,"",9265.21407986117,29805,10,9265.21407986117,0,2000,0,10.2946823109569
"D11","N_6283","Walk","Walk",0,0,0,"",6167.84263506674,29806,10,6167.84263506674,0,2000,0,6.85315848340749
"D10","N_6283","Walk","Walk",0,0,0,"",9267.46217624482,29807,10,9267.46217624482,0,2000,0,10.2971801958276
"D12","N_6287","Walk","Walk",0,0,0,"",4272.75113131078,29808,10,4272.75113131078,0,2000,0,4.74750125701197
"D11","N_6287","Walk","Walk",0,0,0,"",9640.02625318924,29809,10,9640.02625318924,0,2000,0,10.7111402813214
"D12","N_6292","Walk","Walk",0,0,0,"",86.7286118665546,29810,10,86.7286118665546,0,2000,0,0.0963651242961718
"D13","N_6292","Walk","Walk",0,0,0,"",8528.61809521953,29811,10,8528.61809521953,0,2000,0,9.4762423280217
"D12","N_6293","Walk","Walk",0,0,0,"",1018.95968301259,29812,10,1018.95968301259,0,2000,0,1.13217742556954
"D12","N_6294","Walk","Walk",0,0,0,"",2412.54317203457,29813,10,2412.54317203457,0,2000,0,2.68060352448285
"A13","N_63","Walk","Walk",0,0,0,"",2483.81828587008,29814,10,2483.81828587008,0,2000,0,2.7597980954112
"A12","N_63","Walk","Walk",0,0,0,"",2642.62148328362,29815,10,2642.62148328362,0,2000,0,2.93624609253736
"D12","N_6301","Walk","Walk",0,0,0,"",524.485405450837,29816,10,524.485405450837,0,2000,0,0.582761561612041
"D13","N_6301","Walk","Walk",0,0,0,"",8909.29684239722,29817,10,8909.29684239722,0,2000,0,9.89921871377469
"D12","N_6305","Walk","Walk",0,0,0,"",2677.63036338665,29818,10,2677.63036338665,0,2000,0,2.97514484820739
"D13","N_6305","Walk","Walk",0,0,0,"",8465.94835036682,29819,10,8465.94835036682,0,2000,0,9.40660927818536
"D12","N_6306","Walk","Walk",0,0,0,"",1807.00081512342,29820,10,1807.00081512342,0,2000,0,2.00777868347047
"D13","N_6306","Walk","Walk",0,0,0,"",8358.77386345665,29821,10,8358.77386345665,0,2000,0,9.28752651495184
"D11","N_6307","Walk","Walk",0,0,0,"",10157.5477412023,29822,10,10157.5477412023,0,2000,0,11.2861641568914
"D11","N_6308","Walk","Walk",0,0,0,"",10289.7234813597,29823,10,10289.7234813597,0,2000,0,11.4330260903997
"F6","N_631","Walk","Walk",0,0,0,"",75.9872631907495,29824,10,75.9872631907495,0,2000,0,0.0844302924341661
"D6","N_631","Walk","Walk",0,0,0,"",4012.3368966874,29825,10,4012.3368966874,0,2000,0,4.45815210743044
"D11","N_6310","Walk","Walk",0,0,0,"",5401.92544670957,29826,10,5401.92544670957,0,2000,0,6.00213938523285
"D12","N_6312","Walk","Walk",0,0,0,"",3002.67087285506,29827,10,3002.67087285506,0,2000,0,3.33630096983896
"D13","N_6312","Walk","Walk",0,0,0,"",8463.46282117346,29828,10,8463.46282117346,0,2000,0,9.40384757908162
"D11","N_6314","Walk","Walk",0,0,0,"",11524.6815685941,29829,10,11524.6815685941,0,2000,0,12.8052017428823
"F6","N_632","Walk","Walk",0,0,0,"",581.216136351368,29830,10,581.216136351368,0,2000,0,0.645795707057076
"D6","N_632","Walk","Walk",0,0,0,"",4424.27652896834,29831,10,4424.27652896834,0,2000,0,4.91586280996482
"D11","N_6320","Walk","Walk",0,0,0,"",7121.42330409023,29832,10,7121.42330409023,0,2000,0,7.91269256010025
"D12","N_6320","Walk","Walk",0,0,0,"",7161.95495007472,29833,10,7161.95495007472,0,2000,0,7.95772772230525
"D11","N_6322","Walk","Walk",0,0,0,"",1768.31876105978,29834,10,1768.31876105978,0,2000,0,1.96479862339975
"D12","N_6323","Walk","Walk",0,0,0,"",7279.59812170824,29835,10,7279.59812170824,0,2000,0,8.0884423574536
"D11","N_6323","Walk","Walk",0,0,0,"",7364.58106607928,29836,10,7364.58106607928,0,2000,0,8.1828678511992
"D12","N_6324","Walk","Walk",0,0,0,"",7285.34640797282,29837,10,7285.34640797282,0,2000,0,8.09482934219202
"D11","N_6324","Walk","Walk",0,0,0,"",7309.84670484952,29838,10,7309.84670484952,0,2000,0,8.12205189427724
"D12","N_6325","Walk","Walk",0,0,0,"",6583.58320305881,29839,10,6583.58320305881,0,2000,0,7.31509244784312
"D11","N_6325","Walk","Walk",0,0,0,"",7237.55499485565,29840,10,7237.55499485565,0,2000,0,8.04172777206183
"D12","N_6326","Walk","Walk",0,0,0,"",2925.36026718375,29841,10,2925.36026718375,0,2000,0,3.25040029687084
"D13","N_6326","Walk","Walk",0,0,0,"",6032.63062532783,29842,10,6032.63062532783,0,2000,0,6.70292291703092
"D11","N_6327","Walk","Walk",0,0,0,"",8014.0818553514,29843,10,8014.0818553514,0,2000,0,8.90453539483489
"F6","N_633","Walk","Walk",0,0,0,"",633.535737198962,29844,10,633.535737198962,0,2000,0,0.703928596887735
"D6","N_633","Walk","Walk",0,0,0,"",4462.89954965642,29845,10,4462.89954965642,0,2000,0,4.95877727739602
"D13","N_6337","Walk","Walk",0,0,0,"",2856.27500465271,29846,10,2856.27500465271,0,2000,0,3.17363889405856
"D12","N_6337","Walk","Walk",0,0,0,"",5693.60479637324,29847,10,5693.60479637324,0,2000,0,6.32622755152583
"D13","N_6338","Walk","Walk",0,0,0,"",2847.23648830735,29848,10,2847.23648830735,0,2000,0,3.16359609811928
"D12","N_6338","Walk","Walk",0,0,0,"",5698.44469133564,29849,10,5698.44469133564,0,2000,0,6.33160521259515
"D11","N_6339","Walk","Walk",0,0,0,"",5523.6728881504,29850,10,5523.6728881504,0,2000,0,6.13741432016711
"F6","N_634","Walk","Walk",0,0,0,"",1231.83486375093,29851,10,1231.83486375093,0,2000,0,1.3687054041677
"D6","N_634","Walk","Walk",0,0,0,"",4890.44963380776,29852,10,4890.44963380776,0,2000,0,5.43383292645307
