frequency_id,line_id,start_time,end_time,headway_sec
0,A_1,05:05:00,23:59:59,60
1,A_2,05:00:00,23:59:59,60
2,B_1,04:59:00,23:10:00,60
3,B_2,04:45:00,23:15:00,60
4,C_1,15:30:00,15:30:00,60
5,C_2,05:25:00,05:25:00,60
6,D_1,21:00:00,21:00:00,60
7,D_2,05:45:00,05:45:00,60
8,F_1,16:13:00,16:13:00,60
9,F_2,07:10:00,07:10:00,60
